hobo,mean_offset,tank_id
Hobo_0764,0.3278608089668609,P8
Hobo_0765,0.22946970405812253,P6
Hobo_0766,0.4015169493177382,P7
Hobo_3461,0.4055236744639383,P5
Hobo_3462,0.38969777423356255,S7
Hobo_3463,0.353168826865143,S6
Hobo_4982,0.334752621832358,S8
Hobo_5040,0.25050449937976066,S5
