geno,f,fm,fvfm,tank_id,tank_set,max_temp
U15(A),180,349,0.484,S1,starboard,38
U15(A),68,92,0.261,S1,starboard,38
M6,109,296,0.632,S1,starboard,38
M6,201,497,0.596,S1,starboard,38
FM12,118,218,0.459,S1,starboard,38
FM12,71,73,0.027,S1,starboard,38
FM9,123,155,0.206,S1,starboard,38
FM9,106,240,0.558,S1,starboard,38
U19,31,66,0.53,S1,starboard,38
U19,35,45,NA,S1,starboard,38
K1,153,232,0.341,S1,starboard,38
K1,348,417,0.165,S1,starboard,38
K2,181,258,0.298,S1,starboard,38
K2,81,206,0.607,S1,starboard,38
CM6,26,61,0.574,S1,starboard,38
CM6,63,83,0.241,S1,starboard,38
FM20,400,617,0.352,S1,starboard,38
FM20,407,462,0.119,S1,starboard,38
U94,281,343,0.181,S1,starboard,38
U94,230,254,0.094,S1,starboard,38
U93,222,420,0.471,S1,starboard,38
U93,147,155,0.052,S1,starboard,38
FM19(C),40,138,0.71,S1,starboard,38
FM19(C),35,56,0.375,S1,starboard,38
M5,107,125,0.144,S1,starboard,38
M5,263,371,0.291,S1,starboard,38
U15(B),398,549,0.275,S1,starboard,38
U15(B),242,521,0.536,S1,starboard,38
ML31,101,181,0.442,S1,starboard,38
ML31,137,148,0.074,S1,starboard,38
FM7,47,85,0.447,S1,starboard,38
FM7,42,62,0.323,S1,starboard,38
ML3,633,772,0.18,S1,starboard,38
ML3,474,688,0.311,S1,starboard,38
M10,423,529,0.2,S1,starboard,38
M10,164,359,0.543,S1,starboard,38
Acer126,462,526,0.122,S1,starboard,38
Acer126,201,237,0.152,S1,starboard,38
ML75,47,63,0.254,S1,starboard,38
ML75,35,72,0.514,S1,starboard,38
M7,121,133,0.09,S1,starboard,38
M7,47,85,0.447,S1,starboard,38
U15(A),251,339,0.26,S2,starboard,37
U15(A),220,251,0.124,S2,starboard,37
M6,341,598,0.43,S2,starboard,37
M6,308,367,0.161,S2,starboard,37
FM12,463,691,0.33,S2,starboard,37
FM12,299,434,0.311,S2,starboard,37
FM9,337,706,0.523,S2,starboard,37
FM9,446,518,0.139,S2,starboard,37
U19,366,785,0.534,S2,starboard,37
U19,349,495,0.295,S2,starboard,37
K1,210,576,0.635,S2,starboard,37
K1,578,686,0.157,S2,starboard,37
K2,456,505,0.097,S2,starboard,37
K2,310,924,0.665,S2,starboard,37
CM6,937,1154,0.188,S2,starboard,37
CM6,811,1035,0.216,S2,starboard,37
FM20,388,1067,0.636,S2,starboard,37
FM20,588,1560,0.623,S2,starboard,37
U94,346,778,0.555,S2,starboard,37
U94,437,880,0.503,S2,starboard,37
U93,316,796,0.603,S2,starboard,37
U93,611,941,0.351,S2,starboard,37
FM19(C),124,207,0.401,S2,starboard,37
FM19(C),97,145,0.331,S2,starboard,37
M5,552,709,0.221,S2,starboard,37
M5,265,547,0.516,S2,starboard,37
U15(B),595,816,0.271,S2,starboard,37
U15(B),293,719,0.592,S2,starboard,37
ML31,289,735,0.607,S2,starboard,37
ML31,523,865,0.395,S2,starboard,37
FM7,203,304,0.332,S2,starboard,37
FM7,169,286,0.409,S2,starboard,37
ML3,420,534,0.213,S2,starboard,37
ML3,717,941,0.238,S2,starboard,37
M10,663,815,0.187,S2,starboard,37
M10,454,591,0.232,S2,starboard,37
Acer126,756,1199,0.369,S2,starboard,37
Acer126,222,520,0.573,S2,starboard,37
ML75,107,150,0.287,S2,starboard,37
ML75,55,80,0.313,S2,starboard,37
M7,176,416,0.577,S2,starboard,37
M7,79,131,0.397,S2,starboard,37
U15(A),561,710,0.21,S3,starboard,36
U15(A),422,824,0.488,S3,starboard,36
M6,377,590,0.361,S3,starboard,36
M6,412,549,0.25,S3,starboard,36
FM12,406,677,0.4,S3,starboard,36
FM12,498,695,0.283,S3,starboard,36
FM9,381,794,0.52,S3,starboard,36
FM9,547,889,0.385,S3,starboard,36
U19,391,539,0.275,S3,starboard,36
U19,325,682,0.523,S3,starboard,36
K1,523,732,0.286,S3,starboard,36
K1,734,931,0.212,S3,starboard,36
K2,387,896,0.568,S3,starboard,36
K2,661,1018,0.351,S3,starboard,36
CM6,247,405,0.39,S3,starboard,36
CM6,486,962,0.495,S3,starboard,36
FM20,402,707,0.431,S3,starboard,36
FM20,347,528,0.343,S3,starboard,36
U94,313,660,0.526,S3,starboard,36
U94,448,762,0.412,S3,starboard,36
U93,233,631,0.631,S3,starboard,36
U93,369,825,0.553,S3,starboard,36
FM19(C),481,660,0.271,S3,starboard,36
FM19(C),429,651,0.341,S3,starboard,36
M5,423,717,0.41,S3,starboard,36
M5,376,686,0.452,S3,starboard,36
U15(B),279,791,0.647,S3,starboard,36
U15(B),422,1062,0.603,S3,starboard,36
ML31,448,836,0.464,S3,starboard,36
ML31,333,785,0.576,S3,starboard,36
FM7,345,712,0.515,S3,starboard,36
FM7,525,841,0.376,S3,starboard,36
ML3,316,736,0.571,S3,starboard,36
ML3,353,959,0.632,S3,starboard,36
M10,314,716,0.561,S3,starboard,36
M10,238,778,0.694,S3,starboard,36
Acer126,333,871,0.618,S3,starboard,36
Acer126,497,987,0.496,S3,starboard,36
ML75,455,751,0.394,S3,starboard,36
ML75,429,900,0.523,S3,starboard,36
M7,349,603,0.421,S3,starboard,36
M7,187,307,0.391,S3,starboard,36
U15(A),488,826,0.409,S4,starboard,35
U15(A),410,658,0.377,S4,starboard,35
