"2020-10-07";"23:22:30";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"21:06:07";"SCHS";"";"Chart start ";""
"5";"2020-10-06";"21:06:08";"C";"";"File Nr. 404 | File Dev. ID #1, DIVING-PAM-II:  ";""
"438005";"2020-10-06";"21:13:26";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"448185";"2020-10-06";"21:13:36";"F";"9752";"338";"744";"0";"0.546";"0.0"
"453005";"2020-10-06";"21:13:41";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"456435";"2020-10-06";"21:13:44";"F";"9753";"292";"683";"0";"0.572";"0.0"
"461005";"2020-10-06";"21:13:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"468205";"2020-10-06";"21:13:56";"F";"9754";"407";"982";"0";"0.586";"0.0"
"473005";"2020-10-06";"21:14:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"475925";"2020-10-06";"21:14:03";"F";"9755";"373";"883";"0";"0.578";"0.0"
"480005";"2020-10-06";"21:14:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"481925";"2020-10-06";"21:14:09";"F";"9756";"271";"802";"0";"0.662";"0.0"
"486005";"2020-10-06";"21:14:14";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"487415";"2020-10-06";"21:14:15";"F";"9757";"351";"834";"0";"0.579";"0.0"
"492005";"2020-10-06";"21:14:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"492965";"2020-10-06";"21:14:20";"F";"9758";"254";"758";"0";"0.665";"0.0"
"497005";"2020-10-06";"21:14:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"500565";"2020-10-06";"21:14:28";"F";"9759";"288";"674";"0";"0.573";"0.0"
"505005";"2020-10-06";"21:14:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"511035";"2020-10-06";"21:14:39";"F";"9760";"359";"825";"0";"0.565";"0.0"
"516005";"2020-10-06";"21:14:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"518725";"2020-10-06";"21:14:46";"F";"9761";"295";"924";"0";"0.681";"0.0"
"522005";"2020-10-06";"21:14:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"526285";"2020-10-06";"21:14:54";"F";"9762";"381";"758";"0";"0.497";"0.0"
"531005";"2020-10-06";"21:14:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"535465";"2020-10-06";"21:15:03";"F";"9763";"138";"709";"0";"0.805";"0.0"
"539005";"2020-10-06";"21:15:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"544535";"2020-10-06";"21:15:12";"F";"9764";"420";"803";"0";"0.477";"0.0"
"549005";"2020-10-06";"21:15:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"551895";"2020-10-06";"21:15:19";"F";"9765";"377";"1305";"0";"0.711";"0.0"
"556005";"2020-10-06";"21:15:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"563345";"2020-10-06";"21:15:31";"F";"9766";"279";"719";"0";"0.612";"0.0"
"568005";"2020-10-06";"21:15:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"570945";"2020-10-06";"21:15:38";"F";"9767";"412";"932";"0";"0.558";"0.0"
"574005";"2020-10-06";"21:15:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"577725";"2020-10-06";"21:15:45";"F";"9768";"271";"859";"0";"0.685";"0.0"
"581005";"2020-10-06";"21:15:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"588035";"2020-10-06";"21:15:56";"F";"9769";"350";"857";"0";"0.592";"0.0"
"593005";"2020-10-06";"21:16:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"594415";"2020-10-06";"21:16:02";"F";"9770";"304";"1119";"0";"0.728";"0.0"
"598005";"2020-10-06";"21:16:06";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"605905";"2020-10-06";"21:16:13";"F";"9771";"377";"1025";"0";"0.632";"0.0"
"610005";"2020-10-06";"21:16:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"611865";"2020-10-06";"21:16:19";"F";"9772";"265";"743";"0";"0.643";"0.0"
"611870";"2020-10-06";"21:16:19";"SCHE";"";"Chart stop ";""
"616005";"2020-10-06";"21:16:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"747000";"2020-10-06";"21:18:34";"SCHS";"";"Chart start ";""
"747005";"2020-10-06";"21:18:35";"C";"";"File Nr. 405 | File Dev. ID #1, DIVING-PAM-II:  ";""
"810065";"2020-10-06";"21:19:38";"F";"9773";"10";"22";"0";"-";"-"
"814005";"2020-10-06";"21:19:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"821725";"2020-10-06";"21:19:49";"F";"9774";"14";"30";"0";"-";"-"
"826005";"2020-10-06";"21:19:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"850375";"2020-10-06";"21:20:18";"F";"9775";"23";"40";"0";"-";"-"
"855005";"2020-10-06";"21:20:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"891955";"2020-10-06";"21:20:59";"F";"9776";"57";"87";"0";"0.345";"0.0"
"896005";"2020-10-06";"21:21:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"915595";"2020-10-06";"21:21:23";"F";"9777";"29";"61";"0";"0.525";"0.0"
"919005";"2020-10-06";"21:21:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"940365";"2020-10-06";"21:21:48";"F";"9778";"10";"50";"0";"0.800";"0.0"
"945005";"2020-10-06";"21:21:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"962145";"2020-10-06";"21:22:10";"F";"9779";"15";"57";"0";"0.737";"0.0"
"967005";"2020-10-06";"21:22:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1001095";"2020-10-06";"21:22:49";"F";"9780";"19";"54";"0";"0.648";"0.0"
"1006005";"2020-10-06";"21:22:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1028145";"2020-10-06";"21:23:16";"F";"9781";"33";"63";"0";"0.476";"0.0"
"1032005";"2020-10-06";"21:23:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1073565";"2020-10-06";"21:24:01";"F";"9782";"164";"195";"0";"0.159";"0.0"
"1078005";"2020-10-06";"21:24:06";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"1085305";"2020-10-06";"21:24:13";"F";"9783";"175";"210";"0";"0.167";"0.0"
"1090005";"2020-10-06";"21:24:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1101865";"2020-10-06";"21:24:29";"F";"9784";"44";"63";"0";"0.302";"0.0"
"1106005";"2020-10-06";"21:24:34";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1108215";"2020-10-06";"21:24:36";"F";"9785";"95";"147";"0";"0.354";"0.0"
"1113005";"2020-10-06";"21:24:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1118535";"2020-10-06";"21:24:46";"F";"9786";"10";"54";"0";"0.815";"0.0"
"1123005";"2020-10-06";"21:24:51";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1127165";"2020-10-06";"21:24:55";"F";"9787";"16";"46";"0";"-";"-"
"1132005";"2020-10-06";"21:25:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1140465";"2020-10-06";"21:25:08";"F";"9788";"14";"37";"0";"-";"-"
"1145005";"2020-10-06";"21:25:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1148695";"2020-10-06";"21:25:16";"F";"9789";"6";"53";"0";"-";"-"
"1153005";"2020-10-06";"21:25:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1158645";"2020-10-06";"21:25:26";"F";"9790";"26";"55";"0";"0.527";"0.0"
"1163005";"2020-10-06";"21:25:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1169355";"2020-10-06";"21:25:37";"F";"9791";"54";"78";"0";"0.308";"0.0"
"1174005";"2020-10-06";"21:25:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1181475";"2020-10-06";"21:25:49";"F";"9792";"121";"155";"0";"0.219";"0.0"
"1186005";"2020-10-06";"21:25:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1189725";"2020-10-06";"21:25:57";"F";"9793";"170";"247";"0";"0.312";"0.0"
"1194005";"2020-10-06";"21:26:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1196895";"2020-10-06";"21:26:04";"F";"9794";"56";"56";"0";"0.000";"0.0"
"1201005";"2020-10-06";"21:26:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1202265";"2020-10-06";"21:26:10";"F";"9795";"87";"132";"0";"0.341";"0.0"
"1206005";"2020-10-06";"21:26:14";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1210435";"2020-10-06";"21:26:18";"F";"9796";"43";"75";"0";"0.427";"0.0"
"1215005";"2020-10-06";"21:26:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1218545";"2020-10-06";"21:26:26";"F";"9797";"62";"106";"0";"0.415";"0.0"
"1223005";"2020-10-06";"21:26:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1227065";"2020-10-06";"21:26:35";"F";"9798";"26";"53";"0";"0.509";"0.0"
"1232005";"2020-10-06";"21:26:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1251845";"2020-10-06";"21:26:59";"F";"9799";"17";"39";"0";"-";"-"
"1255005";"2020-10-06";"21:27:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1260285";"2020-10-06";"21:27:08";"F";"9800";"55";"95";"0";"0.421";"0.0"
"1265005";"2020-10-06";"21:27:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1269835";"2020-10-06";"21:27:17";"F";"9801";"70";"97";"0";"0.278";"0.0"
"1274005";"2020-10-06";"21:27:22";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1278035";"2020-10-06";"21:27:26";"F";"9802";"109";"133";"0";"0.180";"0.0"
"1283005";"2020-10-06";"21:27:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1286735";"2020-10-06";"21:27:34";"F";"9803";"57";"94";"0";"0.394";"0.0"
"1291005";"2020-10-06";"21:27:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1293435";"2020-10-06";"21:27:41";"F";"9804";"43";"62";"0";"0.306";"0.0"
"1298005";"2020-10-06";"21:27:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1300735";"2020-10-06";"21:27:48";"F";"9805";"34";"58";"0";"0.414";"0.0"
"1305005";"2020-10-06";"21:27:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1315495";"2020-10-06";"21:28:03";"F";"9806";"28";"43";"0";"-";"-"
"1320005";"2020-10-06";"21:28:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1324365";"2020-10-06";"21:28:12";"F";"9807";"29";"43";"0";"-";"-"
