"2020-10-07";"23:14:48";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-07";"19:12:05";"SCHS";"";"Chart start ";""
"5";"2020-10-07";"19:12:06";"C";"";"File Nr. 414 | File Dev. ID #1, DIVING-PAM-II:  ";""
"33665";"2020-10-07";"19:12:39";"F";"10202";"605";"714";"0";"0.153";"0.0"
"37005";"2020-10-07";"19:12:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"39805";"2020-10-07";"19:12:45";"F";"10203";"134";"369";"0";"0.637";"0.0"
"43005";"2020-10-07";"19:12:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"48545";"2020-10-07";"19:12:54";"F";"10204";"269";"523";"0";"0.486";"0.0"
"52005";"2020-10-07";"19:12:58";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"55685";"2020-10-07";"19:13:01";"F";"10205";"305";"598";"0";"0.490";"0.0"
"59005";"2020-10-07";"19:13:05";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"62325";"2020-10-07";"19:13:08";"F";"10206";"148";"273";"0";"0.458";"0.0"
"66005";"2020-10-07";"19:13:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"69245";"2020-10-07";"19:13:15";"F";"10207";"643";"762";"0";"0.156";"0.0"
"73005";"2020-10-07";"19:13:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"74215";"2020-10-07";"19:13:20";"F";"10208";"331";"331";"0";"0.000";"0.0"
"78005";"2020-10-07";"19:13:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"80485";"2020-10-07";"19:13:26";"F";"10209";"396";"1014";"0";"0.609";"0.0"
"84005";"2020-10-07";"19:13:30";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"86475";"2020-10-07";"19:13:32";"F";"10210";"247";"856";"0";"0.711";"0.0"
"90005";"2020-10-07";"19:13:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"100425";"2020-10-07";"19:13:46";"F";"10211";"233";"545";"0";"0.572";"0.0"
"104005";"2020-10-07";"19:13:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"106115";"2020-10-07";"19:13:52";"F";"10212";"162";"416";"0";"0.611";"0.0"
"110005";"2020-10-07";"19:13:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"114785";"2020-10-07";"19:14:00";"F";"10213";"64";"104";"0";"0.385";"0.0"
"118005";"2020-10-07";"19:14:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"122695";"2020-10-07";"19:14:08";"F";"10214";"238";"391";"0";"0.391";"0.0"
"126005";"2020-10-07";"19:14:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"131925";"2020-10-07";"19:14:17";"F";"10215";"69";"119";"0";"0.420";"0.0"
"136005";"2020-10-07";"19:14:22";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"147345";"2020-10-07";"19:14:33";"F";"10216";"178";"263";"0";"0.323";"0.0"
"151005";"2020-10-07";"19:14:37";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"155135";"2020-10-07";"19:14:41";"F";"10217";"268";"455";"0";"0.411";"0.0"
"160005";"2020-10-07";"19:14:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"161285";"2020-10-07";"19:14:47";"F";"10218";"115";"176";"0";"0.347";"0.0"
"166005";"2020-10-07";"19:14:52";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"168365";"2020-10-07";"19:14:54";"F";"10219";"372";"544";"0";"0.316";"0.0"
"173005";"2020-10-07";"19:14:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"175105";"2020-10-07";"19:15:01";"F";"10220";"259";"478";"0";"0.458";"0.0"
"180005";"2020-10-07";"19:15:06";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"182435";"2020-10-07";"19:15:08";"F";"10221";"215";"587";"0";"0.634";"0.0"
"187005";"2020-10-07";"19:15:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"190465";"2020-10-07";"19:15:16";"F";"10222";"470";"685";"0";"0.314";"0.0"
"195005";"2020-10-07";"19:15:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"204195";"2020-10-07";"19:15:30";"F";"10223";"801";"969";"0";"0.173";"0.0"
"208005";"2020-10-07";"19:15:34";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"208835";"2020-10-07";"19:15:34";"F";"10224";"400";"729";"0";"0.451";"0.0"
"213005";"2020-10-07";"19:15:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"216435";"2020-10-07";"19:15:42";"F";"10225";"501";"549";"0";"0.087";"0.0"
"221005";"2020-10-07";"19:15:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"221815";"2020-10-07";"19:15:47";"F";"10226";"513";"809";"0";"0.366";"0.0"
"226005";"2020-10-07";"19:15:52";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"228075";"2020-10-07";"19:15:54";"F";"10227";"536";"1032";"0";"0.481";"0.0"
"232935";"2020-10-07";"19:15:58";"F";"10228";"640";"938";"0";"0.318";"0.0"
"233005";"2020-10-07";"19:15:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"237005";"2020-10-07";"19:16:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"237605";"2020-10-07";"19:16:03";"F";"10229";"195";"581";"0";"0.664";"0.0"
