"2020-10-07";"23:24:55";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-07";"19:33:16";"SCHS";"";"Chart start ";""
"5";"2020-10-07";"19:33:17";"C";"";"File Nr. 418 | File Dev. ID #1, DIVING-PAM-II:  ";""
"14005";"2020-10-07";"19:33:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"48945";"2020-10-07";"19:34:05";"F";"10335";"7";"20";"0";"-";"-"
"52005";"2020-10-07";"19:34:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"63925";"2020-10-07";"19:34:20";"F";"10336";"5";"19";"0";"-";"-"
"67005";"2020-10-07";"19:34:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"71315";"2020-10-07";"19:34:28";"F";"10337";"11";"18";"0";"-";"-"
"75005";"2020-10-07";"19:34:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"78505";"2020-10-07";"19:34:35";"F";"10338";"9";"20";"0";"-";"-"
"82005";"2020-10-07";"19:34:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"92055";"2020-10-07";"19:34:49";"F";"10339";"8";"20";"0";"-";"-"
"96005";"2020-10-07";"19:34:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"101145";"2020-10-07";"19:34:58";"F";"10340";"7";"22";"0";"-";"-"
"105005";"2020-10-07";"19:35:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"110695";"2020-10-07";"19:35:07";"F";"10341";"16";"18";"0";"-";"-"
"114005";"2020-10-07";"19:35:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"119075";"2020-10-07";"19:35:16";"F";"10342";"19";"25";"0";"-";"-"
"123005";"2020-10-07";"19:35:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"128825";"2020-10-07";"19:35:25";"F";"10343";"8";"23";"0";"-";"-"
"132005";"2020-10-07";"19:35:29";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"134605";"2020-10-07";"19:35:31";"F";"10344";"14";"20";"0";"-";"-"
"138005";"2020-10-07";"19:35:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"141695";"2020-10-07";"19:35:38";"F";"10345";"11";"23";"0";"-";"-"
"145005";"2020-10-07";"19:35:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"150325";"2020-10-07";"19:35:47";"F";"10346";"10";"20";"0";"-";"-"
"154005";"2020-10-07";"19:35:51";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"158285";"2020-10-07";"19:35:55";"F";"10347";"10";"17";"0";"-";"-"
"162005";"2020-10-07";"19:35:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"166815";"2020-10-07";"19:36:03";"F";"10348";"15";"28";"0";"-";"-"
"170005";"2020-10-07";"19:36:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"186495";"2020-10-07";"19:36:23";"F";"10349";"15";"25";"0";"-";"-"
"191005";"2020-10-07";"19:36:28";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"196325";"2020-10-07";"19:36:33";"F";"10350";"20";"25";"0";"-";"-"
"200005";"2020-10-07";"19:36:37";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"206125";"2020-10-07";"19:36:43";"F";"10351";"15";"28";"0";"-";"-"
"210005";"2020-10-07";"19:36:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"215785";"2020-10-07";"19:36:52";"F";"10352";"12";"25";"0";"-";"-"
"219005";"2020-10-07";"19:36:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"230075";"2020-10-07";"19:37:07";"F";"10353";"13";"26";"0";"-";"-"
"234005";"2020-10-07";"19:37:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"238995";"2020-10-07";"19:37:15";"F";"10354";"19";"31";"0";"-";"-"
"242005";"2020-10-07";"19:37:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"251125";"2020-10-07";"19:37:28";"F";"10355";"15";"28";"0";"-";"-"
"255005";"2020-10-07";"19:37:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"260765";"2020-10-07";"19:37:37";"F";"10356";"17";"26";"0";"-";"-"
"264005";"2020-10-07";"19:37:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.2 ";""
"280595";"2020-10-07";"19:37:57";"F";"10357";"11";"27";"0";"-";"-"
"280600";"2020-10-07";"19:37:57";"SCHE";"";"Chart stop ";""
"284005";"2020-10-07";"19:38:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
