"2020-10-11";"23:04:22";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-11";"20:27:21";"SCHS";"";"Chart start ";""
"536275";"2020-10-11";"20:36:18";"F";"11913";"264";"656";"0";"0.598";"0.0"
"540005";"2020-10-11";"20:36:22";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"541835";"2020-10-11";"20:36:23";"F";"11914";"263";"663";"0";"0.603";"0.0"
"545005";"2020-10-11";"20:36:27";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"549065";"2020-10-11";"20:36:31";"F";"11915";"268";"610";"0";"0.561";"0.0"
"553005";"2020-10-11";"20:36:35";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"553915";"2020-10-11";"20:36:35";"F";"11916";"254";"698";"0";"0.636";"0.0"
"557005";"2020-10-11";"20:36:39";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"564365";"2020-10-11";"20:36:46";"F";"11917";"287";"876";"0";"0.672";"0.0"
"568005";"2020-10-11";"20:36:50";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"568155";"2020-10-11";"20:36:50";"F";"11918";"273";"782";"0";"0.651";"0.0"
"572005";"2020-10-11";"20:36:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"578755";"2020-10-11";"20:37:00";"F";"11919";"247";"599";"0";"0.588";"0.0"
"582005";"2020-10-11";"20:37:04";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"585855";"2020-10-11";"20:37:07";"F";"11920";"388";"812";"0";"0.522";"0.0"
"589005";"2020-10-11";"20:37:11";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"591905";"2020-10-11";"20:37:13";"F";"11921";"242";"681";"0";"0.645";"0.0"
"595005";"2020-10-11";"20:37:17";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"599425";"2020-10-11";"20:37:21";"F";"11922";"218";"595";"0";"0.634";"0.0"
"603005";"2020-10-11";"20:37:25";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"605325";"2020-10-11";"20:37:27";"F";"11923";"294";"680";"0";"0.568";"0.0"
"609005";"2020-10-11";"20:37:31";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"614065";"2020-10-11";"20:37:36";"F";"11924";"258";"688";"0";"0.625";"0.0"
"618005";"2020-10-11";"20:37:40";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"631125";"2020-10-11";"20:37:53";"F";"11925";"267";"796";"0";"0.665";"0.0"
"635005";"2020-10-11";"20:37:57";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"635185";"2020-10-11";"20:37:57";"F";"11926";"225";"859";"0";"0.738";"0.0"
"639005";"2020-10-11";"20:38:01";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"643645";"2020-10-11";"20:38:05";"F";"11927";"292";"847";"0";"0.655";"0.0"
"647005";"2020-10-11";"20:38:09";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"649865";"2020-10-11";"20:38:11";"F";"11928";"255";"872";"0";"0.708";"0.0"
"653005";"2020-10-11";"20:38:15";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"656845";"2020-10-11";"20:38:18";"F";"11929";"251";"722";"0";"0.652";"0.0"
"660005";"2020-10-11";"20:38:22";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"668785";"2020-10-11";"20:38:30";"F";"11930";"241";"682";"0";"0.647";"0.0"
"672005";"2020-10-11";"20:38:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"672525";"2020-10-11";"20:38:34";"F";"11931";"252";"674";"0";"0.626";"0.0"
"676005";"2020-10-11";"20:38:38";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"680645";"2020-10-11";"20:38:42";"F";"11932";"243";"722";"0";"0.663";"0.0"
"684005";"2020-10-11";"20:38:46";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"684525";"2020-10-11";"20:38:46";"F";"11933";"200";"510";"0";"0.608";"0.0"
"684530";"2020-10-11";"20:38:46";"SCHE";"";"Chart stop ";""
"688005";"2020-10-11";"20:38:50";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"729000";"2020-10-11";"20:39:30";"SCHS";"";"Chart start ";""
"729005";"2020-10-11";"20:39:31";"C";"";"File Nr. 476 | File Dev. ID #1, DIVING-PAM-II:  ";""
"757115";"2020-10-11";"20:39:59";"F";"11934";"260";"921";"0";"0.718";"0.0"
"760195";"2020-10-11";"20:40:02";"F";"11935";"364";"982";"0";"0.629";"0.0"
"762005";"2020-10-11";"20:40:04";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"765005";"2020-10-11";"20:40:07";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"766615";"2020-10-11";"20:40:08";"F";"11936";"267";"771";"0";"0.654";"0.0"
"769085";"2020-10-11";"20:40:11";"F";"11937";"352";"1094";"0";"0.678";"0.0"
"770005";"2020-10-11";"20:40:12";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"774005";"2020-10-11";"20:40:16";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"779155";"2020-10-11";"20:40:21";"F";"11938";"328";"898";"0";"0.635";"0.0"
"782525";"2020-10-11";"20:40:24";"F";"11939";"302";"845";"0";"0.643";"0.0"
"783005";"2020-10-11";"20:40:25";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"787005";"2020-10-11";"20:40:29";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"787415";"2020-10-11";"20:40:29";"F";"11940";"274";"853";"0";"0.679";"0.0"
"790855";"2020-10-11";"20:40:32";"F";"11941";"244";"679";"0";"0.641";"0.0"
"792005";"2020-10-11";"20:40:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"795005";"2020-10-11";"20:40:37";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"797645";"2020-10-11";"20:40:39";"F";"11942";"220";"574";"0";"0.617";"0.0"
"801005";"2020-10-11";"20:40:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"802795";"2020-10-11";"20:40:44";"F";"11943";"267";"722";"0";"0.630";"0.0"
"807005";"2020-10-11";"20:40:49";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"807665";"2020-10-11";"20:40:49";"F";"11944";"220";"716";"0";"0.693";"0.0"
"810825";"2020-10-11";"20:40:52";"F";"11945";"297";"844";"0";"0.648";"0.0"
"812005";"2020-10-11";"20:40:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"815005";"2020-10-11";"20:40:57";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"824355";"2020-10-11";"20:41:06";"F";"11946";"249";"676";"0";"0.632";"0.0"
"827095";"2020-10-11";"20:41:09";"F";"11947";"221";"555";"0";"0.602";"0.0"
"828005";"2020-10-11";"20:41:10";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"832005";"2020-10-11";"20:41:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"832475";"2020-10-11";"20:41:14";"F";"11948";"242";"767";"0";"0.684";"0.0"
"836235";"2020-10-11";"20:41:18";"F";"11949";"238";"593";"0";"0.599";"0.0"
"837005";"2020-10-11";"20:41:19";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"841005";"2020-10-11";"20:41:23";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"841975";"2020-10-11";"20:41:23";"F";"11950";"218";"819";"0";"0.734";"0.0"
"845815";"2020-10-11";"20:41:27";"F";"11951";"278";"713";"0";"0.610";"0.0"
"846005";"2020-10-11";"20:41:28";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"849985";"2020-10-11";"20:41:31";"F";"11952";"194";"777";"0";"0.750";"0.0"
"850005";"2020-10-11";"20:41:32";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"854005";"2020-10-11";"20:41:36";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"870595";"2020-10-11";"20:41:52";"F";"11953";"154";"387";"0";"0.602";"0.0"
"875005";"2020-10-11";"20:41:57";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"877045";"2020-10-11";"20:41:59";"F";"11954";"267";"755";"0";"0.646";"0.0"
"881005";"2020-10-11";"20:42:03";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"881065";"2020-10-11";"20:42:03";"F";"11955";"281";"754";"0";"0.627";"0.0"
"885005";"2020-10-11";"20:42:07";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"885785";"2020-10-11";"20:42:07";"F";"11956";"263";"864";"0";"0.696";"0.0"
"890005";"2020-10-11";"20:42:12";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"891795";"2020-10-11";"20:42:13";"F";"11957";"227";"586";"0";"0.613";"0.0"
"895005";"2020-10-11";"20:42:17";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"897035";"2020-10-11";"20:42:19";"F";"11958";"258";"727";"0";"0.645";"0.0"
"901265";"2020-10-11";"20:42:23";"F";"11959";"319";"672";"0";"0.525";"0.0"
"902005";"2020-10-11";"20:42:24";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"906005";"2020-10-11";"20:42:28";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"907545";"2020-10-11";"20:42:29";"F";"11960";"274";"771";"0";"0.645";"0.0"
"912005";"2020-10-11";"20:42:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"918705";"2020-10-11";"20:42:40";"F";"11961";"232";"605";"0";"0.617";"0.0"
"923005";"2020-10-11";"20:42:45";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"961655";"2020-10-11";"20:43:23";"F";"11962";"263";"648";"0";"0.594";"0.0"
"966005";"2020-10-11";"20:43:28";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"972135";"2020-10-11";"20:43:34";"F";"11963";"258";"605";"0";"0.574";"0.0"
"977005";"2020-10-11";"20:43:39";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"977045";"2020-10-11";"20:43:39";"F";"11964";"225";"688";"0";"0.673";"0.0"
"982005";"2020-10-11";"20:43:44";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"983455";"2020-10-11";"20:43:45";"F";"11965";"295";"843";"0";"0.650";"0.0"
"987485";"2020-10-11";"20:43:49";"F";"11966";"264";"976";"0";"0.730";"0.0"
"988005";"2020-10-11";"20:43:50";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"992005";"2020-10-11";"20:43:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"995215";"2020-10-11";"20:43:57";"F";"11967";"320";"1040";"0";"0.692";"0.0"
"1000005";"2020-10-11";"20:44:02";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1005405";"2020-10-11";"20:44:07";"F";"11968";"227";"730";"0";"0.689";"0.0"
"1009005";"2020-10-11";"20:44:11";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1010995";"2020-10-11";"20:44:12";"F";"11969";"234";"745";"0";"0.686";"0.0"
"1015005";"2020-10-11";"20:44:17";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1023035";"2020-10-11";"20:44:25";"F";"11970";"242";"700";"0";"0.654";"0.0"
"1027005";"2020-10-11";"20:44:29";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1027715";"2020-10-11";"20:44:29";"F";"11971";"258";"720";"0";"0.642";"0.0"
"1032005";"2020-10-11";"20:44:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1034985";"2020-10-11";"20:44:36";"F";"11972";"205";"557";"0";"0.632";"0.0"
"1039005";"2020-10-11";"20:44:41";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1039785";"2020-10-11";"20:44:41";"F";"11973";"220";"594";"0";"0.630";"0.0"
"1043005";"2020-10-11";"20:44:45";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1047305";"2020-10-11";"20:44:49";"F";"11974";"230";"754";"0";"0.695";"0.0"
"1052005";"2020-10-11";"20:44:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1053535";"2020-10-11";"20:44:55";"F";"11975";"223";"696";"0";"0.680";"0.0"
"1057005";"2020-10-11";"20:44:59";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1073095";"2020-10-11";"20:45:15";"F";"11976";"205";"601";"0";"0.659";"0.0"
"1078005";"2020-10-11";"20:45:20";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1080525";"2020-10-11";"20:45:22";"F";"11977";"218";"601";"0";"0.637";"0.0"
"1080530";"2020-10-11";"20:45:22";"SCHE";"";"Chart stop ";""
"1085005";"2020-10-11";"20:45:27";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1094000";"2020-10-11";"20:45:35";"SCHS";"";"Chart start ";""
"1094005";"2020-10-11";"20:45:36";"C";"";"File Nr. 477 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1216835";"2020-10-11";"20:47:38";"F";"11978";"318";"1024";"0";"0.689";"0.0"
"1221005";"2020-10-11";"20:47:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1234765";"2020-10-11";"20:47:56";"F";"11979";"237";"720";"0";"0.671";"0.0"
"1238005";"2020-10-11";"20:48:00";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1240365";"2020-10-11";"20:48:02";"F";"11980";"279";"476";"0";"0.414";"0.0"
"1244005";"2020-10-11";"20:48:06";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1247525";"2020-10-11";"20:48:09";"F";"11981";"322";"1072";"0";"0.700";"0.0"
"1252005";"2020-10-11";"20:48:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1254115";"2020-10-11";"20:48:16";"F";"11982";"331";"1055";"0";"0.686";"0.0"
"1258005";"2020-10-11";"20:48:20";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1260975";"2020-10-11";"20:48:22";"F";"11983";"262";"711";"0";"0.632";"0.0"
"1264005";"2020-10-11";"20:48:26";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1268615";"2020-10-11";"20:48:30";"F";"11984";"225";"597";"0";"0.623";"0.0"
"1272005";"2020-10-11";"20:48:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1274415";"2020-10-11";"20:48:36";"F";"11985";"344";"906";"0";"0.620";"0.0"
"1278005";"2020-10-11";"20:48:40";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1279885";"2020-10-11";"20:48:41";"F";"11986";"228";"601";"0";"0.621";"0.0"
"1284005";"2020-10-11";"20:48:46";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1286995";"2020-10-11";"20:48:48";"F";"11987";"225";"794";"0";"0.717";"0.0"
"1290005";"2020-10-11";"20:48:52";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1313325";"2020-10-11";"20:49:15";"F";"11988";"298";"792";"0";"0.624";"0.0"
"1317005";"2020-10-11";"20:49:19";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1319455";"2020-10-11";"20:49:21";"F";"11989";"293";"869";"0";"0.663";"0.0"
"1323005";"2020-10-11";"20:49:25";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1344955";"2020-10-11";"20:49:46";"F";"11990";"207";"607";"0";"0.659";"0.0"
"1348005";"2020-10-11";"20:49:50";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1352045";"2020-10-11";"20:49:54";"F";"11991";"298";"814";"0";"0.634";"0.0"
"1356005";"2020-10-11";"20:49:58";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1359155";"2020-10-11";"20:50:01";"F";"11992";"193";"567";"0";"0.660";"0.0"
"1363005";"2020-10-11";"20:50:05";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1368435";"2020-10-11";"20:50:10";"F";"11993";"223";"605";"0";"0.631";"0.0"
"1372005";"2020-10-11";"20:50:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1382965";"2020-10-11";"20:50:24";"F";"11994";"246";"688";"0";"0.642";"0.0"
"1386005";"2020-10-11";"20:50:28";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1386475";"2020-10-11";"20:50:28";"F";"11995";"218";"662";"0";"0.671";"0.0"
"1390005";"2020-10-11";"20:50:32";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1392895";"2020-10-11";"20:50:34";"F";"11996";"251";"768";"0";"0.673";"0.0"
"1396005";"2020-10-11";"20:50:38";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1396085";"2020-10-11";"20:50:38";"F";"11997";"242";"659";"0";"0.633";"0.0"
"1400005";"2020-10-11";"20:50:42";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1401685";"2020-10-11";"20:50:43";"F";"11998";"230";"651";"0";"0.647";"0.0"
"1405005";"2020-10-11";"20:50:47";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1411835";"2020-10-11";"20:50:53";"F";"11999";"268";"755";"0";"0.645";"0.0"
"1415005";"2020-10-11";"20:50:57";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
