PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
CRII_OCT2020,2020_October_6,151759,10,7,48,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
CRII_OCT2020,2020_October_6,26947,14,23,12,32.11,0.00,-127.00,HTR,32.53,0.00,-127.00,HTR,32.96,0.00,-127.00,HTR,33.38,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,31745,14,23,17,32.11,0.00,-127.00,HTR,32.53,0.00,-127.00,HTR,32.96,0.00,-127.00,HTR,33.38,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,36378,14,23,22,32.11,0.00,-127.00,HTR,32.53,0.00,-127.00,HTR,32.96,0.00,-127.00,HTR,33.38,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,41011,14,23,26,32.11,0.00,-127.00,HTR,32.53,0.00,-127.00,HTR,32.96,0.00,-127.00,HTR,33.38,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,45646,14,23,31,32.11,0.00,-127.00,HTR,32.53,0.00,-127.00,HTR,32.96,0.00,-127.00,HTR,33.38,0.00,-127.00,HTR,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
CRII_OCT2020,2020_October_6,25790,14,24,5,32.17,0.00,-127.00,HTR,32.60,0.00,-127.00,HTR,33.03,0.00,-127.00,HTR,33.47,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,30582,14,24,10,32.17,0.00,-127.00,HTR,32.60,0.00,-127.00,HTR,33.03,0.00,-127.00,HTR,33.47,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,35219,14,24,14,32.17,0.00,-127.00,HTR,32.60,0.00,-127.00,HTR,33.03,0.00,-127.00,HTR,33.47,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,39853,14,24,19,32.17,0.00,-127.00,HTR,32.60,0.00,-127.00,HTR,33.03,0.00,-127.00,HTR,33.47,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,44485,14,24,24,32.17,0.00,-127.00,HTR,32.60,0.00,-127.00,HTR,33.03,0.00,-127.00,HTR,33.47,0.00,-127.00,HTR,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
CRII_OCT2020,2020_October_6,27423,15,15,14,33.56,0.00,-127.00,HTR,34.27,0.00,-127.00,HTR,34.98,0.00,-127.00,HTR,35.69,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,32217,15,15,19,33.56,0.00,-127.00,HTR,34.27,0.00,-127.00,HTR,34.98,0.00,-127.00,HTR,35.69,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,36850,15,15,24,33.56,0.00,-127.00,HTR,34.27,0.00,-127.00,HTR,34.98,0.00,-127.00,HTR,35.69,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,41487,15,15,28,33.56,0.00,-127.00,HTR,34.27,0.00,-127.00,HTR,34.98,0.00,-127.00,HTR,35.69,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,46118,15,15,33,33.56,0.00,-127.00,HTR,34.27,0.00,-127.00,HTR,34.98,0.00,-127.00,HTR,35.69,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,50752,15,15,37,33.56,0.00,-127.00,HTR,34.27,0.00,-127.00,HTR,34.98,0.00,-127.00,HTR,35.69,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,55386,15,15,42,33.56,0.00,-127.00,HTR,34.27,0.00,-127.00,HTR,34.98,0.00,-127.00,HTR,35.69,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,60022,15,15,47,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,65018,15,15,52,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,69653,15,15,56,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,74287,15,16,1,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,78920,15,16,6,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,83553,15,16,10,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,88186,15,16,15,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,92819,15,16,19,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,97456,15,16,24,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,102089,15,16,29,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,106723,15,16,33,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,111362,15,16,38,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,115995,15,16,43,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,120629,15,16,49,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,126906,15,16,54,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,131556,15,16,58,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,136193,15,17,3,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,140827,15,17,7,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,145463,15,17,12,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,150103,15,17,17,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,154739,15,17,21,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,159376,15,17,26,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,164016,15,17,31,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,168651,15,17,35,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,173289,15,17,40,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,177926,15,17,45,33.61,0.00,-127.00,HTR,34.33,0.00,-127.00,HTR,35.06,0.00,-127.00,HTR,35.78,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,182564,15,17,50,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,187566,15,17,54,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,192203,15,17,59,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,196840,15,18,3,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,201478,15,18,8,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,206113,15,18,13,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,210750,15,18,17,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,215386,15,18,22,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,220026,15,18,27,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,224662,15,18,31,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,229299,15,18,36,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,233940,15,18,41,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,238575,15,18,45,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,243211,15,18,51,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,249492,15,18,56,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,254133,15,19,1,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,258767,15,19,5,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,263402,15,19,10,33.67,0.00,-127.00,HTR,34.40,0.00,-127.00,HTR,35.13,0.00,-127.00,HTR,35.87,0.00,-127.00,HTR,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
CRII_OCT2020,2020_October_6,55874,17,28,59,35.00,34.88,34.88,CHL,36.00,35.69,35.69,OFF,37.00,36.63,36.63,OFF,38.00,37.69,37.69,OFF,
CRII_OCT2020,2020_October_6,61516,17,29,11,35.00,34.88,34.88,HTR,36.00,35.69,35.69,HTR,37.00,36.63,36.63,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,73424,17,29,17,35.00,34.88,34.88,HTR,36.00,35.69,35.69,HTR,37.00,36.56,36.56,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,78898,17,29,22,35.00,34.88,34.88,HTR,36.00,35.63,35.63,HTR,37.00,36.56,36.56,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,84369,17,29,28,35.00,34.81,34.81,HTR,36.00,35.63,35.63,HTR,37.00,36.56,36.56,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,89838,17,29,33,35.00,34.81,34.81,HTR,36.00,35.63,35.63,HTR,37.00,36.56,36.56,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,95305,17,29,38,35.00,34.81,34.81,HTR,36.00,35.63,35.63,HTR,37.00,36.56,36.56,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,100780,17,29,44,35.00,34.81,34.81,HTR,36.00,35.63,35.63,HTR,37.00,36.56,36.56,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,106250,17,29,49,35.00,34.88,34.88,CHL,36.00,35.63,35.63,HTR,37.00,36.56,36.56,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,111720,17,29,55,35.00,34.81,34.81,HTR,36.00,35.63,35.63,HTR,37.00,36.56,36.56,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,117190,17,30,0,35.00,34.88,34.88,CHL,36.00,35.69,35.69,HTR,37.00,36.63,36.63,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,122663,17,30,12,35.00,34.88,34.88,HTR,36.00,35.69,35.69,HTR,37.00,36.63,36.63,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,134569,17,30,18,35.00,34.88,34.88,HTR,36.00,35.69,35.69,HTR,37.00,36.63,36.63,HTR,38.00,37.63,37.63,HTR,
CRII_OCT2020,2020_October_6,140038,17,30,23,35.00,34.88,34.88,HTR,36.00,35.75,35.75,OFF,37.00,36.63,36.63,HTR,38.00,37.69,37.69,HTR,
CRII_OCT2020,2020_October_6,145507,17,30,29,35.00,34.88,34.88,HTR,36.00,35.75,35.75,HTR,37.00,36.69,36.69,HTR,38.00,37.69,37.69,HTR,
CRII_OCT2020,2020_October_6,150979,17,30,34,35.00,34.88,34.88,HTR,36.00,35.75,35.75,HTR,37.00,36.69,36.69,HTR,38.00,37.69,37.69,HTR,
CRII_OCT2020,2020_October_6,156449,17,30,40,35.00,34.88,34.88,HTR,36.00,35.81,35.81,CHL,37.00,36.69,36.69,HTR,38.00,37.75,37.75,OFF,
CRII_OCT2020,2020_October_6,161921,17,30,45,35.00,34.88,34.88,HTR,36.00,35.81,35.81,HTR,37.00,36.75,36.75,OFF,38.00,37.75,37.75,HTR,
CRII_OCT2020,2020_October_6,167392,17,30,50,35.00,34.94,34.94,CHL,36.00,35.88,35.88,CHL,37.00,36.75,36.75,HTR,38.00,37.75,37.75,HTR,
CRII_OCT2020,2020_October_6,172867,17,30,56,35.00,34.94,34.94,HTR,36.00,35.88,35.88,HTR,37.00,36.81,36.81,CHL,38.00,37.81,37.81,CHL,
CRII_OCT2020,2020_October_6,178340,17,31,1,35.00,34.94,34.94,HTR,36.00,35.88,35.88,HTR,37.00,36.81,36.81,HTR,38.00,37.81,37.81,HTR,
CRII_OCT2020,2020_October_6,183809,17,31,13,35.00,35.00,35.00,CHL,36.00,35.94,35.94,CHL,37.00,36.81,36.81,HTR,38.00,37.81,37.81,HTR,
CRII_OCT2020,2020_October_6,195717,17,31,19,35.00,35.00,35.00,HTR,36.00,35.94,35.94,HTR,37.00,36.88,36.88,CHL,38.00,37.88,37.88,CHL,
CRII_OCT2020,2020_October_6,201191,17,31,24,35.00,35.00,35.00,HTR,36.00,35.94,35.94,HTR,37.00,36.88,36.88,HTR,38.00,37.88,37.88,HTR,
CRII_OCT2020,2020_October_6,206660,17,31,30,35.00,35.00,35.00,HTR,36.00,35.94,35.94,HTR,37.00,36.94,36.94,CHL,38.00,37.88,37.88,HTR,
CRII_OCT2020,2020_October_6,212127,17,31,35,35.00,35.00,35.00,HTR,36.00,35.94,35.94,HTR,37.00,36.94,36.94,HTR,38.00,37.88,37.88,HTR,
CRII_OCT2020,2020_October_6,217598,17,31,41,35.00,35.06,35.06,CHL,36.00,35.94,35.94,HTR,37.00,36.94,36.94,HTR,38.00,37.94,37.94,CHL,
CRII_OCT2020,2020_October_6,223072,17,31,46,35.00,35.06,35.06,CHL,36.00,36.00,36.00,CHL,37.00,36.94,36.94,HTR,38.00,37.94,37.94,HTR,
CRII_OCT2020,2020_October_6,228543,17,31,52,35.00,35.06,35.06,CHL,36.00,36.00,36.00,HTR,37.00,36.94,36.94,HTR,38.00,37.94,37.94,HTR,
CRII_OCT2020,2020_October_6,234011,17,31,57,35.00,35.06,35.06,CHL,36.00,36.00,36.00,HTR,37.00,36.94,36.94,HTR,38.00,37.94,37.94,HTR,
CRII_OCT2020,2020_October_6,239484,17,32,3,35.00,35.06,35.06,CHL,36.00,36.00,36.00,HTR,37.00,36.94,36.94,HTR,38.00,37.94,37.94,HTR,
CRII_OCT2020,2020_October_6,244952,17,32,14,35.00,35.13,35.13,CHL,36.00,36.00,36.00,HTR,37.00,37.00,37.00,CHL,38.00,37.94,37.94,HTR,
CRII_OCT2020,2020_October_6,256859,17,32,20,35.00,35.13,35.13,CHL,36.00,36.00,36.00,HTR,37.00,37.00,37.00,HTR,38.00,37.94,37.94,HTR,
CRII_OCT2020,2020_October_6,262326,17,32,25,35.00,35.13,35.13,CHL,36.00,36.06,36.06,CHL,37.00,37.00,37.00,HTR,38.00,37.94,37.94,HTR,
CRII_OCT2020,2020_October_6,267799,17,32,31,35.00,35.13,35.13,CHL,36.00,36.06,36.06,CHL,37.00,37.00,37.00,HTR,38.00,37.94,37.94,HTR,
CRII_OCT2020,2020_October_6,273268,17,32,36,35.00,35.06,35.06,HTR,36.00,36.06,36.06,CHL,37.00,37.00,37.00,HTR,38.00,37.94,37.94,HTR,
CRII_OCT2020,2020_October_6,278738,17,32,42,35.00,35.06,35.06,CHL,36.00,36.06,36.06,CHL,37.00,37.00,37.00,HTR,38.00,37.94,37.94,HTR,
CRII_OCT2020,2020_October_6,284208,17,32,47,35.00,35.06,35.06,CHL,36.00,36.06,36.06,CHL,37.00,37.00,37.00,HTR,38.00,38.00,38.00,CHL,
CRII_OCT2020,2020_October_6,289681,17,32,53,35.00,35.06,35.06,CHL,36.00,36.06,36.06,CHL,37.00,37.00,37.00,HTR,38.00,38.00,38.00,HTR,
CRII_OCT2020,2020_October_6,295149,17,32,58,35.00,35.06,35.06,CHL,36.00,36.06,36.06,CHL,37.00,37.00,37.00,HTR,38.00,38.00,38.00,HTR,
CRII_OCT2020,2020_October_6,300617,17,33,4,35.00,35.06,35.06,CHL,36.00,36.06,36.06,CHL,37.00,37.06,37.06,CHL,38.00,38.00,38.00,HTR,
CRII_OCT2020,2020_October_6,306086,17,33,16,35.00,35.06,35.06,CHL,36.00,36.06,36.06,CHL,37.00,37.06,37.06,CHL,38.00,38.00,38.00,HTR,
CRII_OCT2020,2020_October_6,317998,17,33,21,35.00,35.00,35.00,HTR,36.00,36.06,36.06,CHL,37.00,37.06,37.06,CHL,38.00,38.06,38.06,CHL,
CRII_OCT2020,2020_October_6,323482,17,33,27,35.00,35.00,35.00,HTR,36.00,36.06,36.06,CHL,37.00,37.13,37.13,CHL,38.00,38.06,38.06,CHL,
CRII_OCT2020,2020_October_6,328952,17,33,32,35.00,35.00,35.00,HTR,36.00,36.06,36.06,CHL,37.00,37.13,37.13,CHL,38.00,38.06,38.06,CHL,
CRII_OCT2020,2020_October_6,334422,17,33,37,35.00,35.00,35.00,HTR,36.00,36.06,36.06,CHL,37.00,37.13,37.13,CHL,38.00,38.06,38.06,CHL,
CRII_OCT2020,2020_October_6,339897,17,33,43,35.00,35.00,35.00,HTR,36.00,36.06,36.06,CHL,37.00,37.13,37.13,CHL,38.00,38.06,38.06,CHL,
