Row,1,2,3,4,5
A,,,,,
B,ML54,ML6,ML76,ML44,
C,ML1,ML20,ML89,ML79,
D,ML70,ML50,ML10,ML46,
E,ML13,ML90,ML77,ML63,
F,ML78,ML5,ML36,ML31,
