PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
COVID_Cruise_2020,2020_August_20,169484,11,35,47,30.00,29.99,29.99,HTR,30.00,30.02,30.02,CHL,30.00,30.11,30.11,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,174961,11,35,52,30.00,29.99,29.99,HTR,30.00,30.02,30.02,CHL,30.00,30.05,30.05,HTR,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,180435,11,35,58,30.00,30.05,30.05,CHL,30.00,30.02,30.02,CHL,30.00,30.11,30.11,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,185913,11,36,5,30.00,30.05,30.05,CHL,30.00,30.02,30.02,CHL,30.00,30.05,30.05,HTR,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,192930,11,36,10,30.00,30.05,30.05,CHL,30.00,30.02,30.02,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,198411,11,36,16,30.00,30.05,30.05,CHL,30.00,30.02,30.02,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,203889,11,36,21,30.00,30.05,30.05,CHL,30.00,30.02,30.02,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,209367,11,36,27,30.00,30.05,30.05,CHL,30.00,30.02,30.02,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,214847,11,36,32,30.00,30.05,30.05,CHL,30.00,30.02,30.02,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,220323,11,36,38,30.00,30.05,30.05,CHL,30.00,30.02,30.02,CHL,30.00,30.11,30.11,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,225802,11,36,43,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.11,30.11,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,231280,11,36,49,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.11,30.11,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,236760,11,36,54,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.11,30.11,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,242237,11,37,0,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.11,30.11,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,247713,11,37,7,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.05,30.05,HTR,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,254732,11,37,12,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.05,30.05,CHL,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,260209,11,37,18,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,265686,11,37,23,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.05,30.05,CHL,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,271162,11,37,29,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,276641,11,37,34,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.05,30.05,CHL,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,282117,11,37,40,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,287592,11,37,45,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.05,30.05,CHL,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,293068,11,37,51,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,298551,11,37,56,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.05,30.05,CHL,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,304027,11,38,2,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,309506,11,38,9,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,316527,11,38,14,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,322010,11,38,20,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,327487,11,38,25,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,332965,11,38,31,30.00,30.05,30.05,HTR,30.00,30.09,30.09,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,338444,11,38,36,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,343925,11,38,41,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,349403,11,38,47,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,354881,11,38,52,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,360364,11,38,58,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.06,30.06,HTR,
COVID_Cruise_2020,2020_August_20,365841,11,39,3,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,371318,11,39,10,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,29.99,29.99,HTR,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,378338,11,39,16,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,383820,11,39,21,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,29.99,29.99,HTR,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,389299,11,39,27,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,29.99,29.99,HTR,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,394774,11,39,32,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,29.99,29.99,HTR,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,400250,11,39,38,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,29.99,29.99,HTR,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,405730,11,39,43,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,29.99,29.99,HTR,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,411207,11,39,49,30.00,29.99,29.99,HTR,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,416684,11,39,54,30.00,29.99,29.99,HTR,30.00,30.15,30.15,CHL,30.00,29.99,29.99,HTR,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,422162,11,40,0,30.00,29.99,29.99,HTR,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,427638,11,40,5,30.00,29.99,29.99,HTR,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,433114,11,40,12,30.00,29.99,29.99,HTR,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,440132,11,40,18,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.05,30.05,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,445614,11,40,23,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,451093,11,40,29,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,456571,11,40,34,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,462050,11,40,40,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,467530,11,40,45,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.06,30.06,HTR,
COVID_Cruise_2020,2020_August_20,473009,11,40,51,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,478488,11,40,56,30.00,30.05,30.05,CHL,30.00,30.09,30.09,HTR,30.00,30.11,30.11,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,483968,11,41,2,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,489445,11,41,7,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,494923,11,41,14,30.00,30.05,30.05,HTR,30.00,30.09,30.09,CHL,30.00,30.11,30.11,HTR,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,501943,11,41,20,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,507423,11,41,25,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,512902,11,41,31,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,518381,11,41,36,30.00,30.05,30.05,HTR,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,523859,11,41,42,30.00,30.05,30.05,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,529340,11,41,47,30.00,30.05,30.05,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,534818,11,41,53,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,540298,11,41,58,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,545779,11,42,4,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,551256,11,42,9,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,556733,11,42,16,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,563756,11,42,22,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,569237,11,42,27,30.00,30.11,30.11,CHL,30.00,30.02,30.02,HTR,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,574714,11,42,33,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.11,30.11,HTR,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,580190,11,42,38,30.00,30.17,30.17,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,585668,11,42,44,30.00,30.17,30.17,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,591156,11,42,49,30.00,30.17,30.17,CHL,30.00,30.02,30.02,CHL,30.00,30.11,30.11,HTR,30.00,30.00,30.00,CHL,
COVID_Cruise_2020,2020_August_20,596629,11,42,55,30.00,30.11,30.11,HTR,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.00,30.00,CHL,
COVID_Cruise_2020,2020_August_20,602103,11,43,0,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.00,30.00,CHL,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
COVID_Cruise_2020,2020_August_20,607581,11,43,6,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.11,30.11,HTR,30.00,30.00,30.00,CHL,
COVID_Cruise_2020,2020_August_20,613215,11,43,11,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.11,30.11,CHL,30.00,30.00,30.00,CHL,
COVID_Cruise_2020,2020_August_20,618689,11,43,18,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.00,30.00,CHL,
COVID_Cruise_2020,2020_August_20,625713,11,43,24,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.00,30.00,CHL,
COVID_Cruise_2020,2020_August_20,631190,11,43,29,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.00,30.00,CHL,
COVID_Cruise_2020,2020_August_20,636666,11,43,35,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.00,30.00,CHL,
COVID_Cruise_2020,2020_August_20,642142,11,43,40,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,647624,11,43,46,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,653102,11,43,51,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,658579,11,43,57,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,664057,11,44,2,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.17,30.17,CHL,30.00,30.00,30.00,CHL,
COVID_Cruise_2020,2020_August_20,669532,11,44,8,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,675010,11,44,13,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.17,30.17,CHL,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,680485,11,44,20,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,687508,11,44,26,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.17,30.17,CHL,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,692983,11,44,31,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,698461,11,44,37,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.17,30.17,CHL,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,703936,11,44,42,30.00,30.11,30.11,CHL,30.00,29.96,29.96,HTR,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,709414,11,44,48,30.00,30.05,30.05,HTR,30.00,29.96,29.96,HTR,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,714891,11,44,53,30.00,30.05,30.05,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,720369,11,44,59,30.00,30.11,30.11,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,725850,11,45,4,30.00,30.05,30.05,HTR,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,731324,11,45,10,30.00,30.05,30.05,CHL,30.00,30.02,30.02,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,736801,11,45,15,30.00,30.05,30.05,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,742280,11,45,22,30.00,30.05,30.05,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,749303,11,45,28,30.00,30.05,30.05,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,754782,11,45,33,30.00,30.11,30.11,CHL,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,HTR,
COVID_Cruise_2020,2020_August_20,760260,11,45,39,30.00,30.05,30.05,HTR,30.00,30.09,30.09,CHL,30.00,30.17,30.17,CHL,30.00,30.06,30.06,CHL,
COVID_Cruise_2020,2020_August_20,765737,11,45,44,30.00,30.11,30.11,CHL,30.00,30.15,30.15,CHL,30.00,30.17,30.17,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,771219,11,45,49,30.00,30.05,30.05,HTR,30.00,30.15,30.15,CHL,30.00,30.11,30.11,HTR,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,776695,11,45,55,30.00,30.05,30.05,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,782175,11,46,0,30.00,30.11,30.11,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,787652,11,46,6,30.00,30.11,30.11,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.06,30.06,HTR,
COVID_Cruise_2020,2020_August_20,793131,11,46,11,30.00,30.11,30.11,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,798609,11,46,17,30.00,30.11,30.11,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.12,30.12,CHL,
COVID_Cruise_2020,2020_August_20,804088,11,46,24,30.00,30.11,30.11,CHL,30.00,30.15,30.15,CHL,30.00,30.11,30.11,CHL,30.00,30.12,30.12,CHL,
