"2020-10-07";"23:26:47";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-07";"19:52:43";"SCHS";"";"Chart start ";""
"5";"2020-10-07";"19:52:44";"C";"";"File Nr. 421 | File Dev. ID #1, DIVING-PAM-II:  ";""
"14005";"2020-10-07";"19:52:58";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"48545";"2020-10-07";"19:53:32";"F";"10451";"8";"17";"0";"-";"-"
"52005";"2020-10-07";"19:53:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"56315";"2020-10-07";"19:53:40";"F";"10452";"6";"15";"0";"-";"-"
"60005";"2020-10-07";"19:53:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"66955";"2020-10-07";"19:53:50";"F";"10453";"7";"13";"0";"-";"-"
"70005";"2020-10-07";"19:53:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"73565";"2020-10-07";"19:53:57";"F";"10454";"10";"20";"0";"-";"-"
"77005";"2020-10-07";"19:54:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"82125";"2020-10-07";"19:54:06";"F";"10455";"6";"20";"0";"-";"-"
"86005";"2020-10-07";"19:54:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"91705";"2020-10-07";"19:54:15";"F";"10456";"8";"22";"0";"-";"-"
"95005";"2020-10-07";"19:54:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"103185";"2020-10-07";"19:54:27";"F";"10457";"4";"16";"0";"-";"-"
"107005";"2020-10-07";"19:54:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"114135";"2020-10-07";"19:54:38";"F";"10458";"6";"15";"0";"-";"-"
"118005";"2020-10-07";"19:54:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"123865";"2020-10-07";"19:54:47";"F";"10459";"6";"15";"0";"-";"-"
"127005";"2020-10-07";"19:54:51";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"134035";"2020-10-07";"19:54:58";"F";"10460";"14";"14";"0";"-";"-"
"138005";"2020-10-07";"19:55:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"143735";"2020-10-07";"19:55:07";"F";"10461";"6";"17";"0";"-";"-"
"147005";"2020-10-07";"19:55:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"152975";"2020-10-07";"19:55:16";"F";"10462";"7";"12";"0";"-";"-"
"156005";"2020-10-07";"19:55:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"161355";"2020-10-07";"19:55:25";"F";"10463";"8";"14";"0";"-";"-"
"165005";"2020-10-07";"19:55:29";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"172985";"2020-10-07";"19:55:36";"F";"10464";"12";"17";"0";"-";"-"
"176005";"2020-10-07";"19:55:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"182845";"2020-10-07";"19:55:46";"F";"10465";"0";"20";"0";"-";"-"
"186005";"2020-10-07";"19:55:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"192075";"2020-10-07";"19:55:56";"F";"10466";"10";"18";"0";"-";"-"
"196005";"2020-10-07";"19:56:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"215595";"2020-10-07";"19:56:19";"F";"10467";"9";"14";"0";"-";"-"
"219005";"2020-10-07";"19:56:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"227055";"2020-10-07";"19:56:31";"F";"10468";"13";"15";"0";"-";"-"
"231005";"2020-10-07";"19:56:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"239135";"2020-10-07";"19:56:43";"F";"10469";"8";"10";"0";"-";"-"
"243005";"2020-10-07";"19:56:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"247055";"2020-10-07";"19:56:51";"F";"10470";"7";"17";"0";"-";"-"
"251005";"2020-10-07";"19:56:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"255595";"2020-10-07";"19:56:59";"F";"10471";"6";"19";"0";"-";"-"
"255600";"2020-10-07";"19:56:59";"SCHE";"";"Chart stop ";""
"259005";"2020-10-07";"19:57:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
