"2020-10-07";"23:31:03";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-07";"21:12:23";"SCHS";"";"Chart start ";""
"5";"2020-10-07";"21:12:24";"C";"";"File Nr. 432 | File Dev. ID #1, DIVING-PAM-II:  ";""
"18205";"2020-10-07";"21:12:42";"F";"10880";"3";"10";"0";"-";"-"
"22005";"2020-10-07";"21:12:46";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"32335";"2020-10-07";"21:12:56";"F";"10881";"3";"9";"0";"-";"-"
"36005";"2020-10-07";"21:13:00";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"39945";"2020-10-07";"21:13:03";"F";"10882";"1";"7";"0";"-";"-"
"43005";"2020-10-07";"21:13:07";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"48295";"2020-10-07";"21:13:12";"F";"10883";"2";"8";"0";"-";"-"
"52005";"2020-10-07";"21:13:16";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"55155";"2020-10-07";"21:13:19";"F";"10884";"4";"7";"0";"-";"-"
"59005";"2020-10-07";"21:13:23";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"62175";"2020-10-07";"21:13:26";"F";"10885";"3";"11";"0";"-";"-"
"67005";"2020-10-07";"21:13:31";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"96615";"2020-10-07";"21:14:00";"F";"10886";"6";"14";"0";"-";"-"
"100005";"2020-10-07";"21:14:04";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"104565";"2020-10-07";"21:14:08";"F";"10887";"3";"10";"0";"-";"-"
"108005";"2020-10-07";"21:14:12";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"113565";"2020-10-07";"21:14:17";"F";"10888";"5";"8";"0";"-";"-"
"117005";"2020-10-07";"21:14:21";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"122625";"2020-10-07";"21:14:26";"F";"10889";"2";"10";"0";"-";"-"
"126005";"2020-10-07";"21:14:30";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"135725";"2020-10-07";"21:14:39";"F";"10890";"3";"8";"0";"-";"-"
"139005";"2020-10-07";"21:14:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"148885";"2020-10-07";"21:14:52";"F";"10891";"3";"7";"0";"-";"-"
"152005";"2020-10-07";"21:14:56";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"161235";"2020-10-07";"21:15:05";"F";"10892";"4";"10";"0";"-";"-"
"165005";"2020-10-07";"21:15:09";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"171285";"2020-10-07";"21:15:15";"F";"10893";"4";"10";"0";"-";"-"
"176005";"2020-10-07";"21:15:20";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"183245";"2020-10-07";"21:15:27";"F";"10894";"3";"8";"0";"-";"-"
"187005";"2020-10-07";"21:15:31";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"190125";"2020-10-07";"21:15:34";"F";"10895";"4";"10";"0";"-";"-"
"194005";"2020-10-07";"21:15:38";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"199675";"2020-10-07";"21:15:43";"F";"10896";"5";"13";"0";"-";"-"
"203005";"2020-10-07";"21:15:47";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"213865";"2020-10-07";"21:15:57";"F";"10897";"2";"12";"0";"-";"-"
"213870";"2020-10-07";"21:15:57";"SCHE";"";"Chart stop ";""
"217005";"2020-10-07";"21:16:01";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
