geno,f,fm,fvfm,tank_id,tank_set,max_temp
66y,434,741,0.414,P1,port,35
66y,424,907,0.533,P1,port,35
40y,275,371,0.259,P1,port,35
40y,329,467,0.296,P1,port,35
49y,247,528,0.532,P1,port,35
49y,268,510,0.475,P1,port,35
44y,221,458,0.517,P1,port,35
44y,323,585,0.448,P1,port,35
70y,214,372,0.425,P1,port,35
70y,345,555,0.378,P1,port,35
59y,369,575,0.358,P1,port,35
59y,338,520,0.35,P1,port,35
14y,353,599,0.411,P1,port,35
14y,334,641,0.479,P1,port,35
85y,118,210,0.438,P1,port,35
85y,247,435,0.432,P1,port,35
52y,196,320,0.388,P1,port,35
52y,320,557,0.425,P1,port,35
63y,196,392,0.5,P1,port,35
63y,331,721,0.541,P1,port,35
48y,326,610,0.466,P1,port,35
48y,405,813,0.502,P1,port,35
55y,282,491,0.426,P1,port,35
55y,308,463,0.335,P1,port,35
67y,486,731,0.335,P1,port,35
67y,386,647,0.403,P1,port,35
54y,304,482,0.369,P1,port,35
54y,198,376,0.473,P1,port,35
32y,195,303,0.356,P1,port,35
32y,300,452,0.336,P1,port,35
23y,407,793,0.487,P1,port,35
23y,337,678,0.503,P1,port,35
46y,341,478,0.287,P1,port,35
46y,236,407,0.42,P1,port,35
58y,259,349,0.258,P1,port,35
58y,207,299,0.308,P1,port,35
42y,204,323,0.368,P1,port,35
42y,304,500,0.392,P1,port,35
30y,241,435,0.446,P1,port,35
30y,276,556,0.504,P1,port,35
66y,272,369,0.263,P2,port,36
66y,227,382,0.406,P2,port,36
40y,124,154,0.195,P2,port,36
40y,218,275,0.207,P2,port,36
49y,329,473,0.304,P2,port,36
49y,340,493,0.31,P2,port,36
44y,385,483,0.203,P2,port,36
44y,128,169,0.243,P2,port,36
70y,223,469,0.525,P2,port,36
70y,312,539,0.421,P2,port,36
59y,215,331,0.35,P2,port,36
59y,261,316,0.174,P2,port,36
14y,127,213,0.404,P2,port,36
14y,313,442,0.292,P2,port,36
85y,284,344,0.174,P2,port,36
85y,190,244,0.221,P2,port,36
52y,213,403,0.471,P2,port,36
52y,267,409,0.347,P2,port,36
63y,265,419,0.368,P2,port,36
63y,249,371,0.329,P2,port,36
48y,167,241,0.307,P2,port,36
48y,281,352,0.202,P2,port,36
55y,100,131,0.237,P2,port,36
55y,168,260,0.354,P2,port,36
67y,293,446,0.343,P2,port,36
67y,159,241,0.34,P2,port,36
