"2020-10-14";"23:40:35";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-14";"18:53:04";"SCHS";"";"Chart start ";""
"5";"2020-10-14";"18:53:05";"C";"";"File Nr. 513 | File Dev. ID #1, DIVING-PAM-II:  ";""
"134535";"2020-10-14";"18:55:19";"F";"13031";"17";"31";"0";"-";"-"
"138005";"2020-10-14";"18:55:23";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"139115";"2020-10-14";"18:55:24";"F";"13032";"10";"26";"0";"-";"-"
"143005";"2020-10-14";"18:55:28";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"146115";"2020-10-14";"18:55:31";"F";"13033";"88";"131";"0";"0.328";"0.0"
"150145";"2020-10-14";"18:55:35";"F";"13034";"141";"175";"0";"0.194";"0.0"
"151005";"2020-10-14";"18:55:36";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"155005";"2020-10-14";"18:55:40";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"158135";"2020-10-14";"18:55:43";"F";"13035";"72";"97";"0";"0.258";"0.0"
"162005";"2020-10-14";"18:55:47";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"166835";"2020-10-14";"18:55:51";"F";"13036";"173";"190";"0";"0.089";"0.0"
"171005";"2020-10-14";"18:55:56";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"172755";"2020-10-14";"18:55:57";"F";"13037";"164";"225";"0";"0.271";"0.0"
"176005";"2020-10-14";"18:56:01";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"181825";"2020-10-14";"18:56:06";"F";"13038";"49";"71";"0";"0.310";"0.0"
"185005";"2020-10-14";"18:56:10";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"190405";"2020-10-14";"18:56:15";"F";"13039";"44";"65";"0";"0.323";"0.0"
"195005";"2020-10-14";"18:56:20";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"200335";"2020-10-14";"18:56:25";"F";"13040";"18";"37";"0";"-";"-"
"204005";"2020-10-14";"18:56:29";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"205265";"2020-10-14";"18:56:30";"F";"13041";"7";"26";"0";"-";"-"
"209005";"2020-10-14";"18:56:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"213825";"2020-10-14";"18:56:38";"F";"13042";"138";"155";"0";"0.110";"0.0"
"218005";"2020-10-14";"18:56:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
