"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"76",760285,2020-10-14,19:05:45,"F",13104,"17",30,0,"-","-"
"77",765755,2020-10-14,19:05:50,"F",13105,"14",35,0,"-","-"
"78",778945,2020-10-14,19:06:03,"F",13106,"114",140,0,"0.186","0.0"
"79",784555,2020-10-14,19:06:09,"F",13107,"60",137,0,"0.562","0.0"
"80",790915,2020-10-14,19:06:15,"F",13108,"126",219,0,"0.425","0.0"
"81",798325,2020-10-14,19:06:23,"F",13109,"104",166,0,"0.373","0.0"
"82",804465,2020-10-14,19:06:29,"F",13110,"115",192,0,"0.401","0.0"
"83",810695,2020-10-14,19:06:35,"F",13111,"168",352,0,"0.523","0.0"
"84",816735,2020-10-14,19:06:41,"F",13112,"199",300,0,"0.337","0.0"
"85",823765,2020-10-14,19:06:48,"F",13113,"273",414,0,"0.341","0.0"
"86",836745,2020-10-14,19:07:01,"F",13114,"24",52,0,"0.538","0.0"
"87",859285,2020-10-14,19:07:24,"F",13115,"26",41,0,"-","-"
"88",875495,2020-10-14,19:07:40,"F",13116,"22",54,0,"0.593","0.0"
"89",893035,2020-10-14,19:07:58,"F",13117,"269",474,0,"0.432","0.0"
"90",899395,2020-10-14,19:08:04,"F",13118,"315",522,0,"0.397","0.0"
"91",907805,2020-10-14,19:08:12,"F",13119,"130",160,0,"0.188","0.0"
"92",911915,2020-10-14,19:08:16,"F",13120,"151",190,0,"0.205","0.0"
"93",919685,2020-10-14,19:08:24,"F",13121,"62",79,0,"0.215","0.0"
"94",925095,2020-10-14,19:08:30,"F",13122,"105",143,0,"0.266","0.0"
"95",939875,2020-10-14,19:08:44,"F",13123,"39",57,0,"0.316","0.0"
"96",943555,2020-10-14,19:08:48,"F",13124,"29",39,0,"-","-"
"97",0,1970-01-01,00:00:00,"C",NA,"#1: DIVING-PAM-II | ERROR: Low Battery Shutdown",NA,NA,NA,NA
"98",1602698943000,2020-10-14,19:09:03,"C",NA,"File Nr. 515 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"99",1602698966000,2020-10-14,19:09:26,"C",NA,"File Nr. 516 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"100",1602699020580,2020-10-14,19:10:20,"F",13125,"18",30,0,"-","-"
"101",1602699026800,2020-10-14,19:10:26,"F",13126,"12",33,0,"-","-"
"102",1602699043350,2020-10-14,19:10:43,"F",13127,"15",43,0,"-","-"
"103",1602699046780,2020-10-14,19:10:46,"F",13128,"36",54,0,"0.333","0.0"
"104",1602699055360,2020-10-14,19:10:55,"F",13129,"102",176,0,"0.420","0.0"
"105",1602699059380,2020-10-14,19:10:59,"F",13130,"64",103,0,"0.379","0.0"
"106",1602699067020,2020-10-14,19:11:07,"F",13131,"102",182,0,"0.440","0.0"
"107",1602699071800,2020-10-14,19:11:11,"F",13132,"79",138,0,"0.428","0.0"
"108",1602699078200,2020-10-14,19:11:18,"F",13133,"40",76,0,"0.474","0.0"
"109",1602699082910,2020-10-14,19:11:22,"F",13134,"36",58,0,"0.379","0.0"
"110",1602699089120,2020-10-14,19:11:29,"F",13135,"79",161,0,"0.509","0.0"
"111",1602699092870,2020-10-14,19:11:32,"F",13136,"130",163,0,"0.202","0.0"
"112",1602699098080,2020-10-14,19:11:38,"F",13137,"97",205,0,"0.527","0.0"
"113",1602699105880,2020-10-14,19:11:45,"F",13138,"18",68,0,"0.735","0.0"
"114",1602699115220,2020-10-14,19:11:55,"F",13139,"359",599,0,"0.401","0.0"
"115",1602699121650,2020-10-14,19:12:01,"F",13140,"422",528,0,"0.201","0.0"
"116",1602699127870,2020-10-14,19:12:07,"F",13141,"410",501,0,"0.182","0.0"
"117",1602699163570,2020-10-14,19:12:43,"F",13142,"183",227,0,"0.194","0.0"
"118",1602699167400,2020-10-14,19:12:47,"F",13143,"119",165,0,"0.279","0.0"
"119",1602699173230,2020-10-14,19:12:53,"F",13144,"109",177,0,"0.384","0.0"
"120",1602699179710,2020-10-14,19:12:59,"F",13145,"97",154,0,"0.370","0.0"
"121",1602699186870,2020-10-14,19:13:06,"F",13146,"134",254,0,"0.472","0.0"
"122",1602699190380,2020-10-14,19:13:10,"F",13147,"132",216,0,"0.389","0.0"
"123",1602699201920,2020-10-14,19:13:21,"F",13148,"179",318,0,"0.437","0.0"
"124",1602699205410,2020-10-14,19:13:25,"F",13149,"125",162,0,"0.228","0.0"
"125",1602699210240,2020-10-14,19:13:30,"F",13150,"170",295,0,"0.424","0.0"
"126",1602699217230,2020-10-14,19:13:37,"F",13151,"276",365,0,"0.244","0.0"
"127",1602699223330,2020-10-14,19:13:43,"F",13152,"216",358,0,"0.397","0.0"
"128",1602699231530,2020-10-14,19:13:51,"F",13153,"162",290,0,"0.441","0.0"
"129",1602699236380,2020-10-14,19:13:56,"F",13154,"152",245,0,"0.380","0.0"
"130",1602699244430,2020-10-14,19:14:04,"F",13155,"187",280,0,"0.332","0.0"
"131",1602699248240,2020-10-14,19:14:08,"F",13156,"225",365,0,"0.384","0.0"
"132",1602699256340,2020-10-14,19:14:16,"F",13157,"393",669,0,"0.413","0.0"
"133",1602699259140,2020-10-14,19:14:19,"F",13158,"497",696,0,"0.286","0.0"
"134",1602699265640,2020-10-14,19:14:25,"F",13159,"211",325,0,"0.351","0.0"
"135",1602699274350,2020-10-14,19:14:34,"F",13160,"200",336,0,"0.405","0.0"
"136",1602699287940,2020-10-14,19:14:47,"F",13161,"147",297,0,"0.505","0.0"
"137",1602699291110,2020-10-14,19:14:51,"F",13162,"314",462,0,"0.320","0.0"
"138",1602699296780,2020-10-14,19:14:56,"F",13163,"245",371,0,"0.340","0.0"
"139",1602699321030,2020-10-14,19:15:21,"F",13164,"143",231,0,"0.381","0.0"
"140",1602699326050,2020-10-14,19:15:26,"F",13165,"63",111,0,"0.432","0.0"
"141",1602699333960,2020-10-14,19:15:33,"F",13166,"129",208,0,"0.380","0.0"
"142",1602699337650,2020-10-14,19:15:37,"F",13167,"155",197,0,"0.213","0.0"
"143",1602699355020,2020-10-14,19:15:55,"F",13168,"80",162,0,"0.506","0.0"
"144",1602699361310,2020-10-14,19:16:01,"F",13169,"61",99,0,"0.384","0.0"
"145",1602699367120,2020-10-14,19:16:07,"F",13170,"78",137,0,"0.431","0.0"
"146",1602699374810,2020-10-14,19:16:14,"F",13171,"204",304,0,"0.329","0.0"
"147",1602699380420,2020-10-14,19:16:20,"F",13172,"317",471,0,"0.327","0.0"
"148",1602699427000,2020-10-14,19:17:07,"C",NA,"File Nr. 517 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"149",1602699446530,2020-10-14,19:17:26,"F",13173,"12",24,0,"-","-"
"150",1602699481690,2020-10-14,19:18:01,"F",13174,"11",41,0,"-","-"
"151",1602699492600,2020-10-14,19:18:12,"F",13175,"9",42,0,"-","-"
"152",1602699545180,2020-10-14,19:19:05,"F",13176,"8",40,0,"-","-"
"153",1602699558030,2020-10-14,19:19:18,"F",13177,"17",31,0,"-","-"
"154",1602699583330,2020-10-14,19:19:43,"F",13178,"12",34,0,"-","-"
"155",1602699609150,2020-10-14,19:20:09,"F",13179,"13",31,0,"-","-"
"156",1602699723570,2020-10-14,19:22:03,"F",13180,"5",37,0,"-","-"
"157",1602699740410,2020-10-14,19:22:20,"F",13181,"3",32,0,"-","-"
"158",1602699791180,2020-10-14,19:23:11,"F",13182,"5",36,0,"-","-"
"159",1602699804880,2020-10-14,19:23:24,"F",13183,"10",32,0,"-","-"
"160",1602699864240,2020-10-14,19:24:24,"F",13184,"0",11,0,"-","-"
