nursery,geno,genoN,max_temp,fvfmraw,fvfm,.fitted,ed50
um,66y,g220,35,0.414,0.414,0.47032174607338223,36.052818604658484
um,66y,g220,35,0.533,0.533,0.47032174607338223,36.052818604658484
um,66y,g220,36,0.263,0.263,0.34910486964826876,36.052818604658484
um,66y,g220,36,0.406,0.406,0.34910486964826876,36.052818604658484
um,66y,g220,37,0.211,0.211,0.22930563528146203,36.052818604658484
um,66y,g220,37,0.209,0.209,0.22930563528146203,36.052818604658484
um,66y,g220,38,0.199,0.199,0.13628907693041475,36.052818604658484
um,66y,g220,34,0.563,0.563,0.5652080651852507,36.052818604658484
um,66y,g220,34,0.594,0.594,0.5652080651852507,36.052818604658484
um,66y,g220,33,0.612,0.612,0.6248755602215098,36.052818604658484
um,66y,g220,33,0.638,0.638,0.6248755602215098,36.052818604658484
um,66y,g220,32,0.669,0.669,0.6569677216645298,36.052818604658484
um,66y,g220,32,0.673,0.673,0.6569677216645298,36.052818604658484
um,66y,g220,30,0.65,0.65,0.6796815375983186,36.052818604658484
um,66y,g220,30,0.659,0.659,0.6796815375983186,36.052818604658484
um,40y,g204,35,0.259,0.259,0.3864093619782388,35.373907978509855
um,40y,g204,35,0.296,0.296,0.3864093619782388,35.373907978509855
um,40y,g204,36,0.195,0.195,0.2648209027804768,35.373907978509855
um,40y,g204,36,0.207,0.207,0.2648209027804768,35.373907978509855
um,40y,g204,37,0.283,0.283,0.16304435881556173,35.373907978509855
um,40y,g204,37,0.265,0.265,0.16304435881556173,35.373907978509855
um,40y,g204,38,0.191,0.191,0.09324973772405196,35.373907978509855
um,40y,g204,38,0.348,0,0.09324973772405196,35.373907978509855
um,40y,g204,34,0.555,0.555,0.4998633249971974,35.373907978509855
um,40y,g204,34,0.602,0.602,0.4998633249971974,35.373907978509855
um,40y,g204,33,0.648,0.648,0.5827115669352413,35.373907978509855
um,40y,g204,33,0.627,0.627,0.5827115669352413,35.373907978509855
um,40y,g204,32,0.644,0.644,0.6323645670415894,35.373907978509855
um,40y,g204,32,0.62,0.62,0.6323645670415894,35.373907978509855
um,40y,g204,30,0.663,0.663,0.6707646786623859,35.373907978509855
um,40y,g204,30,0.588,0.588,0.6707646786623859,35.373907978509855
um,49y,g211,35,0.532,0.532,0.5392988712998598,35.870298787996624
um,49y,g211,35,0.475,0.475,0.5392988712998598,35.870298787996624
um,49y,g211,36,0.304,0.304,0.278162650947702,35.870298787996624
um,49y,g211,36,0.31,0.31,0.278162650947702,35.870298787996624
um,49y,g211,37,0.389,0,0.06532755974119936,35.870298787996624
um,49y,g211,38,0.349,0,0.011088440136996036,35.870298787996624
um,49y,g211,38,NA,0,0.011088440136996036,35.870298787996624
um,49y,g211,38,0.349,0,0.011088440136996036,35.870298787996624
um,49y,g211,38,NA,0,0.011088440136996036,35.870298787996624
um,49y,g211,34,0.641,0.641,0.621446730585579,35.870298787996624
um,49y,g211,34,0.672,0.672,0.621446730585579,35.870298787996624
um,49y,g211,33,0.615,0.615,0.6342951850629436,35.870298787996624
um,49y,g211,33,0.608,0.608,0.6342951850629436,35.870298787996624
um,49y,g211,32,0.672,0.672,0.6359408382593135,35.870298787996624
um,49y,g211,32,0.593,0.593,0.6359408382593135,35.870298787996624
um,49y,g211,30,0.643,0.643,0.6361557743398235,35.870298787996624
um,49y,g211,30,0.66,0.66,0.6361557743398235,35.870298787996624
um,44y,g207,35,0.517,0.517,0.48030208361668963,35.595283009063856
um,44y,g207,35,0.448,0.448,0.48030208361668963,35.595283009063856
um,44y,g207,36,0.203,0.203,0.2287356697617767,35.595283009063856
um,44y,g207,36,0.243,0.243,0.2287356697617767,35.595283009063856
um,44y,g207,37,0.089,0.089,0.06602269383413453,35.595283009063856
um,44y,g207,38,0.492,0,0.015679384374420513,35.595283009063856
um,44y,g207,38,0.589,0,0.015679384374420513,35.595283009063856
um,44y,g207,38,0.492,0,0.015679384374420513,35.595283009063856
um,44y,g207,38,0.589,0,0.015679384374420513,35.595283009063856
um,44y,g207,34,0.608,0.608,0.6186957352375928,35.595283009063856
um,44y,g207,34,0.651,0.651,0.6186957352375928,35.595283009063856
um,44y,g207,33,0.586,0.586,0.6553562608304642,35.595283009063856
um,44y,g207,33,0.645,0.645,0.6553562608304642,35.595283009063856
um,44y,g207,32,0.656,0.656,0.6626121085821808,35.595283009063856
um,44y,g207,32,0.682,0.682,0.6626121085821808,35.595283009063856
um,44y,g207,30,0.706,0.706,0.6641155215327298,35.595283009063856
um,44y,g207,30,0.667,0.667,0.6641155215327298,35.595283009063856
um,70y,g223,35,0.425,0.425,0.46410942518158216,35.89544660112499
um,70y,g223,35,0.378,0.378,0.46410942518158216,35.89544660112499
um,70y,g223,36,0.421,0.421,0.3255331863011215,35.89544660112499
um,70y,g223,37,0.266,0.266,0.19495652038967148,35.89544660112499
um,70y,g223,37,0.261,0.261,0.19495652038967148,35.89544660112499
um,70y,g223,38,0.399,0,0.10367843471086392,35.89544660112499
um,70y,g223,38,0.362,0,0.10367843471086392,35.89544660112499
um,70y,g223,38,0.399,0,0.10367843471086392,35.89544660112499
um,70y,g223,38,0.362,0,0.10367843471086392,35.89544660112499
um,70y,g223,34,0.576,0.576,0.5697794830103485,35.89544660112499
um,70y,g223,34,0.58,0.58,0.5697794830103485,35.89544660112499
um,70y,g223,33,0.666,0.666,0.6308506865663456,35.89544660112499
um,70y,g223,33,0.609,0.609,0.6308506865663456,35.89544660112499
um,70y,g223,32,0.638,0.638,0.6601699731906344,35.89544660112499
um,70y,g223,32,0.64,0.64,0.6601699731906344,35.89544660112499
um,70y,g223,30,0.719,0.719,0.6778432596777461,35.89544660112499
um,70y,g223,30,0.683,0.683,0.6778432596777461,35.89544660112499
um,59y,g216,35,0.358,0.358,0.36928622583326803,35.3944570502389
um,59y,g216,35,0.35,0.35,0.36928622583326803,35.3944570502389
um,59y,g216,36,0.35,0.35,0.25853599997603083,35.3944570502389
um,59y,g216,36,0.174,0.174,0.25853599997603083,35.3944570502389
um,59y,g216,37,0.28,0.28,0.1641575918629589,35.3944570502389
um,59y,g216,37,0.162,0.162,0.1641575918629589,35.3944570502389
um,59y,g216,38,0.425,0,0.09727032655805304,35.3944570502389
um,59y,g216,34,0.452,0.452,0.47305075098945354,35.3944570502389
um,59y,g216,34,0.432,0.432,0.47305075098945354,35.3944570502389
um,59y,g216,33,0.573,0.573,0.5507535838829202,35.3944570502389
um,59y,g216,33,0.56,0.56,0.5507535838829202,35.3944570502389
um,59y,g216,32,0.65,0.65,0.5991508691199445,35.3944570502389
um,59y,g216,32,0.633,0.633,0.5991508691199445,35.3944570502389
um,59y,g216,30,0.615,0.615,0.6388406244375887,35.3944570502389
um,59y,g216,30,0.608,0.608,0.6388406244375887,35.3944570502389
um,14y,g190,35,0.411,0.411,0.4270351504300089,35.45363844233837
um,14y,g190,35,0.479,0.479,0.4270351504300089,35.45363844233837
um,14y,g190,36,0.404,0,0.20879835015714984,35.45363844233837
um,14y,g190,36,0.292,0.292,0.20879835015714984,35.45363844233837
um,14y,g190,37,0.247,0.247,0.0707352710218337,35.45363844233837
