nursery,geno,source_lat,source_lon,MMM_5km
RRT,Acer124RR, 24° 46.577'N, 80° 44.198'W,29.7761
RRT,Acer126RR, 24° 27.834'N, 81° 59.005'W,30.0319
RRT,ML3, 24° 33.784'N, 81° 24.060'W,30.2694
RRT,ML5, 24° 31.354'N, 81° 31.187'W,30.0192
RRT,ML31, 24° 32.862'N, 81° 27.418'W,29.8415
RRT,ML34, 24° 32.319'N, 81° 26.615'W,29.8993
RRT,ML41, 24° 33.192'N, 81° 26.255'W,30.2694
RRT,ML50, 24° 32.912'N, 81° 31.985'W,30.0192
RRT,ML57, 24° 33.569'N, 81° 24.793'W,30.2694
RRT,ML63, 24° 31.790'N, 81° 38.441'W,30.0731
RRT,ML75, 24° 32.406'N, 81° 26.929'W,29.8993
RRT,CM6, 24° 42.649'N, 80° 56.880'W,29.7935
RRT,FM6, 24° 42.130'N, 80° 56.320'W,29.7935
RRT,FM9, 24° 39.856'N, 81° 4.593'W,29.8506
RRT,FM14, 24° 41.854'N, 80° 57.511'W,29.7822
RRT,FM20, 24° 46.731'N, 80° 44.094'W,29.7761
RRT,FM21, 24° 45.495'N, 80° 45.959'W,30.0355
RRT,ML1, 24° 34.162'N, 81° 19.817'W,29.9826
RRT,ML7, 24° 41.860'N, 80° 57.486'W,29.7822
RRT,TDT2, 24° 37.944'N, 82° 54.306'W,29.952
RRT,CM5, 24° 42.707'N, 80° 56.758'W,29.7935
RRT,FM5, 24° 42.130'N, 80° 56.320'W,29.7935
RRT,FM7, 24° 41.860'N, 80° 57.486'W,29.7822
RRT,FM13, 24° 41.860'N, 80° 57.486'W,29.7822
RRT,FM19, 24° 46.578'N, 80° 44.191'W,29.7761
RRT,FM12, 24° 38.379'N, 81° 3.972'W,29.9079
RRT,K1, 24° 58.932'N, 80° 26.178'W,29.7307
RRT,K2, 24° 58.932'N, 80° 26.178'W,29.7307
RRT,K3, 24° 58.932'N, 80° 26.178'W,29.7307
RRT,U15, 24° 59.261'N, 80° 26.085'W,29.7307
RRT,U19, 24° 59.272'N, 80° 28.070'W,29.9213
RRT,U73, 25° 0.881'N, 80° 25.090'W,29.8408
RRT,U75, 24° 48.817'N, 80° 40.106'W,29.8854
RRT,U91, 25° 9.324'N, 80° 17.226'W,29.9009
RRT,U93, 25° 10.122'N, 80° 16.077'W,29.9009
RRT,U94, 25° 10.608'N, 80° 15.948'W,29.9009
RRT,U100, 25° 17.017'N, 80° 12.429'W,29.8605
RRT,U104, 25° 13.264'N, 80° 12.725'W,29.7968
RRT,M5, 24° 42.707'N, 80° 56.758'W,29.7935
RRT,M6, 24° 42.649'N, 80° 56.880'W,29.7935
RRT,M7, 24° 43.107'N, 80° 55.847'W,29.7935
RRT,M10, 24° 41.539'N, 80° 58.545'W,29.7822
RRT,KW15, 24° 30.030'N, 81° 44.501'W,29.9247
RRT,KW5, 24° 29.945'N, 81° 45.543'W,29.8961
UM,49y,25.3129,-80.1988167,29.8617
UM,23y,25.30838,-80.20057,29.9149
UM,44y,24.5215,-81.577,30.0312
UM,41y,24.5298,-81.641,30.0731
UM,42y,24.5485,-81.533,30.0192
UM,15y,26.1763,-80.0896167,29.6034
UM,16y,26.1763,-80.0896167,29.6034
UM,14y,26.182983,-80.089333,29.6034
UM,19y,26.182983,-80.089333,29.6034
UM,39y,26.198017,-80.087467,29.6034
UM,40y,26.198017,-80.087467,29.6034
UM,70y,26.198017,-80.087467,29.6034
UM,66y,26.198017,-80.087467,29.6034
UM,52y,25.3224167,-80.1822833,29.8617
UM,32y,25.50877,-80.12054,29.8347
UM,71y,25.36315,-80.1658,29.9636
UM,36y,25.33351,-80.19932,29.8617
UM,37y,25.33351,-80.19932,29.8617
UM,38y,25.33351,-80.19932,29.8617
UM,47y,25.46478,-80.15733,29.8331
UM,46y,25.49438,-80.13874,29.8315
UM,59y,25.3889,-80.1627,29.9636
UM,58y,25.3889,-80.1627,29.9636
UM,54y,25.8483,-80.10381,29.4531
UM,55y,25.8483,-80.10381,29.4531
UM,63y,25.8483,-80.10381,29.4531
UM,64y,25.8483,-80.10381,29.4531
UM,60b,25.4628,-80.1425,29.8315
UM,85y,25.4628,-80.1425,29.8315
UM,82y,25.7277,-80.09989,29.5937
UM,o.85,25.4413,-80.1338,29.8731
UM,48y,25.4413,-80.1338,29.8731
UM,67y,25.94573,-80.10943,29.349
UM,68y,25.94573,-80.10943,29.349
UM,27y,25.94573,-80.10943,29.349
UM,28y,25.94573,-80.10943,29.349
UM,29y,25.94573,-80.10943,29.349
UM,30y,25.94573,-80.10943,29.349
UM,57b,25.423999,-80.15456,29.8926
UM,56b,25.423999,-80.15456,29.8926
UM,90y,25.423999,-80.15456,29.8926
UM,88y,25.56418,-80.1049,29.8638
UM,89y,25.56418,-80.1049,29.8638
nsu,kjs2,25.38935,-80.16548,29.9636
nsu,kjs3,25.95858,-80.10913,29.2512
nsu,kjs5,25.38837,-80.16441,29.9636
nsu,kjs6,25.94573,-80.10943,29.349
nsu,kjs9,25.93938,-80.10955,29.349
nsu,kjs11,25.38935,-80.16548,29.9636
nsu,kjs16,25.95858,-80.10913,29.2512
nsu,kjs17,25.94264,-80.11008,29.349
nsu,kjs24,25.42399,-80.15456,29.8926
nsu,kjs25,25.93543,-80.1108,29.349
nsu,kjs29,25.94573,-80.10943,29.349
nsu,kjs38,25.38837,-80.16441,29.9636
nsu,kjs40,25.38837,-80.16441,29.9636
nsu,kjs47,25.86063,-80.10854,29.3728
nsu,kjs53,"26, 07.472 ","80, 05.822 W",29.5344
nsu,kjs54,"26, 07.472 ","80, 05.822 W",29.5344
nsu,kjs55,"26, 07.472 ","80, 05.822 W",29.5344
nsu,kjs56,"26, 07.472 ","80, 05.822 W",29.5344
nsu,kjs57,"26, 07.472 ","80, 05.822 W",29.5344
nsu,kjs58,"26, 07.472 ","80, 05.822 W",29.5344
nsu,kjs59,"26, 07.472 ","80, 05.822 W",29.5344
nsu,kjs60,"26, 07.472 ","80, 05.822 W",29.5344
nsu,kjs61,"26, 07.472 ","80, 05.822 W",29.5344
nsu,kjs64,25.38837,-80.16441,29.9636
nsu,kjs69,"26, 07.472 ","80, 05.822 W",29.5344
nsu,kjs70,"26, 07.472 ","80, 05.822 W",29.5344
nsu,kjs74,25.8483,-80.10381,29.4531
nsu,kjs75,25.86063,-80.10854,29.3728
nsu,kjs76,25.94573,-80.10943,29.349
nsu,kjs82,25.42399,-80.15456,29.8926
nsu,kjs83,25.42399,-80.15456,29.8926
nsu,kjs84,25.94573,-80.10943,29.349
nsu,kjs86,25.38879,-80.16261,29.9636
nsu,kjs87,25.38935,-80.16548,29.9636
nsu,kjs20,25.95858,-80.10913,29.2512
nsu,kjs93,25.38879,-80.16261,29.9636
nsu,kjs94,25.93543,-80.1108,29.349
nsu,kjs99,"26, 07.472 ","80, 05.822 W",29.5344
