geno,f,fm,fvfm,tank_id,tank_set,max_temp
FM20,154,373,0.587,S6,starboard,33
FM20,145,396,0.634,S6,starboard,33
CM5,185,494,0.626,S6,starboard,33
CM5,178,484,0.632,S6,starboard,33
ML7,134,338,0.604,S6,starboard,33
ML7,129,332,0.611,S6,starboard,33
ApalCCN4,114,282,0.596,S6,starboard,33
ApalCCN4,151,345,0.562,S6,starboard,33
FM19,145,368,0.606,S7,starboard,32
FM19,189,555,0.659,S7,starboard,32
CM6,130,345,0.623,S7,starboard,32
CM6,104,250,0.584,S7,starboard,32
CB024,139,379,0.633,S7,starboard,32
CB024,150,389,0.614,S7,starboard,32
ML5,167,520,0.679,S7,starboard,32
ML5,132,396,0.667,S7,starboard,32
ML1,123,338,0.636,S7,starboard,32
ML1,197,525,0.625,S7,starboard,32
FM12,110,289,0.619,S7,starboard,32
FM12,142,399,0.644,S7,starboard,32
TDT1,160,460,0.652,S7,starboard,32
TDT1,170,506,0.664,S7,starboard,32
FM9,169,447,0.622,S7,starboard,32
FM9,158,417,0.621,S7,starboard,32
FM13,142,347,0.591,S7,starboard,32
FM13,137,332,0.587,S7,starboard,32
FM20,138,368,0.625,S7,starboard,32
FM20,138,394,0.65,S7,starboard,32
CM5,125,345,0.638,S7,starboard,32
CM5,174,515,0.662,S7,starboard,32
ML7,163,399,0.591,S7,starboard,32
ML7,160,395,0.595,S7,starboard,32
ApalCCN4,103,274,0.624,S7,starboard,32
ApalCCN4,138,349,0.605,S7,starboard,32
FM19,156,375,0.584,S8,starboard,30
FM19,148,378,0.608,S8,starboard,30
CM6,160,418,0.617,S8,starboard,30
CM6,145,379,0.617,S8,starboard,30
CB024,204,528,0.614,S8,starboard,30
CB024,155,409,0.621,S8,starboard,30
ML5,191,538,0.645,S8,starboard,30
ML5,172,442,0.611,S8,starboard,30
ML1,204,555,0.632,S8,starboard,30
ML1,186,592,0.686,S8,starboard,30
FM12,144,415,0.653,S8,starboard,30
FM12,166,438,0.621,S8,starboard,30
TDT1,147,423,0.652,S8,starboard,30
TDT1,176,517,0.66,S8,starboard,30
FM9,167,438,0.619,S8,starboard,30
FM9,139,374,0.628,S8,starboard,30
FM13,163,412,0.604,S8,starboard,30
FM13,157,407,0.614,S8,starboard,30
FM20,148,395,0.625,S8,starboard,30
FM20,135,366,0.631,S8,starboard,30
CM5,142,391,0.637,S8,starboard,30
CM5,165,558,0.704,S8,starboard,30
ML7,117,322,0.637,S8,starboard,30
ML7,120,377,0.682,S8,starboard,30
ApalCCN4,107,285,0.625,S8,starboard,30
ApalCCN4,151,432,0.65,S8,starboard,30
ML50,459,688,0.333,P1,port,35
ML50,422,542,0.221,P1,port,35
ML3,355,556,0.362,P1,port,35
ML3,366,623,0.413,P1,port,35
TDT2,397,743,0.466,P1,port,35
TDT2,367,663,0.446,P1,port,35
ML31,461,656,0.297,P1,port,35
ML31,344,498,0.309,P1,port,35
ML57,402,719,0.441,P1,port,35
ML57,335,673,0.502,P1,port,35
ML75,265,364,0.272,P1,port,35
ML75,502,819,0.387,P1,port,35
ML63,362,633,0.428,P1,port,35
ML63,401,615,0.348,P1,port,35
ML34,368,645,0.429,P1,port,35
ML34,396,649,0.39,P1,port,35
CU007,520,757,0.313,P1,port,35
CU007,499,766,0.349,P1,port,35
FM5,375,789,0.525,P1,port,35
FM5,433,689,0.372,P1,port,35
ML41,294,509,0.422,P1,port,35
ML41,343,626,0.452,P1,port,35
FM14,454,681,0.333,P1,port,35
FM14,421,667,0.369,P1,port,35
FM6,459,763,0.398,P1,port,35
FM6,495,815,0.393,P1,port,35
ML50,280,336,0.167,P2,port,36
ML50,349,487,0.283,P2,port,36
ML3,342,422,0.19,P2,port,36
ML3,381,472,0.193,P2,port,36
TDT2,486,590,0.176,P2,port,36
TDT2,354,453,0.219,P2,port,36
ML31,395,545,0.275,P2,port,36
ML31,461,587,0.215,P2,port,36
ML57,334,386,0.135,P2,port,36
ML57,332,416,0.202,P2,port,36
ML75,513,721,0.288,P2,port,36
ML75,444,680,0.347,P2,port,36
ML63,316,369,0.144,P2,port,36
ML63,331,377,0.122,P2,port,36
ML34,381,478,0.203,P2,port,36
ML34,385,490,0.214,P2,port,36
CU007,307,372,0.175,P2,port,36
CU007,559,667,0.162,P2,port,36
FM5,384,498,0.229,P2,port,36
FM5,476,569,0.163,P2,port,36
ML41,424,496,0.145,P2,port,36
ML41,322,415,0.224,P2,port,36
FM14,324,384,0.156,P2,port,36
FM14,419,457,0.083,P2,port,36
FM6,411,519,0.208,P2,port,36
FM6,498,667,0.253,P2,port,36
ML50,205,277,0.26,P3,port,37
ML50,163,201,0.189,P3,port,37
ML3,502,557,0.099,P3,port,37
ML3,400,496,0.194,P3,port,37
TDT2,200,258,0.225,P3,port,37
TDT2,158,190,0.168,P3,port,37
ML31,287,357,0.196,P3,port,37
ML31,355,439,0.191,P3,port,37
ML57,291,335,0.131,P3,port,37
ML57,304,360,0.156,P3,port,37
ML75,522,573,0.089,P3,port,37
ML75,444,493,0.099,P3,port,37
ML63,245,348,0.296,P3,port,37
ML63,400,458,0.127,P3,port,37
ML34,183,233,0.215,P3,port,37
ML34,172,246,0.301,P3,port,37
CU007,266,286,0.07,P3,port,37
CU007,624,801,0.221,P3,port,37
FM5,231,275,0.16,P3,port,37
FM5,166,197,0.157,P3,port,37
ML41,717,827,0.133,P3,port,37
ML41,675,780,0.135,P3,port,37
FM14,314,369,0.149,P3,port,37
FM14,329,391,0.159,P3,port,37
FM6,345,421,0.181,P3,port,37
FM6,549,689,0.203,P3,port,37
ML50,89,123,0.276,P4,port,38
ML50,55,78,0.295,P4,port,38
ML3,305,372,0.18,P4,port,38
ML3,191,256,0.254,P4,port,38
TDT2,41,67,0.388,P4,port,38
TDT2,30,52,0.423,P4,port,38
ML31,188,236,0.203,P4,port,38
ML31,262,324,0.191,P4,port,38
ML57,88,122,0.279,P4,port,38
ML57,164,192,0.146,P4,port,38
ML75,56,90,0.378,P4,port,38
ML75,33,57,0.421,P4,port,38
ML63,65,86,0.244,P4,port,38
ML63,102,133,0.233,P4,port,38
ML34,116,152,0.237,P4,port,38
ML34,95,115,0.174,P4,port,38
CU007,184,224,0.179,P4,port,38
CU007,130,158,0.177,P4,port,38
FM5,134,167,0.198,P4,port,38
FM5,668,733,0.089,P4,port,38
ML41,342,391,0.125,P4,port,38
ML41,37,51,0.275,P4,port,38
FM14,29,57,0.491,P4,port,38
FM14,227,250,0.092,P4,port,38
FM6,171,242,0.293,P4,port,38
FM6,156,213,0.268,P4,port,38
ML50,186,330,0.436,P5,port,34
ML50,125,289,0.567,P5,port,34
ML3,127,266,0.523,P5,port,34
ML3,152,399,0.619,P5,port,34
TDT2,144,326,0.558,P5,port,34
TDT2,174,461,0.623,P5,port,34
ML31,152,475,0.68,P5,port,34
ML31,199,436,0.544,P5,port,34
ML57,134,224,0.402,P5,port,34
ML57,159,271,0.413,P5,port,34
ML75,164,366,0.552,P5,port,34
ML75,204,468,0.564,P5,port,34
ML63,164,310,0.471,P5,port,34
ML63,176,366,0.519,P5,port,34
ML34,185,418,0.557,P5,port,34
ML34,144,306,0.529,P5,port,34
CU007,237,559,0.576,P5,port,34
CU007,192,406,0.527,P5,port,34
FM5,215,422,0.491,P5,port,34
FM5,181,381,0.525,P5,port,34
ML41,130,334,0.611,P5,port,34
ML41,182,441,0.587,P5,port,34
FM14,155,326,0.525,P5,port,34
FM14,157,421,0.627,P5,port,34
FM6,162,408,0.603,P5,port,34
FM6,143,348,0.589,P5,port,34
ML50,129,303,0.574,P6,port,33
ML50,147,361,0.593,P6,port,33
ML3,131,329,0.602,P6,port,33
ML3,177,459,0.614,P6,port,33
TDT2,131,331,0.604,P6,port,33
TDT2,150,412,0.636,P6,port,33
ML31,165,463,0.644,P6,port,33
ML31,127,306,0.585,P6,port,33
ML57,122,338,0.639,P6,port,33
ML57,156,381,0.591,P6,port,33
ML75,175,463,0.622,P6,port,33
ML75,171,473,0.638,P6,port,33
ML63,149,342,0.564,P6,port,33
ML63,149,358,0.584,P6,port,33
ML34,186,475,0.608,P6,port,33
ML34,133,332,0.599,P6,port,33
CU007,234,649,0.639,P6,port,33
CU007,233,673,0.654,P6,port,33
FM5,189,518,0.635,P6,port,33
FM5,181,449,0.597,P6,port,33
ML41,135,367,0.632,P6,port,33
ML41,173,422,0.59,P6,port,33
FM14,171,432,0.604,P6,port,33
FM14,186,498,0.627,P6,port,33
FM6,199,536,0.629,P6,port,33
FM6,157,411,0.618,P6,port,33
ML50,156,366,0.574,P7,port,32
ML50,164,381,0.57,P7,port,32
ML3,160,420,0.619,P7,port,32
ML3,123,405,0.696,P7,port,32
TDT2,140,408,0.657,P7,port,32
TDT2,137,373,0.633,P7,port,32
ML31,155,393,0.606,P7,port,32
ML31,130,330,0.606,P7,port,32
ML57,129,372,0.653,P7,port,32
ML57,148,372,0.602,P7,port,32
ML75,134,294,0.544,P7,port,32
ML75,123,277,0.556,P7,port,32
ML63,142,314,0.548,P7,port,32
ML63,143,304,0.53,P7,port,32
ML34,182,473,0.615,P7,port,32
ML34,167,502,0.667,P7,port,32
CU007,185,503,0.632,P7,port,32
CU007,199,534,0.627,P7,port,32
FM5,178,483,0.631,P7,port,32
FM5,157,414,0.621,P7,port,32
ML41,119,300,0.603,P7,port,32
ML41,148,385,0.616,P7,port,32
FM14,156,423,0.631,P7,port,32
FM14,155,408,0.62,P7,port,32
FM6,144,379,0.62,P7,port,32
FM6,162,440,0.632,P7,port,32
ML50,143,380,0.624,P8,port,30
ML50,143,376,0.62,P8,port,30
ML3,167,403,0.586,P8,port,30
ML3,152,396,0.616,P8,port,30
TDT2,156,393,0.603,P8,port,30
TDT2,165,463,0.644,P8,port,30
ML31,166,454,0.634,P8,port,30
ML31,150,384,0.609,P8,port,30
ML57,128,363,0.647,P8,port,30
ML57,156,415,0.624,P8,port,30
ML75,167,450,0.629,P8,port,30
ML75,160,397,0.597,P8,port,30
ML63,157,450,0.651,P8,port,30
ML63,169,469,0.64,P8,port,30
ML34,142,350,0.594,P8,port,30
ML34,134,334,0.599,P8,port,30
CU007,155,417,0.628,P8,port,30
CU007,166,421,0.606,P8,port,30
FM5,174,545,0.681,P8,port,30
FM5,180,552,0.674,P8,port,30
ML41,153,422,0.637,P8,port,30
ML41,132,337,0.608,P8,port,30
FM14,138,436,0.683,P8,port,30
FM14,146,419,0.652,P8,port,30
FM6,145,383,0.621,P8,port,30
FM6,147,422,0.652,P8,port,30
