"2020-10-10";"22:27:36";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"20:09:24";"SCHS";"";"Chart start ";""
"649275";"2020-10-10";"20:20:14";"F";"11264";"113";"290";"0";"0.610";"0.0"
"653005";"2020-10-10";"20:20:18";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"654135";"2020-10-10";"20:20:19";"F";"11265";"129";"345";"0";"0.626";"0.0"
"658005";"2020-10-10";"20:20:23";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"665145";"2020-10-10";"20:20:30";"F";"11266";"148";"510";"0";"0.710";"0.0"
"669005";"2020-10-10";"20:20:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"672445";"2020-10-10";"20:20:37";"F";"11267";"128";"388";"0";"0.670";"0.0"
"677005";"2020-10-10";"20:20:42";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"681105";"2020-10-10";"20:20:46";"F";"11268";"195";"568";"0";"0.657";"0.0"
"685005";"2020-10-10";"20:20:50";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"688495";"2020-10-10";"20:20:53";"F";"11269";"162";"438";"0";"0.630";"0.0"
"692005";"2020-10-10";"20:20:57";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"696675";"2020-10-10";"20:21:01";"F";"11270";"167";"448";"0";"0.627";"0.0"
"700005";"2020-10-10";"20:21:05";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"700025";"2020-10-10";"20:21:05";"F";"11271";"169";"488";"0";"0.654";"0.0"
"705005";"2020-10-10";"20:21:10";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"710925";"2020-10-10";"20:21:15";"F";"11272";"133";"359";"0";"0.630";"0.0"
"714005";"2020-10-10";"20:21:19";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"717405";"2020-10-10";"20:21:22";"F";"11273";"148";"405";"0";"0.635";"0.0"
"721005";"2020-10-10";"20:21:26";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"725325";"2020-10-10";"20:21:30";"F";"11274";"119";"347";"0";"0.657";"0.0"
"729005";"2020-10-10";"20:21:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"738795";"2020-10-10";"20:21:43";"F";"11275";"135";"379";"0";"0.644";"0.0"
"742005";"2020-10-10";"20:21:47";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"745235";"2020-10-10";"20:21:50";"F";"11276";"152";"378";"0";"0.598";"0.0"
"749005";"2020-10-10";"20:21:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"752115";"2020-10-10";"20:21:57";"F";"11277";"126";"314";"0";"0.599";"0.0"
"756005";"2020-10-10";"20:22:01";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"760055";"2020-10-10";"20:22:05";"F";"11278";"150";"396";"0";"0.621";"0.0"
"765005";"2020-10-10";"20:22:10";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"770605";"2020-10-10";"20:22:15";"F";"11279";"123";"317";"0";"0.612";"0.0"
"774005";"2020-10-10";"20:22:19";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"786845";"2020-10-10";"20:22:31";"F";"11280";"154";"373";"0";"0.587";"0.0"
"791005";"2020-10-10";"20:22:36";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"796145";"2020-10-10";"20:22:41";"F";"11281";"100";"179";"0";"0.441";"0.0"
"800005";"2020-10-10";"20:22:45";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"806545";"2020-10-10";"20:22:51";"F";"11282";"145";"396";"0";"0.634";"0.0"
"810005";"2020-10-10";"20:22:55";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"815875";"2020-10-10";"20:23:00";"F";"11283";"185";"494";"0";"0.626";"0.0"
"819005";"2020-10-10";"20:23:04";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"825045";"2020-10-10";"20:23:10";"F";"11284";"178";"484";"0";"0.632";"0.0"
"829005";"2020-10-10";"20:23:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"840335";"2020-10-10";"20:23:25";"F";"11285";"134";"338";"0";"0.604";"0.0"
"844005";"2020-10-10";"20:23:29";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"856055";"2020-10-10";"20:23:41";"F";"11286";"129";"332";"0";"0.611";"0.0"
"860005";"2020-10-10";"20:23:45";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"877065";"2020-10-10";"20:24:02";"F";"11287";"114";"282";"0";"0.596";"0.0"
