"2020-10-10";"22:38:47";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"19:41:55";"SCHS";"";"Chart start ";""
"5";"2020-10-10";"19:41:56";"C";"";"File Nr. 444 | File Dev. ID #1, DIVING-PAM-II:  ";""
"37445";"2020-10-10";"19:42:33";"F";"11106";"4";"14";"0";"-";"-"
"42005";"2020-10-10";"19:42:38";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"46255";"2020-10-10";"19:42:42";"F";"11107";"5";"13";"0";"-";"-"
"50005";"2020-10-10";"19:42:46";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"55655";"2020-10-10";"19:42:51";"F";"11108";"0";"17";"0";"-";"-"
"59005";"2020-10-10";"19:42:55";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"63915";"2020-10-10";"19:42:59";"F";"11109";"7";"15";"0";"-";"-"
"67005";"2020-10-10";"19:43:03";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"70845";"2020-10-10";"19:43:06";"F";"11110";"3";"13";"0";"-";"-"
"74005";"2020-10-10";"19:43:10";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"79945";"2020-10-10";"19:43:15";"F";"11111";"1";"14";"0";"-";"-"
"83005";"2020-10-10";"19:43:19";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"90885";"2020-10-10";"19:43:26";"F";"11112";"9";"20";"0";"-";"-"
"94005";"2020-10-10";"19:43:30";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"105635";"2020-10-10";"19:43:41";"F";"11113";"1";"13";"0";"-";"-"
"109005";"2020-10-10";"19:43:45";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"114645";"2020-10-10";"19:43:50";"F";"11114";"6";"13";"0";"-";"-"
"118005";"2020-10-10";"19:43:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"122365";"2020-10-10";"19:43:58";"F";"11115";"8";"15";"0";"-";"-"
"127005";"2020-10-10";"19:44:03";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"137365";"2020-10-10";"19:44:13";"F";"11116";"7";"13";"0";"-";"-"
"141005";"2020-10-10";"19:44:17";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"146275";"2020-10-10";"19:44:22";"F";"11117";"0";"19";"0";"-";"-"
"150005";"2020-10-10";"19:44:26";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"155625";"2020-10-10";"19:44:31";"F";"11118";"3";"14";"0";"-";"-"
"159005";"2020-10-10";"19:44:35";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"164685";"2020-10-10";"19:44:40";"F";"11119";"4";"15";"0";"-";"-"
"168005";"2020-10-10";"19:44:44";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"175425";"2020-10-10";"19:44:51";"F";"11120";"0";"12";"0";"-";"-"
"179005";"2020-10-10";"19:44:55";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"209965";"2020-10-10";"19:45:25";"F";"11121";"0";"21";"0";"-";"-"
"213005";"2020-10-10";"19:45:29";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"217155";"2020-10-10";"19:45:33";"F";"11122";"1";"19";"0";"-";"-"
"221005";"2020-10-10";"19:45:37";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"224265";"2020-10-10";"19:45:40";"F";"11123";"3";"11";"0";"-";"-"
"229005";"2020-10-10";"19:45:45";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"233895";"2020-10-10";"19:45:49";"F";"11124";"8";"18";"0";"-";"-"
"233900";"2020-10-10";"19:45:49";"SCHE";"";"Chart stop ";""
"237005";"2020-10-10";"19:45:53";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"246005";"2020-10-10";"19:46:02";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"10592014";"2020-10-10";"22:38:28";"SCHS";"";"Chart start ";""
"10592015";"2020-10-10";"22:38:28";"F";"11125";"3";"3";"0";"-";"-"
