"2020-10-10";"22:37:53";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"20:37:53";"SCHS";"";"Chart start ";""
"5";"2020-10-10";"20:37:54";"C";"";"File Nr. 455 | File Dev. ID #1, DIVING-PAM-II:  ";""
"14265";"2020-10-10";"20:38:08";"F";"11343";"3";"10";"0";"-";"-"
"18005";"2020-10-10";"20:38:12";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"27615";"2020-10-10";"20:38:21";"F";"11344";"5";"9";"0";"-";"-"
"31005";"2020-10-10";"20:38:25";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"35955";"2020-10-10";"20:38:29";"F";"11345";"3";"9";"0";"-";"-"
"39005";"2020-10-10";"20:38:33";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"46945";"2020-10-10";"20:38:40";"F";"11346";"4";"8";"0";"-";"-"
"50005";"2020-10-10";"20:38:44";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"56215";"2020-10-10";"20:38:50";"F";"11347";"3";"11";"0";"-";"-"
"60005";"2020-10-10";"20:38:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"65365";"2020-10-10";"20:38:59";"F";"11348";"5";"9";"0";"-";"-"
"69005";"2020-10-10";"20:39:03";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"75775";"2020-10-10";"20:39:09";"F";"11349";"4";"13";"0";"-";"-"
"80005";"2020-10-10";"20:39:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"84385";"2020-10-10";"20:39:18";"F";"11350";"6";"9";"0";"-";"-"
"88005";"2020-10-10";"20:39:22";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"93575";"2020-10-10";"20:39:27";"F";"11351";"3";"10";"0";"-";"-"
"98005";"2020-10-10";"20:39:32";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"105785";"2020-10-10";"20:39:39";"F";"11352";"6";"13";"0";"-";"-"
"109005";"2020-10-10";"20:39:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"114855";"2020-10-10";"20:39:48";"F";"11353";"6";"8";"0";"-";"-"
"118005";"2020-10-10";"20:39:52";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"124985";"2020-10-10";"20:39:58";"F";"11354";"2";"9";"0";"-";"-"
"128005";"2020-10-10";"20:40:02";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"135945";"2020-10-10";"20:40:09";"F";"11355";"3";"7";"0";"-";"-"
"135950";"2020-10-10";"20:40:09";"SCHE";"";"Chart stop ";""
"139005";"2020-10-10";"20:40:13";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"7134052";"2020-10-10";"22:36:48";"F";"11028";"2";"2";"0";"-";"-"
"7137722";"2020-10-10";"22:36:51";"SRES";"";"Recovery start ";""
"7144031";"2020-10-10";"22:36:58";"SCHS";"";"Chart start ";""
"7144032";"2020-10-10";"22:36:58";"F";"11029";"1";"3";"0";"-";"-"
