"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"76",1171565,2020-10-13,19:06:28,"F",12251,"33",51,0,"0.353","0.0"
"77",1178265,2020-10-13,19:06:35,"F",12252,"214",263,0,"0.186","0.0"
"78",1184915,2020-10-13,19:06:41,"F",12253,"221",340,0,"0.350","0.0"
"79",1192805,2020-10-13,19:06:49,"F",12254,"62",97,0,"0.361","0.0"
"80",1202675,2020-10-13,19:06:59,"F",12255,"42",156,0,"0.731","0.0"
"81",1209905,2020-10-13,19:07:06,"F",12256,"129",172,0,"0.250","0.0"
"82",1223045,2020-10-13,19:07:20,"F",12257,"83",103,0,"0.194","0.0"
"83",1238325,2020-10-13,19:07:35,"F",12258,"37",61,0,"0.393","0.0"
"84",1248785,2020-10-13,19:07:45,"F",12259,"77",90,0,"0.144","0.0"
"85",1258445,2020-10-13,19:07:55,"F",12260,"62",93,0,"0.333","0.0"
"86",1263535,2020-10-13,19:08:00,"F",12261,"20",49,0,"-","-"
"87",1278485,2020-10-13,19:08:15,"F",12262,"25",46,0,"-","-"
"88",1293375,2020-10-13,19:08:30,"F",12263,"23",45,0,"-","-"
"89",1300335,2020-10-13,19:08:37,"F",12264,"212",267,0,"0.206","0.0"
"90",1307455,2020-10-13,19:08:44,"F",12265,"134",232,0,"0.422","0.0"
"91",1320375,2020-10-13,19:08:57,"F",12266,"108",134,0,"0.194","0.0"
"92",1328845,2020-10-13,19:09:05,"F",12267,"103",132,0,"0.220","0.0"
"93",1339615,2020-10-13,19:09:16,"F",12268,"84",167,0,"0.497","0.0"
"94",1344915,2020-10-13,19:09:21,"F",12269,"107",158,0,"0.323","0.0"
"95",1353395,2020-10-13,19:09:30,"F",12270,"62",81,0,"0.235","0.0"
"96",1361545,2020-10-13,19:09:38,"F",12271,"86",102,0,"0.157","0.0"
"97",1384945,2020-10-13,19:10:01,"F",12272,"89",116,0,"0.233","0.0"
"98",1390965,2020-10-13,19:10:07,"F",12273,"103",135,0,"0.237","0.0"
"99",1401005,2020-10-13,19:10:18,"C",NA,"File Nr. 485 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"100",1401005,2020-10-13,19:10:18,"C",NA,"File Nr. 486 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"101",1402005,2020-10-13,19:10:19,"C",NA,"File Nr. 487 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"102",1402005,2020-10-13,19:10:19,"C",NA,"File Nr. 488 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"103",1402005,2020-10-13,19:10:19,"C",NA,"File Nr. 489 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"104",1403005,2020-10-13,19:10:20,"C",NA,"File Nr. 490 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"105",1403005,2020-10-13,19:10:20,"C",NA,"File Nr. 491 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"106",1405005,2020-10-13,19:10:22,"C",NA,"File Nr. 492 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"107",5,2020-10-13,19:10:22,"C",NA,"File Nr. 493 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"108",70005,2020-10-13,19:11:32,"C",NA,"File Nr. 494 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"109",100905,2020-10-13,19:12:02,"F",12274,"10",40,0,"-","-"
"110",105965,2020-10-13,19:12:07,"F",12275,"20",37,0,"-","-"
"111",113265,2020-10-13,19:12:15,"F",12276,"55",99,0,"0.444","0.0"
"112",116025,2020-10-13,19:12:18,"F",12277,"52",64,0,"0.188","0.0"
"113",123885,2020-10-13,19:12:25,"F",12278,"130",159,0,"0.182","0.0"
"114",126595,2020-10-13,19:12:28,"F",12279,"350",458,0,"0.236","0.0"
"115",131105,2020-10-13,19:12:33,"F",12280,"178",448,0,"0.603","0.0"
"116",136175,2020-10-13,19:12:38,"F",12281,"131",207,0,"0.367","0.0"
"117",142495,2020-10-13,19:12:44,"F",12282,"167",263,0,"0.365","0.0"
"118",151145,2020-10-13,19:12:53,"F",12283,"171",300,0,"0.430","0.0"
"119",155775,2020-10-13,19:12:57,"F",12284,"272",362,0,"0.249","0.0"
"120",166825,2020-10-13,19:13:08,"F",12285,"12",28,0,"-","-"
"121",171155,2020-10-13,19:13:13,"F",12286,"17",38,0,"-","-"
"122",176055,2020-10-13,19:13:18,"F",12287,"215",470,0,"0.543","0.0"
"123",186445,2020-10-13,19:13:28,"F",12288,"236",412,0,"0.427","0.0"
"124",194735,2020-10-13,19:13:36,"F",12289,"214",373,0,"0.426","0.0"
"125",204045,2020-10-13,19:13:46,"F",12290,"240",376,0,"0.362","0.0"
"126",218465,2020-10-13,19:14:00,"F",12291,"501",650,0,"0.229","0.0"
"127",226665,2020-10-13,19:14:08,"F",12292,"84",132,0,"0.364","0.0"
"128",234535,2020-10-13,19:14:16,"F",12293,"88",130,0,"0.323","0.0"
"129",244955,2020-10-13,19:14:26,"F",12294,"163",217,0,"0.249","0.0"
"130",256175,2020-10-13,19:14:38,"F",12295,"52",92,0,"0.435","0.0"
"131",264155,2020-10-13,19:14:46,"F",12296,"98",118,0,"0.169","0.0"
"132",275025,2020-10-13,19:14:57,"F",12297,"84",111,0,"0.243","0.0"
"133",280625,2020-10-13,19:15:02,"F",12298,"160",344,0,"0.535","0.0"
"134",285925,2020-10-13,19:15:07,"F",12299,"70",106,0,"0.340","0.0"
"135",294175,2020-10-13,19:15:16,"F",12300,"83",145,0,"0.428","0.0"
"136",300565,2020-10-13,19:15:22,"F",12301,"372",622,0,"0.402","0.0"
"137",304405,2020-10-13,19:15:26,"F",12302,"531",658,0,"0.193","0.0"
"138",311665,2020-10-13,19:15:33,"F",12303,"229",283,0,"0.191","0.0"
"139",329735,2020-10-13,19:15:51,"F",12304,"138",282,0,"0.511","0.0"
"140",336755,2020-10-13,19:15:58,"F",12305,"150",268,0,"0.440","0.0"
"141",345835,2020-10-13,19:16:07,"F",12306,"170",254,0,"0.331","0.0"
"142",349595,2020-10-13,19:16:11,"F",12307,"242",514,0,"0.529","0.0"
"143",355945,2020-10-13,19:16:17,"F",12308,"203",402,0,"0.495","0.0"
"144",364895,2020-10-13,19:16:26,"F",12309,"261",294,0,"0.112","0.0"
"145",369275,2020-10-13,19:16:31,"F",12310,"375",488,0,"0.232","0.0"
"146",436135,2020-10-13,19:17:38,"F",12311,"225",305,0,"0.262","0.0"
"147",500045,2020-10-13,19:18:42,"F",12312,"306",372,0,"0.177","0.0"
"148",514465,2020-10-13,19:18:56,"F",12313,"105",105,0,"0.000","0.0"
"149",518105,2020-10-13,19:19:00,"F",12314,"111",207,0,"0.464","0.0"
"150",524485,2020-10-13,19:19:06,"F",12315,"70",88,0,"0.205","0.0"
"151",535425,2020-10-13,19:19:17,"F",12316,"274",425,0,"0.355","0.0"
"152",544875,2020-10-13,19:19:26,"F",12317,"130",226,0,"0.425","0.0"
