"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"1",5,2020-10-13,19:20:49,"C",NA,"File Nr. 495 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"2",57315,2020-10-13,19:21:46,"F",12326,"14",35,0,"-","-"
"3",67765,2020-10-13,19:21:56,"F",12327,"16",23,0,"-","-"
"4",97905,2020-10-13,19:22:26,"F",12328,"8",27,0,"-","-"
"5",106335,2020-10-13,19:22:35,"F",12329,"11",29,0,"-","-"
"6",115675,2020-10-13,19:22:44,"F",12330,"7",36,0,"-","-"
"7",122485,2020-10-13,19:22:51,"F",12331,"7",31,0,"-","-"
"8",129925,2020-10-13,19:22:58,"F",12332,"0",35,0,"-","-"
"9",137335,2020-10-13,19:23:06,"F",12333,"15",37,0,"-","-"
"10",146745,2020-10-13,19:23:15,"F",12334,"22",29,0,"-","-"
"11",158605,2020-10-13,19:23:27,"F",12335,"9",26,0,"-","-"
"12",167655,2020-10-13,19:23:36,"F",12336,"2",37,0,"-","-"
"13",175175,2020-10-13,19:23:44,"F",12337,"4",39,0,"-","-"
"14",182065,2020-10-13,19:23:51,"F",12338,"12",40,0,"-","-"
"15",195125,2020-10-13,19:24:04,"F",12339,"13",41,0,"-","-"
"16",202795,2020-10-13,19:24:11,"F",12340,"14",26,0,"-","-"
"17",208585,2020-10-13,19:24:17,"F",12341,"11",34,0,"-","-"
"18",217025,2020-10-13,19:24:26,"F",12342,"12",22,0,"-","-"
"19",226825,2020-10-13,19:24:35,"F",12343,"15",30,0,"-","-"
"20",235725,2020-10-13,19:24:44,"F",12344,"3",36,0,"-","-"
"21",243835,2020-10-13,19:24:52,"F",12345,"20",27,0,"-","-"
"22",251825,2020-10-13,19:25:00,"F",12346,"5",37,0,"-","-"
"23",258195,2020-10-13,19:25:07,"F",12347,"15",32,0,"-","-"
"24",5,2020-10-13,20:31:01,"C",NA,"File Nr. 505 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"25",37675,2020-10-13,20:31:38,"F",12742,"8",20,0,"-","-"
"26",47335,2020-10-13,20:31:48,"F",12743,"10",22,0,"-","-"
"27",56925,2020-10-13,20:31:57,"F",12744,"12",28,0,"-","-"
"28",72965,2020-10-13,20:32:13,"F",12745,"13",22,0,"-","-"
"29",79525,2020-10-13,20:32:20,"F",12746,"6",24,0,"-","-"
"30",93495,2020-10-13,20:32:34,"F",12747,"1",21,0,"-","-"
"31",100575,2020-10-13,20:32:41,"F",12748,"11",18,0,"-","-"
"32",105835,2020-10-13,20:32:46,"F",12749,"15",19,0,"-","-"
"33",111535,2020-10-13,20:32:52,"F",12750,"10",19,0,"-","-"
"34",117205,2020-10-13,20:32:58,"F",12751,"13",20,0,"-","-"
"35",131085,2020-10-13,20:33:12,"F",12752,"9",20,0,"-","-"
"36",138025,2020-10-13,20:33:19,"F",12753,"8",18,0,"-","-"
"37",147405,2020-10-13,20:33:28,"F",12754,"9",19,0,"-","-"
"38",153315,2020-10-13,20:33:34,"F",12755,"7",19,0,"-","-"
"39",162025,2020-10-13,20:33:43,"F",12756,"13",30,0,"-","-"
"40",170385,2020-10-13,20:33:51,"F",12757,"10",26,0,"-","-"
"41",179755,2020-10-13,20:34:00,"F",12758,"11",15,0,"-","-"
"42",189345,2020-10-13,20:34:10,"F",12759,"8",21,0,"-","-"
"43",197185,2020-10-13,20:34:18,"F",12760,"8",17,0,"-","-"
"44",204165,2020-10-13,20:34:25,"F",12761,"8",20,0,"-","-"
"45",211375,2020-10-13,20:34:32,"F",12762,"10",18,0,"-","-"
"46",219965,2020-10-13,20:34:40,"F",12763,"9",19,0,"-","-"
"47",5,2020-10-13,20:54:23,"C",NA,"File Nr. 508 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"48",77175,2020-10-13,20:55:40,"F",12864,"10",14,0,"-","-"
"49",83215,2020-10-13,20:55:46,"F",12865,"14",19,0,"-","-"
"50",89785,2020-10-13,20:55:52,"F",12866,"10",21,0,"-","-"
"51",94735,2020-10-13,20:55:57,"F",12867,"8",15,0,"-","-"
"52",100985,2020-10-13,20:56:03,"F",12868,"4",25,0,"-","-"
"53",105565,2020-10-13,20:56:08,"F",12869,"3",20,0,"-","-"
"54",114235,2020-10-13,20:56:17,"F",12870,"11",18,0,"-","-"
"55",124755,2020-10-13,20:56:27,"F",12871,"11",17,0,"-","-"
"56",131165,2020-10-13,20:56:34,"F",12872,"4",24,0,"-","-"
"57",142705,2020-10-13,20:56:45,"F",12873,"7",14,0,"-","-"
"58",148725,2020-10-13,20:56:51,"F",12874,"9",21,0,"-","-"
"59",155345,2020-10-13,20:56:58,"F",12875,"9",16,0,"-","-"
"60",162675,2020-10-13,20:57:05,"F",12876,"12",17,0,"-","-"
"61",176855,2020-10-13,20:57:19,"F",12877,"13",17,0,"-","-"
"62",184205,2020-10-13,20:57:27,"F",12878,"10",20,0,"-","-"
"63",192125,2020-10-13,20:57:35,"F",12879,"8",21,0,"-","-"
"64",200365,2020-10-13,20:57:43,"F",12880,"13",17,0,"-","-"
"65",206675,2020-10-13,20:57:49,"F",12881,"12",16,0,"-","-"
"66",303335,2020-10-13,20:59:26,"F",12882,"9",24,0,"-","-"
"67",309675,2020-10-13,20:59:32,"F",12883,"9",20,0,"-","-"
"68",315405,2020-10-13,20:59:38,"F",12884,"9",21,0,"-","-"
"69",326295,2020-10-13,20:59:49,"F",12885,"13",21,0,"-","-"
