"2020-10-11";"23:15:20";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-11";"20:27:40";"SCHS";"";"Chart start ";""
"5";"2020-10-11";"20:27:41";"C";"";"File Nr. 474 | File Dev. ID #1, DIVING-PAM-II:  ";""
"19465";"2020-10-11";"20:28:00";"F";"11868";"6";"18";"0";"-";"-"
"23005";"2020-10-11";"20:28:04";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"29345";"2020-10-11";"20:28:10";"F";"11869";"8";"15";"0";"-";"-"
"33005";"2020-10-11";"20:28:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"38375";"2020-10-11";"20:28:19";"F";"11870";"5";"13";"0";"-";"-"
"42005";"2020-10-11";"20:28:23";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"60585";"2020-10-11";"20:28:41";"F";"11871";"6";"16";"0";"-";"-"
"64005";"2020-10-11";"20:28:45";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"68995";"2020-10-11";"20:28:49";"F";"11872";"8";"12";"0";"-";"-"
"72005";"2020-10-11";"20:28:53";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"75645";"2020-10-11";"20:28:56";"F";"11873";"8";"15";"0";"-";"-"
"79005";"2020-10-11";"20:29:00";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"82025";"2020-10-11";"20:29:03";"F";"11874";"4";"12";"0";"-";"-"
"86005";"2020-10-11";"20:29:07";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"92745";"2020-10-11";"20:29:13";"F";"11875";"9";"15";"0";"-";"-"
"96005";"2020-10-11";"20:29:17";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"101135";"2020-10-11";"20:29:22";"F";"11876";"6";"12";"0";"-";"-"
"105005";"2020-10-11";"20:29:26";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"109425";"2020-10-11";"20:29:30";"F";"11877";"1";"11";"0";"-";"-"
"113005";"2020-10-11";"20:29:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"117145";"2020-10-11";"20:29:38";"F";"11878";"3";"16";"0";"-";"-"
"121005";"2020-10-11";"20:29:42";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"125975";"2020-10-11";"20:29:46";"F";"11879";"0";"14";"0";"-";"-"
"129005";"2020-10-11";"20:29:50";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"132935";"2020-10-11";"20:29:53";"F";"11880";"7";"14";"0";"-";"-"
"136005";"2020-10-11";"20:29:57";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"140065";"2020-10-11";"20:30:01";"F";"11881";"6";"18";"0";"-";"-"
"144005";"2020-10-11";"20:30:05";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"149065";"2020-10-11";"20:30:10";"F";"11882";"0";"20";"0";"-";"-"
"153005";"2020-10-11";"20:30:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"157335";"2020-10-11";"20:30:18";"F";"11883";"5";"13";"0";"-";"-"
"161005";"2020-10-11";"20:30:22";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"165875";"2020-10-11";"20:30:26";"F";"11884";"7";"10";"0";"-";"-"
"169005";"2020-10-11";"20:30:30";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"174445";"2020-10-11";"20:30:35";"F";"11885";"4";"17";"0";"-";"-"
"178005";"2020-10-11";"20:30:39";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"182205";"2020-10-11";"20:30:43";"F";"11886";"6";"15";"0";"-";"-"
"186005";"2020-10-11";"20:30:47";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"189075";"2020-10-11";"20:30:50";"F";"11887";"0";"15";"0";"-";"-"
"193005";"2020-10-11";"20:30:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"198525";"2020-10-11";"20:30:59";"F";"11888";"8";"16";"0";"-";"-"
"198530";"2020-10-11";"20:30:59";"SCHE";"";"Chart stop ";""
"203005";"2020-10-11";"20:31:04";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
