"2020-10-11";"23:31:55";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-11";"19:01:49";"SCHS";"";"Chart start ";""
"5";"2020-10-11";"19:01:50";"C";"";"File Nr. 460 | File Dev. ID #1, DIVING-PAM-II:  ";""
"20625";"2020-10-11";"19:02:10";"F";"11410";"492";"545";"0";"0.097";"0.0"
"24005";"2020-10-11";"19:02:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"27825";"2020-10-11";"19:02:17";"F";"11411";"242";"316";"0";"0.234";"0.0"
"31005";"2020-10-11";"19:02:21";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"42845";"2020-10-11";"19:02:32";"F";"11412";"133";"185";"0";"0.281";"0.0"
"46005";"2020-10-11";"19:02:36";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"51085";"2020-10-11";"19:02:41";"F";"11413";"129";"161";"0";"0.199";"0.0"
"55005";"2020-10-11";"19:02:45";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"57215";"2020-10-11";"19:02:47";"F";"11414";"499";"556";"0";"0.103";"0.0"
"61005";"2020-10-11";"19:02:51";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"65355";"2020-10-11";"19:02:55";"F";"11415";"391";"451";"0";"0.133";"0.0"
"69005";"2020-10-11";"19:02:59";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"75185";"2020-10-11";"19:03:05";"F";"11416";"190";"223";"0";"0.148";"0.0"
"79005";"2020-10-11";"19:03:09";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"90145";"2020-10-11";"19:03:20";"F";"11417";"147";"183";"0";"0.197";"0.0"
"94005";"2020-10-11";"19:03:24";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"96075";"2020-10-11";"19:03:26";"F";"11418";"258";"312";"0";"0.173";"0.0"
"100005";"2020-10-11";"19:03:30";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"103045";"2020-10-11";"19:03:33";"F";"11419";"695";"943";"0";"0.263";"0.0"
"107005";"2020-10-11";"19:03:37";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"108395";"2020-10-11";"19:03:38";"F";"11420";"217";"278";"0";"0.219";"0.0"
"113005";"2020-10-11";"19:03:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"116675";"2020-10-11";"19:03:46";"F";"11421";"167";"212";"0";"0.212";"0.0"
"120005";"2020-10-11";"19:03:50";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
