"2020-10-11";"23:14:26";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-11";"19:37:34";"SCHS";"";"Chart start ";""
"5";"2020-10-11";"19:37:35";"C";"";"File Nr. 466 | File Dev. ID #1, DIVING-PAM-II:  ";""
"28345";"2020-10-11";"19:38:03";"F";"11586";"1";"33";"0";"-";"-"
"32005";"2020-10-11";"19:38:07";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"36285";"2020-10-11";"19:38:11";"F";"11587";"17";"34";"0";"-";"-"
"40005";"2020-10-11";"19:38:15";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"53255";"2020-10-11";"19:38:28";"F";"11588";"8";"29";"0";"-";"-"
"57005";"2020-10-11";"19:38:32";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"62385";"2020-10-11";"19:38:37";"F";"11589";"21";"29";"0";"-";"-"
"67005";"2020-10-11";"19:38:42";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"70355";"2020-10-11";"19:38:45";"F";"11590";"2";"20";"0";"-";"-"
"74005";"2020-10-11";"19:38:49";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"78555";"2020-10-11";"19:38:53";"F";"11591";"6";"27";"0";"-";"-"
"82005";"2020-10-11";"19:38:57";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"88585";"2020-10-11";"19:39:03";"F";"11592";"14";"30";"0";"-";"-"
"92005";"2020-10-11";"19:39:07";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"97745";"2020-10-11";"19:39:12";"F";"11593";"1";"36";"0";"-";"-"
"101005";"2020-10-11";"19:39:16";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"106845";"2020-10-11";"19:39:21";"F";"11594";"7";"31";"0";"-";"-"
"110005";"2020-10-11";"19:39:25";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"116825";"2020-10-11";"19:39:31";"F";"11595";"14";"32";"0";"-";"-"
"120005";"2020-10-11";"19:39:35";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"124555";"2020-10-11";"19:39:39";"F";"11596";"6";"26";"0";"-";"-"
"128005";"2020-10-11";"19:39:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"135085";"2020-10-11";"19:39:50";"F";"11597";"5";"28";"0";"-";"-"
"139005";"2020-10-11";"19:39:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"147635";"2020-10-11";"19:40:02";"F";"11598";"8";"24";"0";"-";"-"
"151005";"2020-10-11";"19:40:06";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"155425";"2020-10-11";"19:40:10";"F";"11599";"8";"28";"0";"-";"-"
"159005";"2020-10-11";"19:40:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"164545";"2020-10-11";"19:40:19";"F";"11600";"22";"27";"0";"-";"-"
"168005";"2020-10-11";"19:40:23";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"171035";"2020-10-11";"19:40:26";"F";"11601";"13";"29";"0";"-";"-"
"175005";"2020-10-11";"19:40:30";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"178335";"2020-10-11";"19:40:33";"F";"11602";"6";"39";"0";"-";"-"
"182005";"2020-10-11";"19:40:37";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"187785";"2020-10-11";"19:40:42";"F";"11603";"8";"34";"0";"-";"-"
"191005";"2020-10-11";"19:40:46";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"194175";"2020-10-11";"19:40:49";"F";"11604";"14";"21";"0";"-";"-"
"198005";"2020-10-11";"19:40:53";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"204355";"2020-10-11";"19:40:59";"F";"11605";"13";"30";"0";"-";"-"
"209005";"2020-10-11";"19:41:04";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"216215";"2020-10-11";"19:41:11";"F";"11606";"10";"37";"0";"-";"-"
"216220";"2020-10-11";"19:41:11";"SCHE";"";"Chart stop ";""
"220005";"2020-10-11";"19:41:15";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
