"2020-10-14";"00:52:48";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-13";"19:20:48";"SCHS";"";"Chart start ";""
"5";"2020-10-13";"19:20:49";"C";"";"File Nr. 495 | File Dev. ID #1, DIVING-PAM-II:  ";""
"21005";"2020-10-13";"19:21:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"57315";"2020-10-13";"19:21:46";"F";"12326";"14";"35";"0";"-";"-"
"61005";"2020-10-13";"19:21:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"67765";"2020-10-13";"19:21:56";"F";"12327";"16";"23";"0";"-";"-"
"71005";"2020-10-13";"19:22:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"96005";"2020-10-13";"19:22:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"97905";"2020-10-13";"19:22:26";"F";"12328";"8";"27";"0";"-";"-"
"101005";"2020-10-13";"19:22:30";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"106335";"2020-10-13";"19:22:35";"F";"12329";"11";"29";"0";"-";"-"
"110005";"2020-10-13";"19:22:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"115675";"2020-10-13";"19:22:44";"F";"12330";"7";"36";"0";"-";"-"
"119005";"2020-10-13";"19:22:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"122485";"2020-10-13";"19:22:51";"F";"12331";"7";"31";"0";"-";"-"
"126005";"2020-10-13";"19:22:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"129925";"2020-10-13";"19:22:58";"F";"12332";"0";"35";"0";"-";"-"
"133005";"2020-10-13";"19:23:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"137335";"2020-10-13";"19:23:06";"F";"12333";"15";"37";"0";"-";"-"
"142005";"2020-10-13";"19:23:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"146745";"2020-10-13";"19:23:15";"F";"12334";"22";"29";"0";"-";"-"
"150005";"2020-10-13";"19:23:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"158605";"2020-10-13";"19:23:27";"F";"12335";"9";"26";"0";"-";"-"
"162005";"2020-10-13";"19:23:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"167655";"2020-10-13";"19:23:36";"F";"12336";"2";"37";"0";"-";"-"
"171005";"2020-10-13";"19:23:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"175175";"2020-10-13";"19:23:44";"F";"12337";"4";"39";"0";"-";"-"
"179005";"2020-10-13";"19:23:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"182065";"2020-10-13";"19:23:51";"F";"12338";"12";"40";"0";"-";"-"
"186005";"2020-10-13";"19:23:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"195125";"2020-10-13";"19:24:04";"F";"12339";"13";"41";"0";"-";"-"
"199005";"2020-10-13";"19:24:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"202795";"2020-10-13";"19:24:11";"F";"12340";"14";"26";"0";"-";"-"
"206005";"2020-10-13";"19:24:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"208585";"2020-10-13";"19:24:17";"F";"12341";"11";"34";"0";"-";"-"
"212005";"2020-10-13";"19:24:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"217025";"2020-10-13";"19:24:26";"F";"12342";"12";"22";"0";"-";"-"
"221005";"2020-10-13";"19:24:30";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"226825";"2020-10-13";"19:24:35";"F";"12343";"15";"30";"0";"-";"-"
"230005";"2020-10-13";"19:24:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"235725";"2020-10-13";"19:24:44";"F";"12344";"3";"36";"0";"-";"-"
"239005";"2020-10-13";"19:24:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"243835";"2020-10-13";"19:24:52";"F";"12345";"20";"27";"0";"-";"-"
"248005";"2020-10-13";"19:24:57";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"251825";"2020-10-13";"19:25:00";"F";"12346";"5";"37";"0";"-";"-"
"255005";"2020-10-13";"19:25:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
"258195";"2020-10-13";"19:25:07";"F";"12347";"15";"32";"0";"-";"-"
"258200";"2020-10-13";"19:25:07";"SCHE";"";"Chart stop ";""
"262005";"2020-10-13";"19:25:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.9 ";""
