"2020-10-14";"00:02:17";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-13";"20:13:19";"SCHS";"";"Chart start ";""
"5";"2020-10-13";"20:13:20";"C";"";"File Nr. 503 | File Dev. ID #1, DIVING-PAM-II:  ";""
"256005";"2020-10-13";"20:17:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"261025";"2020-10-13";"20:17:41";"F";"12676";"307";"805";"0";"0.619";"0.0"
"265005";"2020-10-13";"20:17:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"266655";"2020-10-13";"20:17:46";"F";"12677";"214";"546";"0";"0.608";"0.0"
"270005";"2020-10-13";"20:17:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"274175";"2020-10-13";"20:17:54";"F";"12678";"307";"766";"0";"0.599";"0.0"
"278005";"2020-10-13";"20:17:58";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"279465";"2020-10-13";"20:17:59";"F";"12679";"196";"589";"0";"0.667";"0.0"
"283005";"2020-10-13";"20:18:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"286865";"2020-10-13";"20:18:06";"F";"12680";"205";"536";"0";"0.618";"0.0"
"290005";"2020-10-13";"20:18:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"291145";"2020-10-13";"20:18:11";"F";"12681";"146";"426";"0";"0.657";"0.0"
"295005";"2020-10-13";"20:18:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"299435";"2020-10-13";"20:18:19";"F";"12682";"171";"519";"0";"0.671";"0.0"
"303005";"2020-10-13";"20:18:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"305045";"2020-10-13";"20:18:25";"F";"12683";"197";"522";"0";"0.623";"0.0"
"310005";"2020-10-13";"20:18:30";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"314065";"2020-10-13";"20:18:34";"F";"12684";"250";"741";"0";"0.663";"0.0"
"318005";"2020-10-13";"20:18:38";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"323905";"2020-10-13";"20:18:43";"F";"12685";"188";"601";"0";"0.687";"0.0"
"327005";"2020-10-13";"20:18:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"331895";"2020-10-13";"20:18:51";"F";"12686";"230";"606";"0";"0.620";"0.0"
"335005";"2020-10-13";"20:18:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"336785";"2020-10-13";"20:18:56";"F";"12687";"211";"616";"0";"0.657";"0.0"
"340005";"2020-10-13";"20:19:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"343575";"2020-10-13";"20:19:03";"F";"12688";"182";"527";"0";"0.655";"0.0"
"347005";"2020-10-13";"20:19:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"349985";"2020-10-13";"20:19:09";"F";"12689";"176";"404";"0";"0.564";"0.0"
"353005";"2020-10-13";"20:19:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"353155";"2020-10-13";"20:19:13";"F";"12690";"173";"515";"0";"0.664";"0.0"
"358005";"2020-10-13";"20:19:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"368705";"2020-10-13";"20:19:28";"F";"12691";"236";"644";"0";"0.634";"0.0"
"372005";"2020-10-13";"20:19:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"385105";"2020-10-13";"20:19:45";"F";"12692";"260";"637";"0";"0.592";"0.0"
"389005";"2020-10-13";"20:19:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"398005";"2020-10-13";"20:19:58";"F";"12693";"197";"535";"0";"0.632";"0.0"
"402005";"2020-10-13";"20:20:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"405825";"2020-10-13";"20:20:05";"F";"12694";"195";"540";"0";"0.639";"0.0"
"409005";"2020-10-13";"20:20:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"420775";"2020-10-13";"20:20:20";"F";"12695";"214";"655";"0";"0.673";"0.0"
"420780";"2020-10-13";"20:20:20";"SCHE";"";"Chart stop ";""
"424005";"2020-10-13";"20:20:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"671000";"2020-10-13";"20:24:30";"SCHS";"";"Chart start ";""
"671005";"2020-10-13";"20:24:31";"C";"";"File Nr. 504 | File Dev. ID #1, DIVING-PAM-II:  ";""
"715365";"2020-10-13";"20:25:15";"F";"12696";"343";"873";"0";"0.607";"0.0"
"720005";"2020-10-13";"20:25:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"720575";"2020-10-13";"20:25:20";"F";"12697";"293";"732";"0";"0.600";"0.0"
"724005";"2020-10-13";"20:25:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"731795";"2020-10-13";"20:25:31";"F";"12698";"378";"716";"0";"0.472";"0.0"
