"2020-10-14";"00:31:20";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-13";"20:54:22";"SCHS";"";"Chart start ";""
"5";"2020-10-13";"20:54:23";"C";"";"File Nr. 508 | File Dev. ID #1, DIVING-PAM-II:  ";""
"26005";"2020-10-13";"20:54:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"77175";"2020-10-13";"20:55:40";"F";"12864";"10";"14";"0";"-";"-"
"81005";"2020-10-13";"20:55:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.0 ";""
"83215";"2020-10-13";"20:55:46";"F";"12865";"14";"19";"0";"-";"-"
"88005";"2020-10-13";"20:55:51";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"89785";"2020-10-13";"20:55:52";"F";"12866";"10";"21";"0";"-";"-"
"93005";"2020-10-13";"20:55:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.0 ";""
"94735";"2020-10-13";"20:55:57";"F";"12867";"8";"15";"0";"-";"-"
"98005";"2020-10-13";"20:56:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.0 ";""
"100985";"2020-10-13";"20:56:03";"F";"12868";"4";"25";"0";"-";"-"
"104005";"2020-10-13";"20:56:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.0 ";""
"105565";"2020-10-13";"20:56:08";"F";"12869";"3";"20";"0";"-";"-"
"109005";"2020-10-13";"20:56:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.0 ";""
"114235";"2020-10-13";"20:56:17";"F";"12870";"11";"18";"0";"-";"-"
"118005";"2020-10-13";"20:56:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"124755";"2020-10-13";"20:56:27";"F";"12871";"11";"17";"0";"-";"-"
"128005";"2020-10-13";"20:56:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"131165";"2020-10-13";"20:56:34";"F";"12872";"4";"24";"0";"-";"-"
"136005";"2020-10-13";"20:56:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"142705";"2020-10-13";"20:56:45";"F";"12873";"7";"14";"0";"-";"-"
"146005";"2020-10-13";"20:56:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"148725";"2020-10-13";"20:56:51";"F";"12874";"9";"21";"0";"-";"-"
"152005";"2020-10-13";"20:56:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"155345";"2020-10-13";"20:56:58";"F";"12875";"9";"16";"0";"-";"-"
"159005";"2020-10-13";"20:57:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"162675";"2020-10-13";"20:57:05";"F";"12876";"12";"17";"0";"-";"-"
"166005";"2020-10-13";"20:57:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"176855";"2020-10-13";"20:57:19";"F";"12877";"13";"17";"0";"-";"-"
"180005";"2020-10-13";"20:57:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"184205";"2020-10-13";"20:57:27";"F";"12878";"10";"20";"0";"-";"-"
"188005";"2020-10-13";"20:57:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"192125";"2020-10-13";"20:57:35";"F";"12879";"8";"21";"0";"-";"-"
"196005";"2020-10-13";"20:57:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"200365";"2020-10-13";"20:57:43";"F";"12880";"13";"17";"0";"-";"-"
"204005";"2020-10-13";"20:57:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"206675";"2020-10-13";"20:57:49";"F";"12881";"12";"16";"0";"-";"-"
"210005";"2020-10-13";"20:57:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.0 ";""
"303335";"2020-10-13";"20:59:26";"F";"12882";"9";"24";"0";"-";"-"
"307005";"2020-10-13";"20:59:30";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"309675";"2020-10-13";"20:59:32";"F";"12883";"9";"20";"0";"-";"-"
"313005";"2020-10-13";"20:59:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"315405";"2020-10-13";"20:59:38";"F";"12884";"9";"21";"0";"-";"-"
"319005";"2020-10-13";"20:59:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"326295";"2020-10-13";"20:59:49";"F";"12885";"13";"21";"0";"-";"-"
"326300";"2020-10-13";"20:59:49";"SCHE";"";"Chart stop ";""
"330005";"2020-10-13";"20:59:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
