"2020-10-14";"00:29:08";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-13";"18:46:56";"SCHS";"";"Chart start ";""
"5";"2020-10-13";"18:46:57";"C";"";"File Nr. 483 | File Dev. ID #1, DIVING-PAM-II:  ";""
"235475";"2020-10-13";"18:50:52";"F";"12178";"0";"36";"0";"-";"-"
"240005";"2020-10-13";"18:50:57";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.5 ";""
"243525";"2020-10-13";"18:51:00";"F";"12179";"0";"28";"0";"-";"-"
"248005";"2020-10-13";"18:51:05";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.5 ";""
"271455";"2020-10-13";"18:51:28";"F";"12180";"20";"29";"0";"-";"-"
"276005";"2020-10-13";"18:51:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.6 ";""
"280305";"2020-10-13";"18:51:37";"F";"12181";"15";"32";"0";"-";"-"
"284005";"2020-10-13";"18:51:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.6 ";""
"286025";"2020-10-13";"18:51:43";"F";"12182";"163";"185";"0";"0.119";"0.0"
"291005";"2020-10-13";"18:51:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.6 ";""
"293125";"2020-10-13";"18:51:50";"F";"12183";"230";"257";"0";"0.105";"0.0"
"297005";"2020-10-13";"18:51:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.6 ";""
"298965";"2020-10-13";"18:51:55";"F";"12184";"55";"94";"0";"0.415";"0.0"
"303005";"2020-10-13";"18:52:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.7 ";""
"304765";"2020-10-13";"18:52:01";"F";"12185";"46";"67";"0";"0.313";"0.0"
"309005";"2020-10-13";"18:52:06";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.7 ";""
"314165";"2020-10-13";"18:52:11";"F";"12186";"31";"43";"0";"-";"-"
"319005";"2020-10-13";"18:52:16";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.7 ";""
"325935";"2020-10-13";"18:52:22";"F";"12187";"7";"20";"0";"-";"-"
"330005";"2020-10-13";"18:52:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.7 ";""
"330375";"2020-10-13";"18:52:27";"F";"12188";"8";"20";"0";"-";"-"
"335005";"2020-10-13";"18:52:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.7 ";""
"373765";"2020-10-13";"18:53:10";"F";"12189";"312";"335";"0";"0.069";"0.0"
"378005";"2020-10-13";"18:53:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.8 ";""
"381775";"2020-10-13";"18:53:18";"F";"12190";"170";"242";"0";"0.298";"0.0"
"386005";"2020-10-13";"18:53:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.8 ";""
"397125";"2020-10-13";"18:53:34";"F";"12191";"53";"63";"0";"0.159";"0.0"
"401005";"2020-10-13";"18:53:38";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.9 ";""
"403085";"2020-10-13";"18:53:40";"F";"12192";"57";"87";"0";"0.345";"0.0"
"407005";"2020-10-13";"18:53:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.9 ";""
"412685";"2020-10-13";"18:53:49";"F";"12193";"56";"67";"0";"0.164";"0.0"
"417005";"2020-10-13";"18:53:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.9 ";""
"421455";"2020-10-13";"18:53:58";"F";"12194";"76";"104";"0";"0.269";"0.0"
"426005";"2020-10-13";"18:54:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.9 ";""
"428185";"2020-10-13";"18:54:05";"F";"12195";"19";"51";"0";"0.627";"0.0"
"433005";"2020-10-13";"18:54:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.9 ";""
"436885";"2020-10-13";"18:54:13";"F";"12196";"35";"46";"0";"-";"-"
"441005";"2020-10-13";"18:54:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 26.9 ";""
"445595";"2020-10-13";"18:54:22";"F";"12197";"31";"62";"0";"0.500";"0.0"
"450005";"2020-10-13";"18:54:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 27.0 ";""
"452285";"2020-10-13";"18:54:29";"F";"12198";"25";"37";"0";"-";"-"
"456005";"2020-10-13";"18:54:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 27.1 ";""
"460885";"2020-10-13";"18:54:37";"F";"12199";"43";"59";"0";"0.271";"0.0"
"465005";"2020-10-13";"18:54:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 27.1 ";""
"481525";"2020-10-13";"18:54:58";"F";"12200";"38";"71";"0";"0.465";"0.0"
"486005";"2020-10-13";"18:55:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 27.3 ";""
"492285";"2020-10-13";"18:55:09";"F";"12201";"16";"33";"0";"-";"-"
"497005";"2020-10-13";"18:55:14";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 27.3 ";""
"508875";"2020-10-13";"18:55:25";"F";"12202";"8";"27";"0";"-";"-"
