geno,f,fm,fvfm,tank_id,tank_set,max_temp
CRF095,221,340,0.35,P4,port,38
CRF032,129,172,0.25,P4,port,38
CRF032,83,103,0.194,P4,port,38
CRF113,77,90,0.144,P4,port,38
CRF113,62,93,0.333,P4,port,38
CRF112,20,49,NA,P4,port,38
CRF112,25,46,NA,P4,port,38
CRF029,212,267,0.206,P4,port,38
CRF029,134,232,0.422,P4,port,38
CRF085,108,134,0.194,P4,port,38
CRF085,103,132,0.22,P4,port,38
CRF094,84,167,0.497,P4,port,38
CRF094,107,158,0.323,P4,port,38
CRF121,62,81,0.235,P4,port,38
CRF121,86,102,0.157,P4,port,38
CRF024,89,116,0.233,P4,port,38
CRF024,103,135,0.237,P4,port,38
CRF098,185,409,0.548,P5,port,34
CRF098,218,608,0.641,P5,port,34
CRF008,347,940,0.631,P5,port,34
CRF008,333,890,0.626,P5,port,34
CRF053,262,567,0.538,P5,port,34
CRF053,232,539,0.57,P5,port,34
CRF039,329,730,0.549,P5,port,34
CRF039,277,624,0.556,P5,port,34
CRF118,256,550,0.535,P5,port,34
CRF118,259,576,0.55,P5,port,34
CRF019,140,282,0.504,P5,port,34
CRF019,247,567,0.564,P5,port,34
CRF033,197,405,0.514,P5,port,34
CRF033,184,373,0.507,P5,port,34
CRF076,233,540,0.569,P5,port,34
CRF076,281,713,0.606,P5,port,34
CRF087,231,648,0.644,P5,port,34
CRF087,282,736,0.617,P5,port,34
CRF043,294,551,0.466,P5,port,34
CRF043,259,656,0.605,P5,port,34
CRF108,219,589,0.628,P5,port,34
CRF108,230,570,0.596,P5,port,34
CRF040,237,576,0.589,P5,port,34
CRF040,265,597,0.556,P5,port,34
CRF051,247,592,0.583,P5,port,34
CRF051,341,734,0.535,P5,port,34
CRF095,236,496,0.524,P5,port,34
CRF095,307,651,0.528,P5,port,34
CRF032,268,645,0.584,P5,port,34
CRF032,262,538,0.513,P5,port,34
CRF113,203,455,0.554,P5,port,34
CRF113,349,740,0.528,P5,port,34
CRF112,193,533,0.638,P5,port,34
CRF112,199,505,0.606,P5,port,34
CRF029,227,438,0.482,P5,port,34
CRF029,295,584,0.495,P5,port,34
CRF085,223,512,0.564,P5,port,34
CRF085,208,496,0.581,P5,port,34
CRF094,207,471,0.561,P5,port,34
CRF094,194,431,0.55,P5,port,34
CRF121,275,615,0.553,P5,port,34
CRF121,167,376,0.556,P5,port,34
CRF024,277,630,0.56,P5,port,34
CRF024,252,589,0.572,P5,port,34
CRF098,334,949,0.648,P6,port,33
CRF098,206,580,0.645,P6,port,33
CRF008,243,673,0.639,P6,port,33
CRF008,237,533,0.555,P6,port,33
CRF053,210,545,0.615,P6,port,33
CRF053,279,713,0.609,P6,port,33
CRF039,301,842,0.643,P6,port,33
CRF039,326,778,0.581,P6,port,33
CRF118,225,669,0.664,P6,port,33
CRF118,209,523,0.6,P6,port,33
CRF019,215,547,0.607,P6,port,33
CRF019,225,576,0.609,P6,port,33
CRF033,232,673,0.655,P6,port,33
CRF033,231,648,0.644,P6,port,33
CRF076,256,624,0.59,P6,port,33
CRF076,224,394,0.431,P6,port,33
CRF087,228,583,0.609,P6,port,33
CRF087,215,590,0.636,P6,port,33
CRF043,249,717,0.653,P6,port,33
CRF043,167,458,0.635,P6,port,33
CRF108,181,497,0.636,P6,port,33
CRF108,299,879,0.66,P6,port,33
CRF040,346,850,0.593,P6,port,33
CRF040,297,722,0.589,P6,port,33
CRF051,249,723,0.656,P6,port,33
CRF051,198,685,0.711,P6,port,33
CRF095,227,585,0.612,P6,port,33
CRF095,307,706,0.565,P6,port,33
CRF032,203,465,0.563,P6,port,33
CRF032,217,490,0.557,P6,port,33
CRF113,242,640,0.622,P6,port,33
CRF113,194,522,0.628,P6,port,33
CRF112,161,426,0.622,P6,port,33
CRF112,185,556,0.667,P6,port,33
CRF029,287,707,0.594,P6,port,33
CRF029,230,657,0.65,P6,port,33
CRF085,272,674,0.596,P6,port,33
CRF085,230,593,0.612,P6,port,33
CRF094,191,540,0.646,P6,port,33
CRF094,167,469,0.644,P6,port,33
CRF121,223,604,0.631,P6,port,33
CRF121,186,470,0.604,P6,port,33
CRF024,240,598,0.599,P6,port,33
CRF024,202,576,0.649,P6,port,33
CRF098,351,1032,0.66,P7,port,32
CRF098,238,929,0.744,P7,port,32
CRF008,358,984,0.636,P7,port,32
CRF008,234,715,0.673,P7,port,32
CRF053,245,623,0.607,P7,port,32
CRF053,235,612,0.616,P7,port,32
CRF039,285,694,0.589,P7,port,32
CRF039,224,652,0.656,P7,port,32
CRF118,330,807,0.591,P7,port,32
CRF118,289,735,0.607,P7,port,32
CRF019,281,853,0.671,P7,port,32
CRF019,384,1127,0.659,P7,port,32
CRF033,304,833,0.635,P7,port,32
CRF033,288,774,0.628,P7,port,32
CRF076,389,1019,0.618,P7,port,32
CRF076,317,875,0.638,P7,port,32
CRF087,281,661,0.575,P7,port,32
CRF087,228,545,0.582,P7,port,32
CRF043,316,868,0.636,P7,port,32
CRF043,242,682,0.645,P7,port,32
CRF108,354,1050,0.663,P7,port,32
CRF108,228,634,0.64,P7,port,32
CRF040,221,700,0.684,P7,port,32
CRF040,290,735,0.605,P7,port,32
CRF051,318,955,0.667,P7,port,32
CRF051,295,890,0.669,P7,port,32
CRF095,229,637,0.641,P7,port,32
CRF095,307,805,0.619,P7,port,32
CRF032,214,546,0.608,P7,port,32
CRF032,307,766,0.599,P7,port,32
CRF113,196,589,0.667,P7,port,32
CRF113,205,536,0.618,P7,port,32
CRF112,146,426,0.657,P7,port,32
CRF112,171,519,0.671,P7,port,32
CRF029,197,522,0.623,P7,port,32
CRF029,250,741,0.663,P7,port,32
CRF085,188,601,0.687,P7,port,32
CRF085,230,606,0.62,P7,port,32
CRF094,211,616,0.657,P7,port,32
CRF094,236,644,0.634,P7,port,32
CRF121,260,637,0.592,P7,port,32
CRF121,197,535,0.632,P7,port,32
CRF024,195,540,0.639,P7,port,32
CRF024,214,655,0.673,P7,port,32
CRF098,348,964,0.639,P8,port,30
CRF098,342,890,0.616,P8,port,30
CRF008,237,662,0.642,P8,port,30
CRF008,222,633,0.649,P8,port,30
CRF053,242,714,0.661,P8,port,30
CRF053,206,592,0.652,P8,port,30
CRF039,311,774,0.598,P8,port,30
CRF039,284,715,0.603,P8,port,30
CRF118,241,561,0.57,P8,port,30
CRF118,216,528,0.591,P8,port,30
CRF019,217,605,0.641,P8,port,30
CRF019,251,759,0.669,P8,port,30
CRF033,206,614,0.664,P8,port,30
CRF033,250,652,0.617,P8,port,30
CRF076,198,547,0.638,P8,port,30
CRF076,257,694,0.63,P8,port,30
CRF087,240,664,0.639,P8,port,30
CRF087,327,851,0.616,P8,port,30
CRF043,253,698,0.638,P8,port,30
CRF043,254,718,0.646,P8,port,30
CRF108,168,483,0.652,P8,port,30
CRF108,181,639,0.717,P8,port,30
CRF040,261,706,0.63,P8,port,30
CRF040,196,504,0.611,P8,port,30
CRF051,177,511,0.654,P8,port,30
CRF051,278,843,0.67,P8,port,30
CRF095,247,774,0.681,P8,port,30
CRF095,228,697,0.673,P8,port,30
CRF032,209,531,0.606,P8,port,30
CRF032,215,556,0.613,P8,port,30
CRF113,218,570,0.618,P8,port,30
CRF113,206,495,0.584,P8,port,30
CRF112,249,679,0.633,P8,port,30
CRF112,155,423,0.634,P8,port,30
CRF029,195,470,0.585,P8,port,30
CRF029,183,543,0.663,P8,port,30
CRF085,192,538,0.643,P8,port,30
CRF085,225,610,0.631,P8,port,30
CRF094,204,577,0.646,P8,port,30
CRF094,244,703,0.653,P8,port,30
CRF121,222,665,0.666,P8,port,30
CRF121,196,632,0.69,P8,port,30
CRF024,188,489,0.616,P8,port,30
CRF024,266,921,0.711,P8,port,30
CRF069,0,36,NA,S1,starboard,38
CRF069,0,28,NA,S1,starboard,38
CRF052,20,29,NA,S1,starboard,38
CRF052,15,32,NA,S1,starboard,38
CRF023,163,185,0.119,S1,starboard,38
CRF023,230,257,0.105,S1,starboard,38
CRF048,46,67,0.313,S1,starboard,38
CRF048,31,43,NA,S1,starboard,38
CRF102,7,20,NA,S1,starboard,38
CRF102,8,20,NA,S1,starboard,38
CRF086,312,335,0.069,S1,starboard,38
CRF086,170,242,0.298,S1,starboard,38
CRF059,53,63,0.159,S1,starboard,38
CRF059,57,87,0.345,S1,starboard,38
CRF047,56,67,0.164,S1,starboard,38
CRF047,76,104,0.269,S1,starboard,38
CRF055,19,51,0.627,S1,starboard,38
CRF055,35,46,NA,S1,starboard,38
CRF119,31,62,0.5,S1,starboard,38
CRF119,25,37,NA,S1,starboard,38
CRF031,43,59,0.271,S1,starboard,38
CRF031,38,71,0.465,S1,starboard,38
CRF068,16,33,NA,S1,starboard,38
CRF068,8,27,NA,S1,starboard,38
CRF066,10,31,NA,S1,starboard,38
CRF066,9,28,NA,S1,starboard,38
CRF082,15,48,NA,S1,starboard,38
CRF082,11,20,NA,S1,starboard,38
CRF020,6,34,NA,S1,starboard,38
CRF020,175,200,0.125,S1,starboard,38
CRF099,28,31,NA,S1,starboard,38
CRF099,0,31,NA,S1,starboard,38
CRF007,19,49,NA,S1,starboard,38
CRF007,27,44,NA,S1,starboard,38
CRF028,47,72,0.347,S1,starboard,38
CRF028,60,84,0.286,S1,starboard,38
CRF042,50,62,0.194,S1,starboard,38
CRF042,22,53,0.585,S1,starboard,38
CRF010,35,59,0.407,S1,starboard,38
CRF010,44,64,0.313,S1,starboard,38
CRF074,44,64,0.313,S1,starboard,38
CRF074,46,77,0.403,S1,starboard,38
CRF013,56,69,0.188,S1,starboard,38
CRF013,36,46,NA,S1,starboard,38
CRF069,10,40,NA,S2,starboard,37
CRF069,20,37,NA,S2,starboard,37
CRF052,55,99,0.444,S2,starboard,37
CRF052,52,64,0.188,S2,starboard,37
CRF023,130,159,0.182,S2,starboard,37
CRF023,350,458,0.236,S2,starboard,37
CRF048,131,207,0.367,S2,starboard,37
CRF048,167,263,0.365,S2,starboard,37
CRF102,171,300,0.43,S2,starboard,37
CRF102,272,362,0.249,S2,starboard,37
CRF086,12,28,NA,S2,starboard,37
CRF086,17,38,NA,S2,starboard,37
CRF059,236,412,0.427,S2,starboard,37
CRF059,214,373,0.426,S2,starboard,37
CRF047,240,376,0.362,S2,starboard,37
CRF047,501,650,0.229,S2,starboard,37
CRF055,84,132,0.364,S2,starboard,37
CRF055,88,130,0.323,S2,starboard,37
CRF119,163,217,0.249,S2,starboard,37
CRF119,98,118,0.169,S2,starboard,37
CRF031,84,111,0.243,S2,starboard,37
CRF031,160,344,0.535,S2,starboard,37
CRF068,70,106,0.34,S2,starboard,37
CRF068,83,145,0.428,S2,starboard,37
CRF066,531,658,0.193,S2,starboard,37
CRF066,229,283,0.191,S2,starboard,37
CRF082,138,282,0.511,S2,starboard,37
CRF082,150,268,0.44,S2,starboard,37
CRF020,170,254,0.331,S2,starboard,37
CRF020,203,402,0.495,S2,starboard,37
CRF099,261,294,0.112,S2,starboard,37
CRF099,375,488,0.232,S2,starboard,37
CRF007,225,305,0.262,S2,starboard,37
CRF007,306,372,0.177,S2,starboard,37
CRF028,111,207,0.464,S2,starboard,37
CRF028,70,88,0.205,S2,starboard,37
CRF042,274,425,0.355,S2,starboard,37
CRF042,130,226,0.425,S2,starboard,37
CRF010,189,265,0.287,S2,starboard,37
CRF010,277,363,0.237,S2,starboard,37
CRF074,123,200,0.385,S2,starboard,37
CRF074,242,369,0.344,S2,starboard,37
CRF013,259,390,0.336,S2,starboard,37
CRF013,166,229,0.275,S2,starboard,37
CRF069,260,386,0.326,S3,starboard,36
CRF069,293,419,0.301,S3,starboard,36
CRF052,394,504,0.218,S3,starboard,36
CRF052,279,388,0.281,S3,starboard,36
CRF023,351,538,0.348,S3,starboard,36
CRF023,383,646,0.407,S3,starboard,36
CRF048,196,288,0.319,S3,starboard,36
CRF048,236,417,0.434,S3,starboard,36
CRF102,242,329,0.264,S3,starboard,36
CRF102,342,488,0.299,S3,starboard,36
CRF086,190,281,0.324,S3,starboard,36
CRF086,158,242,0.347,S3,starboard,36
CRF059,227,452,0.498,S3,starboard,36
CRF059,161,310,0.481,S3,starboard,36
CRF047,372,505,0.263,S3,starboard,36
CRF047,320,514,0.377,S3,starboard,36
CRF055,75,109,0.312,S3,starboard,36
CRF055,88,144,0.389,S3,starboard,36
CRF119,418,562,0.256,S3,starboard,36
CRF119,207,292,0.291,S3,starboard,36
CRF031,335,409,0.181,S3,starboard,36
CRF031,294,374,0.214,S3,starboard,36
CRF068,313,529,0.408,S3,starboard,36
CRF068,294,478,0.385,S3,starboard,36
CRF066,271,360,0.247,S3,starboard,36
CRF066,338,431,0.216,S3,starboard,36
CRF082,411,585,0.297,S3,starboard,36
CRF082,260,434,0.401,S3,starboard,36
CRF020,235,379,0.38,S3,starboard,36
CRF020,219,354,0.381,S3,starboard,36
CRF099,329,406,0.19,S3,starboard,36
CRF099,433,567,0.236,S3,starboard,36
CRF007,314,362,0.133,S3,starboard,36
CRF007,307,409,0.249,S3,starboard,36
