geno,rec,f,fm,fvfm,tank_id,tank_set,max_temp
182,10070,151,373,0.595,S4,starboard,35
174,10071,305,682,0.553,S4,starboard,35
174,10072,264,642,0.589,S4,starboard,35
166,10073,243,669,0.637,S4,starboard,35
166,10074,338,796,0.575,S4,starboard,35
167,10075,483,860,0.438,S4,starboard,35
167,10076,441,751,0.413,S4,starboard,35
176B,10077,251,571,0.56,S4,starboard,35
176B,10079,104,294,0.646,S4,starboard,35
171,10080,250,1013,0.753,S4,starboard,35
171,10082,393,1023,0.616,S4,starboard,35
173,10083,394,647,0.391,S4,starboard,35
173,10084,448,701,0.361,S4,starboard,35
CN2,10085,238,585,0.593,S4,starboard,35
CN2,10086,205,756,0.729,S4,starboard,35
175,10088,286,557,0.487,S4,starboard,35
175,10089,304,714,0.574,S4,starboard,35
156,10090,484,937,0.483,S4,starboard,35
156,10091,460,877,0.475,S4,starboard,35
170B,10092,501,794,0.369,S4,starboard,35
170B,10093,440,807,0.455,S4,starboard,35
165,10094,244,734,0.668,S4,starboard,35
165,10095,255,808,0.684,S4,starboard,35
161,10096,148,624,0.763,S4,starboard,35
161,10097,207,588,0.648,S4,starboard,35
154,10099,343,793,0.567,S4,starboard,35
154,10100,160,392,0.592,S4,starboard,35
