"2020-10-07";"00:17:00";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"21:00:01";"SCHS";"";"Chart start ";""
"2151395";"2020-10-06";"21:35:53";"F";"9819";"13";"54";"0";"0.759";"0.0"
"2155005";"2020-10-06";"21:35:57";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2157455";"2020-10-06";"21:35:59";"F";"9820";"47";"67";"0";"0.299";"0.0"
"2161005";"2020-10-06";"21:36:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2165355";"2020-10-06";"21:36:07";"F";"9821";"509";"670";"0";"0.240";"0.0"
"2170005";"2020-10-06";"21:36:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2176085";"2020-10-06";"21:36:18";"F";"9822";"183";"243";"0";"0.247";"0.0"
"2181005";"2020-10-06";"21:36:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2183325";"2020-10-06";"21:36:25";"F";"9823";"24";"56";"0";"0.571";"0.0"
"2188005";"2020-10-06";"21:36:30";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2195065";"2020-10-06";"21:36:37";"F";"9824";"32";"60";"0";"0.467";"0.0"
"2200005";"2020-10-06";"21:36:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2202305";"2020-10-06";"21:36:44";"F";"9825";"21";"45";"0";"-";"-"
"2206005";"2020-10-06";"21:36:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2209975";"2020-10-06";"21:36:51";"F";"9826";"13";"40";"0";"-";"-"
"2214005";"2020-10-06";"21:36:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2216545";"2020-10-06";"21:36:58";"F";"9827";"80";"176";"0";"0.545";"0.0"
"2220005";"2020-10-06";"21:37:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2233695";"2020-10-06";"21:37:15";"F";"9828";"134";"448";"0";"0.701";"0.0"
"2237005";"2020-10-06";"21:37:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2241965";"2020-10-06";"21:37:23";"F";"9829";"45";"160";"0";"0.719";"0.0"
"2245005";"2020-10-06";"21:37:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2249035";"2020-10-06";"21:37:31";"F";"9830";"271";"712";"0";"0.619";"0.0"
"2253005";"2020-10-06";"21:37:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2258545";"2020-10-06";"21:37:40";"F";"9831";"55";"108";"0";"0.491";"0.0"
"2262005";"2020-10-06";"21:37:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2263565";"2020-10-06";"21:37:45";"F";"9832";"54";"139";"0";"0.612";"0.0"
"2267005";"2020-10-06";"21:37:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2269585";"2020-10-06";"21:37:51";"F";"9833";"223";"583";"0";"0.617";"0.0"
"2273005";"2020-10-06";"21:37:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2280665";"2020-10-06";"21:38:02";"F";"9834";"138";"178";"0";"0.225";"0.0"
"2284005";"2020-10-06";"21:38:06";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2297265";"2020-10-06";"21:38:19";"F";"9835";"18";"44";"0";"-";"-"
"2301005";"2020-10-06";"21:38:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2312835";"2020-10-06";"21:38:34";"F";"9836";"36";"71";"0";"0.493";"0.0"
"2317005";"2020-10-06";"21:38:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2323255";"2020-10-06";"21:38:45";"F";"9837";"53";"89";"0";"0.404";"0.0"
"2327005";"2020-10-06";"21:38:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2330675";"2020-10-06";"21:38:52";"F";"9838";"23";"60";"0";"0.617";"0.0"
"2334005";"2020-10-06";"21:38:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2336845";"2020-10-06";"21:38:58";"F";"9839";"27";"60";"0";"0.550";"0.0"
"2340005";"2020-10-06";"21:39:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2344265";"2020-10-06";"21:39:06";"F";"9840";"78";"228";"0";"0.658";"0.0"
"2348005";"2020-10-06";"21:39:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2351135";"2020-10-06";"21:39:13";"F";"9841";"113";"190";"0";"0.405";"0.0"
"2355005";"2020-10-06";"21:39:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"2359945";"2020-10-06";"21:39:21";"F";"9842";"65";"93";"0";"0.301";"0.0"
"2363005";"2020-10-06";"21:39:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2367205";"2020-10-06";"21:39:29";"F";"9843";"42";"77";"0";"0.455";"0.0"
"2371005";"2020-10-06";"21:39:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2377135";"2020-10-06";"21:39:39";"F";"9844";"35";"61";"0";"0.426";"0.0"
"2381005";"2020-10-06";"21:39:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2382555";"2020-10-06";"21:39:44";"F";"9845";"52";"109";"0";"0.523";"0.0"
"2386005";"2020-10-06";"21:39:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2389495";"2020-10-06";"21:39:51";"F";"9846";"64";"169";"0";"0.621";"0.0"
"2393005";"2020-10-06";"21:39:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2398555";"2020-10-06";"21:40:00";"F";"9847";"202";"285";"0";"0.291";"0.0"
"2402005";"2020-10-06";"21:40:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2408825";"2020-10-06";"21:40:10";"F";"9848";"122";"172";"0";"0.291";"0.0"
"2412005";"2020-10-06";"21:40:14";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2416395";"2020-10-06";"21:40:18";"F";"9849";"46";"96";"0";"0.521";"0.0"
"2420005";"2020-10-06";"21:40:22";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2421645";"2020-10-06";"21:40:23";"F";"9850";"88";"216";"0";"0.593";"0.0"
"2425005";"2020-10-06";"21:40:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2428695";"2020-10-06";"21:40:30";"F";"9851";"122";"145";"0";"0.159";"0.0"
"2432005";"2020-10-06";"21:40:34";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2436365";"2020-10-06";"21:40:38";"F";"9852";"193";"193";"0";"0.000";"0.0"
"2440005";"2020-10-06";"21:40:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2442865";"2020-10-06";"21:40:44";"F";"9853";"178";"476";"0";"0.626";"0.0"
"2446005";"2020-10-06";"21:40:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2448585";"2020-10-06";"21:40:50";"F";"9854";"88";"414";"0";"0.787";"0.0"
"2452005";"2020-10-06";"21:40:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2454535";"2020-10-06";"21:40:56";"F";"9855";"273";"505";"0";"0.459";"0.0"
"2458005";"2020-10-06";"21:41:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2459645";"2020-10-06";"21:41:01";"F";"9856";"309";"542";"0";"0.430";"0.0"
"2463005";"2020-10-06";"21:41:05";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"2465645";"2020-10-06";"21:41:07";"F";"9857";"136";"255";"0";"0.467";"0.0"
"2469005";"2020-10-06";"21:41:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2469735";"2020-10-06";"21:41:11";"F";"9858";"88";"175";"0";"0.497";"0.0"
"2473005";"2020-10-06";"21:41:15";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"2475435";"2020-10-06";"21:41:17";"F";"9859";"94";"197";"0";"0.523";"0.0"
"2479005";"2020-10-06";"21:41:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"2481045";"2020-10-06";"21:41:23";"F";"9860";"98";"293";"0";"0.666";"0.0"
"2485005";"2020-10-06";"21:41:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"2486985";"2020-10-06";"21:41:28";"F";"9861";"91";"103";"0";"0.117";"0.0"
"2486990";"2020-10-06";"21:41:28";"SCHE";"";"Chart stop ";""
"2490005";"2020-10-06";"21:41:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"2611000";"2020-10-06";"21:43:32";"SCHS";"";"Chart start ";""
"2611005";"2020-10-06";"21:43:33";"C";"";"File Nr. 407 | File Dev. ID #1, DIVING-PAM-II:  ";""
"2635945";"2020-10-06";"21:43:57";"F";"9862";"58";"109";"0";"0.468";"0.0"
"2639005";"2020-10-06";"21:44:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2642295";"2020-10-06";"21:44:04";"F";"9863";"115";"264";"0";"0.564";"0.0"
"2646005";"2020-10-06";"21:44:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2652475";"2020-10-06";"21:44:14";"F";"9864";"270";"1184";"0";"0.772";"0.0"
"2656005";"2020-10-06";"21:44:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2658645";"2020-10-06";"21:44:20";"F";"9865";"602";"1409";"0";"0.573";"0.0"
"2662005";"2020-10-06";"21:44:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2665355";"2020-10-06";"21:44:27";"F";"9866";"339";"650";"0";"0.478";"0.0"
"2669005";"2020-10-06";"21:44:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2670445";"2020-10-06";"21:44:32";"F";"9867";"274";"607";"0";"0.549";"0.0"
"2674005";"2020-10-06";"21:44:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2678395";"2020-10-06";"21:44:40";"F";"9868";"459";"847";"0";"0.458";"0.0"
"2682005";"2020-10-06";"21:44:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2683065";"2020-10-06";"21:44:45";"F";"9869";"340";"685";"0";"0.504";"0.0"
"2687005";"2020-10-06";"21:44:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2691715";"2020-10-06";"21:44:53";"F";"9870";"48";"154";"0";"0.688";"0.0"
"2695005";"2020-10-06";"21:44:57";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2697915";"2020-10-06";"21:44:59";"F";"9871";"72";"159";"0";"0.547";"0.0"
"2701005";"2020-10-06";"21:45:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2706535";"2020-10-06";"21:45:08";"F";"9872";"116";"394";"0";"0.706";"0.0"
"2710005";"2020-10-06";"21:45:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2713655";"2020-10-06";"21:45:15";"F";"9873";"301";"972";"0";"0.690";"0.0"
"2717005";"2020-10-06";"21:45:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2720775";"2020-10-06";"21:45:22";"F";"9874";"395";"967";"0";"0.592";"0.0"
"2724005";"2020-10-06";"21:45:26";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2749935";"2020-10-06";"21:45:51";"F";"9875";"222";"400";"0";"0.445";"0.0"
"2753005";"2020-10-06";"21:45:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2756855";"2020-10-06";"21:45:58";"F";"9876";"203";"384";"0";"0.471";"0.0"
"2760005";"2020-10-06";"21:46:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2762175";"2020-10-06";"21:46:04";"F";"9877";"185";"342";"0";"0.459";"0.0"
"2766005";"2020-10-06";"21:46:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2767185";"2020-10-06";"21:46:09";"F";"9878";"78";"399";"0";"0.805";"0.0"
"2771005";"2020-10-06";"21:46:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2772125";"2020-10-06";"21:46:14";"F";"9879";"148";"308";"0";"0.519";"0.0"
"2777005";"2020-10-06";"21:46:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2779435";"2020-10-06";"21:46:21";"F";"9880";"180";"319";"0";"0.436";"0.0"
"2783005";"2020-10-06";"21:46:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2785135";"2020-10-06";"21:46:27";"F";"9881";"85";"239";"0";"0.644";"0.0"
"2789005";"2020-10-06";"21:46:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2791665";"2020-10-06";"21:46:33";"F";"9882";"181";"347";"0";"0.478";"0.0"
"2796005";"2020-10-06";"21:46:38";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2799755";"2020-10-06";"21:46:41";"F";"9883";"167";"406";"0";"0.589";"0.0"
"2804005";"2020-10-06";"21:46:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2810185";"2020-10-06";"21:46:52";"F";"9884";"187";"582";"0";"0.679";"0.0"
"2814005";"2020-10-06";"21:46:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2817035";"2020-10-06";"21:46:59";"F";"9885";"217";"433";"0";"0.499";"0.0"
"2821005";"2020-10-06";"21:47:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2824445";"2020-10-06";"21:47:06";"F";"9886";"193";"596";"0";"0.676";"0.0"
"2828005";"2020-10-06";"21:47:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2831895";"2020-10-06";"21:47:13";"F";"9887";"150";"366";"0";"0.590";"0.0"
"2835005";"2020-10-06";"21:47:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2837035";"2020-10-06";"21:47:19";"F";"9888";"162";"414";"0";"0.609";"0.0"
"2842005";"2020-10-06";"21:47:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"2845375";"2020-10-06";"21:47:27";"F";"9889";"169";"532";"0";"0.682";"0.0"
"2849005";"2020-10-06";"21:47:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2860055";"2020-10-06";"21:47:42";"F";"9890";"228";"596";"0";"0.617";"0.0"
"2864005";"2020-10-06";"21:47:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2884945";"2020-10-06";"21:48:06";"F";"9891";"498";"816";"0";"0.390";"0.0"
"2888005";"2020-10-06";"21:48:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2890715";"2020-10-06";"21:48:12";"F";"9892";"386";"695";"0";"0.445";"0.0"
"2894005";"2020-10-06";"21:48:16";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2894305";"2020-10-06";"21:48:16";"F";"9893";"209";"674";"0";"0.690";"0.0"
"2898005";"2020-10-06";"21:48:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"2899195";"2020-10-06";"21:48:21";"F";"9894";"251";"682";"0";"0.632";"0.0"
"2903005";"2020-10-06";"21:48:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2906915";"2020-10-06";"21:48:28";"F";"9895";"455";"896";"0";"0.492";"0.0"
"2910005";"2020-10-06";"21:48:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"2913535";"2020-10-06";"21:48:35";"F";"9896";"268";"586";"0";"0.543";"0.0"
"2917005";"2020-10-06";"21:48:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2920425";"2020-10-06";"21:48:42";"F";"9897";"282";"723";"0";"0.610";"0.0"
"2924005";"2020-10-06";"21:48:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2928375";"2020-10-06";"21:48:50";"F";"9898";"412";"805";"0";"0.488";"0.0"
"2932005";"2020-10-06";"21:48:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2933455";"2020-10-06";"21:48:55";"F";"9899";"260";"591";"0";"0.560";"0.0"
"2937005";"2020-10-06";"21:48:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2939205";"2020-10-06";"21:49:01";"F";"9900";"225";"634";"0";"0.645";"0.0"
"2943005";"2020-10-06";"21:49:05";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2949905";"2020-10-06";"21:49:11";"F";"9901";"301";"620";"0";"0.515";"0.0"
"2953005";"2020-10-06";"21:49:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"2958765";"2020-10-06";"21:49:20";"F";"9902";"326";"962";"0";"0.661";"0.0"
"2962005";"2020-10-06";"21:49:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2963945";"2020-10-06";"21:49:25";"F";"9903";"283";"1071";"0";"0.736";"0.0"
"2967005";"2020-10-06";"21:49:29";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2973625";"2020-10-06";"21:49:35";"F";"9904";"275";"857";"0";"0.679";"0.0"
"2977005";"2020-10-06";"21:49:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2979815";"2020-10-06";"21:49:41";"F";"9905";"371";"834";"0";"0.555";"0.0"
"2984005";"2020-10-06";"21:49:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2985685";"2020-10-06";"21:49:47";"F";"9906";"317";"903";"0";"0.649";"0.0"
"2990005";"2020-10-06";"21:49:52";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"2992645";"2020-10-06";"21:49:54";"F";"9907";"392";"844";"0";"0.536";"0.0"
"2992650";"2020-10-06";"21:49:54";"SCHE";"";"Chart stop ";""
"2997005";"2020-10-06";"21:49:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"3077000";"2020-10-06";"21:51:18";"SCHS";"";"Chart start ";""
"3077005";"2020-10-06";"21:51:19";"C";"";"File Nr. 408 | File Dev. ID #1, DIVING-PAM-II:  ";""
"3162965";"2020-10-06";"21:52:44";"F";"9908";"353";"1195";"0";"0.705";"0.0"
"3166005";"2020-10-06";"21:52:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3183055";"2020-10-06";"21:53:05";"F";"9909";"145";"386";"0";"0.624";"0.0"
"3187005";"2020-10-06";"21:53:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3194415";"2020-10-06";"21:53:16";"F";"9910";"222";"455";"0";"0.512";"0.0"
"3198005";"2020-10-06";"21:53:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3201535";"2020-10-06";"21:53:23";"F";"9911";"243";"611";"0";"0.602";"0.0"
"3205005";"2020-10-06";"21:53:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3211175";"2020-10-06";"21:53:33";"F";"9912";"87";"331";"0";"0.737";"0.0"
"3215005";"2020-10-06";"21:53:37";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3219925";"2020-10-06";"21:53:41";"F";"9913";"154";"317";"0";"0.514";"0.0"
"3223005";"2020-10-06";"21:53:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3225055";"2020-10-06";"21:53:47";"F";"9914";"113";"276";"0";"0.591";"0.0"
"3229005";"2020-10-06";"21:53:51";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3233835";"2020-10-06";"21:53:55";"F";"9915";"75";"241";"0";"0.689";"0.0"
"3237005";"2020-10-06";"21:53:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3241635";"2020-10-06";"21:54:03";"F";"9916";"83";"255";"0";"0.675";"0.0"
"3245005";"2020-10-06";"21:54:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3252775";"2020-10-06";"21:54:14";"F";"9917";"165";"447";"0";"0.631";"0.0"
"3257005";"2020-10-06";"21:54:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3264365";"2020-10-06";"21:54:26";"F";"9918";"122";"332";"0";"0.633";"0.0"
"3268005";"2020-10-06";"21:54:30";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3272675";"2020-10-06";"21:54:34";"F";"9919";"245";"638";"0";"0.616";"0.0"
"3277005";"2020-10-06";"21:54:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3278105";"2020-10-06";"21:54:40";"F";"9920";"224";"496";"0";"0.548";"0.0"
"3282005";"2020-10-06";"21:54:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3286895";"2020-10-06";"21:54:48";"F";"9921";"251";"606";"0";"0.586";"0.0"
"3291005";"2020-10-06";"21:54:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3293325";"2020-10-06";"21:54:55";"F";"9922";"173";"626";"0";"0.724";"0.0"
"3298005";"2020-10-06";"21:55:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3308665";"2020-10-06";"21:55:10";"F";"9923";"204";"604";"0";"0.662";"0.0"
"3312005";"2020-10-06";"21:55:14";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3313305";"2020-10-06";"21:55:15";"F";"9924";"214";"599";"0";"0.643";"0.0"
"3318005";"2020-10-06";"21:55:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3322705";"2020-10-06";"21:55:24";"F";"9925";"169";"409";"0";"0.587";"0.0"
"3326005";"2020-10-06";"21:55:28";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3329595";"2020-10-06";"21:55:31";"F";"9926";"114";"293";"0";"0.611";"0.0"
"3334005";"2020-10-06";"21:55:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3339775";"2020-10-06";"21:55:41";"F";"9927";"223";"536";"0";"0.584";"0.0"
"3344005";"2020-10-06";"21:55:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3348945";"2020-10-06";"21:55:50";"F";"9928";"169";"371";"0";"0.544";"0.0"
"3353005";"2020-10-06";"21:55:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3356125";"2020-10-06";"21:55:58";"F";"9929";"96";"353";"0";"0.728";"0.0"
"3360005";"2020-10-06";"21:56:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3362565";"2020-10-06";"21:56:04";"F";"9930";"144";"321";"0";"0.551";"0.0"
"3367005";"2020-10-06";"21:56:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3370275";"2020-10-06";"21:56:12";"F";"9931";"135";"435";"0";"0.690";"0.0"
"3375005";"2020-10-06";"21:56:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3378875";"2020-10-06";"21:56:20";"F";"9932";"227";"610";"0";"0.628";"0.0"
"3383005";"2020-10-06";"21:56:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3384975";"2020-10-06";"21:56:26";"F";"9933";"208";"685";"0";"0.696";"0.0"
"3389005";"2020-10-06";"21:56:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3392815";"2020-10-06";"21:56:34";"F";"9934";"114";"280";"0";"0.593";"0.0"
"3397005";"2020-10-06";"21:56:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"3401285";"2020-10-06";"21:56:43";"F";"9935";"113";"283";"0";"0.601";"0.0"
"3405005";"2020-10-06";"21:56:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3406815";"2020-10-06";"21:56:48";"F";"9936";"106";"576";"0";"0.816";"0.0"
"3411005";"2020-10-06";"21:56:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3431125";"2020-10-06";"21:57:13";"F";"9937";"226";"530";"0";"0.574";"0.0"
"3436005";"2020-10-06";"21:57:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3437235";"2020-10-06";"21:57:19";"F";"9938";"178";"562";"0";"0.683";"0.0"
"3442005";"2020-10-06";"21:57:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3450825";"2020-10-06";"21:57:32";"F";"9939";"189";"517";"0";"0.634";"0.0"
"3455005";"2020-10-06";"21:57:37";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3461765";"2020-10-06";"21:57:43";"F";"9940";"257";"719";"0";"0.643";"0.0"
"3466005";"2020-10-06";"21:57:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3468995";"2020-10-06";"21:57:50";"F";"9941";"46";"417";"0";"0.890";"0.0"
"3473005";"2020-10-06";"21:57:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3475595";"2020-10-06";"21:57:57";"F";"9942";"149";"335";"0";"0.555";"0.0"
"3480005";"2020-10-06";"21:58:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3482365";"2020-10-06";"21:58:04";"F";"9943";"202";"488";"0";"0.586";"0.0"
"3487005";"2020-10-06";"21:58:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"3489835";"2020-10-06";"21:58:11";"F";"9944";"185";"538";"0";"0.656";"0.0"
