"2020-10-07";"00:28:40";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"17:21:01";"SCHS";"";"Chart start ";""
"5";"2020-10-06";"17:21:02";"C";"";"File Nr. 376 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1005";"2020-10-06";"17:21:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.2 ";""
"125535";"2020-10-06";"17:23:07";"FO";"9211";"26";"32";"0";"-";"-"
"134005";"2020-10-06";"17:23:16";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.4 ";""
"774865";"2020-10-06";"17:33:56";"F";"9212";"5";"10";"0";"-";"-"
"778005";"2020-10-06";"17:34:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.3 ";""
"817705";"2020-10-06";"17:34:39";"F";"9213";"109";"352";"0";"0.690";"0.0"
"821005";"2020-10-06";"17:34:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.3 ";""
"833975";"2020-10-06";"17:34:55";"F";"9214";"151";"540";"0";"0.720";"0.0"
"837005";"2020-10-06";"17:34:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.4 ";""
"899895";"2020-10-06";"17:36:01";"F";"9215";"164";"540";"0";"0.696";"0.0"
"903005";"2020-10-06";"17:36:05";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 29.5 ";""
"927795";"2020-10-06";"17:36:29";"F";"9216";"419";"1441";"0";"0.709";"0.0"
"931005";"2020-10-06";"17:36:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.6 ";""
"937625";"2020-10-06";"17:36:39";"F";"9217";"376";"1352";"0";"0.722";"0.0"
"941005";"2020-10-06";"17:36:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.6 ";""
"988735";"2020-10-06";"17:37:30";"F";"9218";"248";"830";"0";"0.701";"0.0"
"993005";"2020-10-06";"17:37:35";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 29.6 ";""
"1042895";"2020-10-06";"17:38:24";"F";"9219";"174";"552";"0";"0.685";"0.0"
"1046005";"2020-10-06";"17:38:28";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.7 ";""
"1062615";"2020-10-06";"17:38:44";"F";"9220";"178";"634";"0";"0.719";"0.0"
"1066005";"2020-10-06";"17:38:48";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 29.7 ";""
"1205285";"2020-10-06";"17:41:07";"F";"9221";"307";"1016";"0";"0.698";"0.0"
"1210005";"2020-10-06";"17:41:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"1215465";"2020-10-06";"17:41:17";"F";"9222";"263";"959";"0";"0.726";"0.0"
"1215470";"2020-10-06";"17:41:17";"SCHE";"";"Chart stop ";""
"1219005";"2020-10-06";"17:41:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.9 ";""
"1285000";"2020-10-06";"17:42:26";"SCHS";"";"Chart start ";""
"1285005";"2020-10-06";"17:42:27";"C";"";"File Nr. 377 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1285010";"2020-10-06";"17:42:27";"SCHE";"";"Chart stop ";""
"1289000";"2020-10-06";"17:42:30";"SCHS";"";"Chart start ";""
"1289005";"2020-10-06";"17:42:31";"C";"";"File Nr. 378 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1546455";"2020-10-06";"17:46:48";"F";"9223";"325";"1175";"0";"0.723";"0.0"
"1550005";"2020-10-06";"17:46:52";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.2 ";""
"1552185";"2020-10-06";"17:46:54";"F";"9224";"308";"1286";"0";"0.760";"0.0"
"1556005";"2020-10-06";"17:46:58";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.2 ";""
"1572995";"2020-10-06";"17:47:14";"F";"9225";"0";"12";"0";"-";"-"
"1573000";"2020-10-06";"17:47:14";"SCHE";"";"Chart stop ";""
"1577005";"2020-10-06";"17:47:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.3 ";""
"5526000";"2020-10-06";"18:53:07";"SCHS";"";"Chart start ";""
"5526005";"2020-10-06";"18:53:08";"C";"";"File Nr. 379 | File Dev. ID #1, DIVING-PAM-II:  ";""
"5617075";"2020-10-06";"18:54:39";"F";"9226";"10";"17";"0";"-";"-"
"5622005";"2020-10-06";"18:54:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"5672005";"2020-10-06";"18:55:34";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"5683705";"2020-10-06";"18:55:45";"F";"9227";"3";"15";"0";"-";"-"
"5687005";"2020-10-06";"18:55:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.2 ";""
"5699035";"2020-10-06";"18:56:01";"F";"9228";"6";"18";"0";"-";"-"
"5699040";"2020-10-06";"18:56:01";"SCHE";"";"Chart stop ";""
"5704005";"2020-10-06";"18:56:06";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.2 ";""
"5721000";"2020-10-06";"18:56:22";"SCHS";"";"Chart start ";""
"5721005";"2020-10-06";"18:56:23";"C";"";"File Nr. 380 | File Dev. ID #1, DIVING-PAM-II:  ";""
"5721010";"2020-10-06";"18:56:23";"SCHE";"";"Chart stop ";""
"5743000";"2020-10-06";"18:56:44";"SCHS";"";"Chart start ";""
"5743005";"2020-10-06";"18:56:45";"C";"";"File Nr. 381 | File Dev. ID #1, DIVING-PAM-II:  ";""
"5810165";"2020-10-06";"18:57:52";"F";"9229";"467";"1136";"0";"0.589";"0.0"
