"2020-10-07";"00:23:11";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"20:00:14";"SCHS";"";"Chart start ";""
"5";"2020-10-06";"20:00:15";"C";"";"File Nr. 392 | File Dev. ID #1, DIVING-PAM-II:  ";""
"49005";"2020-10-06";"20:01:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"78035";"2020-10-06";"20:01:33";"F";"9428";"5";"18";"0";"-";"-"
"82005";"2020-10-06";"20:01:37";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"97845";"2020-10-06";"20:01:52";"F";"9429";"5";"13";"0";"-";"-"
"101005";"2020-10-06";"20:01:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"106605";"2020-10-06";"20:02:01";"F";"9430";"4";"18";"0";"-";"-"
"110005";"2020-10-06";"20:02:05";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"117085";"2020-10-06";"20:02:12";"F";"9431";"7";"14";"0";"-";"-"
"121005";"2020-10-06";"20:02:16";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"138035";"2020-10-06";"20:02:33";"F";"9432";"8";"13";"0";"-";"-"
"142005";"2020-10-06";"20:02:37";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"170865";"2020-10-06";"20:03:05";"F";"9433";"2";"10";"0";"-";"-"
"174005";"2020-10-06";"20:03:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"184885";"2020-10-06";"20:03:19";"F";"9434";"6";"14";"0";"-";"-"
"188005";"2020-10-06";"20:03:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"210005";"2020-10-06";"20:03:45";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"228975";"2020-10-06";"20:04:03";"F";"9435";"2";"15";"0";"-";"-"
"228980";"2020-10-06";"20:04:03";"SCHE";"";"Chart stop ";""
"232005";"2020-10-06";"20:04:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"248000";"2020-10-06";"20:04:22";"SCHS";"";"Chart start ";""
"248005";"2020-10-06";"20:04:23";"C";"";"File Nr. 393 | File Dev. ID #1, DIVING-PAM-II:  ";""
"257595";"2020-10-06";"20:04:32";"F";"9436";"3";"16";"0";"-";"-"
"261005";"2020-10-06";"20:04:36";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.0 ";""
"270255";"2020-10-06";"20:04:45";"F";"9437";"3";"17";"0";"-";"-"
"274005";"2020-10-06";"20:04:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"278485";"2020-10-06";"20:04:53";"F";"9438";"10";"14";"0";"-";"-"
"282005";"2020-10-06";"20:04:57";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"288805";"2020-10-06";"20:05:03";"F";"9439";"9";"16";"0";"-";"-"
"292005";"2020-10-06";"20:05:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"310925";"2020-10-06";"20:05:25";"F";"9440";"9";"12";"0";"-";"-"
"314005";"2020-10-06";"20:05:29";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.0 ";""
"316645";"2020-10-06";"20:05:31";"F";"9441";"4";"19";"0";"-";"-"
"320005";"2020-10-06";"20:05:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"324535";"2020-10-06";"20:05:39";"F";"9442";"6";"16";"0";"-";"-"
"328005";"2020-10-06";"20:05:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
