"2020-10-07";"00:23:11";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"20:00:14";"SCHS";"";"Chart start ";""
"331725";"2020-10-06";"20:05:46";"F";"9443";"3";"21";"0";"-";"-"
"335005";"2020-10-06";"20:05:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"338875";"2020-10-06";"20:05:53";"F";"9444";"6";"17";"0";"-";"-"
"342005";"2020-10-06";"20:05:57";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"346535";"2020-10-06";"20:06:01";"F";"9445";"8";"14";"0";"-";"-"
"350005";"2020-10-06";"20:06:05";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"355755";"2020-10-06";"20:06:10";"F";"9446";"4";"16";"0";"-";"-"
"359005";"2020-10-06";"20:06:14";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"368325";"2020-10-06";"20:06:23";"F";"9447";"4";"15";"0";"-";"-"
"372005";"2020-10-06";"20:06:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"377735";"2020-10-06";"20:06:32";"F";"9448";"8";"17";"0";"-";"-"
"381005";"2020-10-06";"20:06:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"401165";"2020-10-06";"20:06:56";"F";"9449";"6";"21";"0";"-";"-"
"405005";"2020-10-06";"20:07:00";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"411895";"2020-10-06";"20:07:06";"F";"9450";"5";"16";"0";"-";"-"
"415005";"2020-10-06";"20:07:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"418965";"2020-10-06";"20:07:13";"F";"9451";"5";"21";"0";"-";"-"
"422005";"2020-10-06";"20:07:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"429245";"2020-10-06";"20:07:24";"F";"9452";"8";"19";"0";"-";"-"
"433005";"2020-10-06";"20:07:28";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"438465";"2020-10-06";"20:07:33";"F";"9453";"7";"17";"0";"-";"-"
"442005";"2020-10-06";"20:07:37";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"446835";"2020-10-06";"20:07:41";"F";"9454";"8";"19";"0";"-";"-"
"450005";"2020-10-06";"20:07:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"454145";"2020-10-06";"20:07:49";"F";"9455";"10";"20";"0";"-";"-"
"458005";"2020-10-06";"20:07:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"462725";"2020-10-06";"20:07:57";"F";"9456";"7";"19";"0";"-";"-"
"466005";"2020-10-06";"20:08:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"469535";"2020-10-06";"20:08:04";"F";"9457";"10";"16";"0";"-";"-"
"469540";"2020-10-06";"20:08:04";"SCHE";"";"Chart stop ";""
"473005";"2020-10-06";"20:08:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"566000";"2020-10-06";"20:09:40";"SCHS";"";"Chart start ";""
"566005";"2020-10-06";"20:09:41";"C";"";"File Nr. 394 | File Dev. ID #1, DIVING-PAM-II:  ";""
"566010";"2020-10-06";"20:09:41";"SCHE";"";"Chart stop ";""
"603000";"2020-10-06";"20:10:17";"SCHS";"";"Chart start ";""
"603005";"2020-10-06";"20:10:18";"C";"";"File Nr. 395 | File Dev. ID #1, DIVING-PAM-II:  ";""
"607005";"2020-10-06";"20:10:22";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"698485";"2020-10-06";"20:11:53";"F";"9458";"342";"768";"0";"0.555";"0.0"
"703005";"2020-10-06";"20:11:58";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"703895";"2020-10-06";"20:11:58";"F";"9459";"334";"893";"0";"0.626";"0.0"
"708005";"2020-10-06";"20:12:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"711705";"2020-10-06";"20:12:06";"F";"9460";"377";"886";"0";"0.574";"0.0"
"716005";"2020-10-06";"20:12:11";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"725065";"2020-10-06";"20:12:20";"F";"9461";"255";"709";"0";"0.640";"0.0"
"730005";"2020-10-06";"20:12:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"746475";"2020-10-06";"20:12:41";"F";"9462";"259";"706";"0";"0.633";"0.0"
"751005";"2020-10-06";"20:12:46";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.0 ";""
"762375";"2020-10-06";"20:12:57";"F";"9463";"57";"169";"0";"0.663";"0.0"
"767005";"2020-10-06";"20:13:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"777805";"2020-10-06";"20:13:12";"F";"9464";"232";"591";"0";"0.607";"0.0"
"782005";"2020-10-06";"20:13:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"793425";"2020-10-06";"20:13:28";"F";"9465";"308";"973";"0";"0.683";"0.0"
"797005";"2020-10-06";"20:13:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"806665";"2020-10-06";"20:13:41";"F";"9466";"468";"1233";"0";"0.620";"0.0"
"811005";"2020-10-06";"20:13:46";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.0 ";""
"815635";"2020-10-06";"20:13:50";"F";"9467";"423";"1198";"0";"0.647";"0.0"
"820005";"2020-10-06";"20:13:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"826475";"2020-10-06";"20:14:01";"F";"9468";"279";"745";"0";"0.626";"0.0"
"831005";"2020-10-06";"20:14:06";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"832695";"2020-10-06";"20:14:07";"F";"9469";"382";"1115";"0";"0.657";"0.0"
"837005";"2020-10-06";"20:14:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"859615";"2020-10-06";"20:14:34";"F";"9470";"306";"915";"0";"0.666";"0.0"
"863005";"2020-10-06";"20:14:38";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.0 ";""
"866185";"2020-10-06";"20:14:41";"F";"9471";"354";"1018";"0";"0.652";"0.0"
"871005";"2020-10-06";"20:14:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"886085";"2020-10-06";"20:15:01";"F";"9472";"261";"628";"0";"0.584";"0.0"
"891005";"2020-10-06";"20:15:06";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"896555";"2020-10-06";"20:15:11";"F";"9473";"242";"770";"0";"0.686";"0.0"
"901005";"2020-10-06";"20:15:16";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.1 ";""
"948965";"2020-10-06";"20:16:03";"F";"9474";"202";"449";"0";"0.550";"0.0"
"953005";"2020-10-06";"20:16:08";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.1 ";""
"955375";"2020-10-06";"20:16:10";"F";"9475";"253";"634";"0";"0.601";"0.0"
"960005";"2020-10-06";"20:16:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"965215";"2020-10-06";"20:16:20";"F";"9476";"404";"1028";"0";"0.607";"0.0"
"970005";"2020-10-06";"20:16:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"971145";"2020-10-06";"20:16:26";"F";"9477";"332";"847";"0";"0.608";"0.0"
"976005";"2020-10-06";"20:16:31";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.1 ";""
"978715";"2020-10-06";"20:16:33";"F";"9478";"274";"1038";"0";"0.736";"0.0"
"982005";"2020-10-06";"20:16:37";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"984405";"2020-10-06";"20:16:39";"F";"9479";"464";"1040";"0";"0.554";"0.0"
"988005";"2020-10-06";"20:16:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"994725";"2020-10-06";"20:16:49";"F";"9480";"230";"694";"0";"0.669";"0.0"
"999005";"2020-10-06";"20:16:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1000215";"2020-10-06";"20:16:55";"F";"9481";"230";"971";"0";"0.763";"0.0"
"1004005";"2020-10-06";"20:16:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1017335";"2020-10-06";"20:17:12";"F";"9482";"189";"703";"0";"0.731";"0.0"
"1022005";"2020-10-06";"20:17:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1026155";"2020-10-06";"20:17:21";"F";"9483";"371";"980";"0";"0.621";"0.0"
"1031005";"2020-10-06";"20:17:26";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1041955";"2020-10-06";"20:17:36";"F";"9484";"392";"954";"0";"0.589";"0.0"
"1045005";"2020-10-06";"20:17:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1048205";"2020-10-06";"20:17:43";"F";"9485";"343";"845";"0";"0.594";"0.0"
"1053005";"2020-10-06";"20:17:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1072665";"2020-10-06";"20:18:07";"F";"9486";"226";"731";"0";"0.691";"0.0"
"1076005";"2020-10-06";"20:18:11";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.1 ";""
"1077205";"2020-10-06";"20:18:12";"F";"9487";"142";"547";"0";"0.740";"0.0"
"1082005";"2020-10-06";"20:18:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1092665";"2020-10-06";"20:18:27";"F";"9488";"217";"655";"0";"0.669";"0.0"
"1097005";"2020-10-06";"20:18:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1100585";"2020-10-06";"20:18:35";"F";"9489";"177";"752";"0";"0.765";"0.0"
"1105005";"2020-10-06";"20:18:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1124315";"2020-10-06";"20:18:59";"F";"9490";"302";"904";"0";"0.666";"0.0"
"1129005";"2020-10-06";"20:19:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1139555";"2020-10-06";"20:19:14";"F";"9491";"273";"997";"0";"0.726";"0.0"
"1144005";"2020-10-06";"20:19:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1148065";"2020-10-06";"20:19:23";"F";"9492";"232";"730";"0";"0.682";"0.0"
"1152005";"2020-10-06";"20:19:27";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.2 ";""
"1154715";"2020-10-06";"20:19:29";"F";"9493";"298";"811";"0";"0.633";"0.0"
"1158005";"2020-10-06";"20:19:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1163185";"2020-10-06";"20:19:38";"F";"9494";"223";"561";"0";"0.602";"0.0"
"1168005";"2020-10-06";"20:19:43";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.1 ";""
"1169355";"2020-10-06";"20:19:44";"F";"9495";"355";"851";"0";"0.583";"0.0"
"1174005";"2020-10-06";"20:19:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1177465";"2020-10-06";"20:19:52";"F";"9496";"212";"641";"0";"0.669";"0.0"
"1181005";"2020-10-06";"20:19:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1182655";"2020-10-06";"20:19:57";"F";"9497";"274";"657";"0";"0.583";"0.0"
"1187005";"2020-10-06";"20:20:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1191555";"2020-10-06";"20:20:06";"F";"9498";"133";"598";"0";"0.778";"0.0"
"1196005";"2020-10-06";"20:20:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1200065";"2020-10-06";"20:20:15";"F";"9499";"203";"543";"0";"0.626";"0.0"
"1200070";"2020-10-06";"20:20:15";"SCHE";"";"Chart stop ";""
"1204005";"2020-10-06";"20:20:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1252000";"2020-10-06";"20:21:06";"SCHS";"";"Chart start ";""
"1252005";"2020-10-06";"20:21:07";"C";"";"File Nr. 396 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1271625";"2020-10-06";"20:21:26";"F";"9500";"5";"17";"0";"-";"-"
"1276005";"2020-10-06";"20:21:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1280425";"2020-10-06";"20:21:35";"F";"9501";"0";"16";"0";"-";"-"
"1284005";"2020-10-06";"20:21:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1289455";"2020-10-06";"20:21:44";"F";"9502";"6";"13";"0";"-";"-"
"1293005";"2020-10-06";"20:21:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1302905";"2020-10-06";"20:21:57";"F";"9503";"9";"13";"0";"-";"-"
"1306005";"2020-10-06";"20:22:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1312655";"2020-10-06";"20:22:07";"F";"9504";"6";"20";"0";"-";"-"
"1316005";"2020-10-06";"20:22:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1328855";"2020-10-06";"20:22:23";"F";"9505";"5";"15";"0";"-";"-"
"1332005";"2020-10-06";"20:22:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1339395";"2020-10-06";"20:22:34";"F";"9506";"1";"16";"0";"-";"-"
"1343005";"2020-10-06";"20:22:38";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.2 ";""
"1351985";"2020-10-06";"20:22:46";"F";"9507";"9";"21";"0";"-";"-"
"1355005";"2020-10-06";"20:22:50";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.2 ";""
"1359885";"2020-10-06";"20:22:54";"F";"9508";"6";"12";"0";"-";"-"
"1363005";"2020-10-06";"20:22:58";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1371405";"2020-10-06";"20:23:06";"F";"9509";"6";"12";"0";"-";"-"
"1375005";"2020-10-06";"20:23:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1383395";"2020-10-06";"20:23:18";"F";"9510";"4";"14";"0";"-";"-"
"1388005";"2020-10-06";"20:23:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1395435";"2020-10-06";"20:23:30";"F";"9511";"3";"13";"0";"-";"-"
"1399005";"2020-10-06";"20:23:34";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1415965";"2020-10-06";"20:23:50";"F";"9512";"5";"17";"0";"-";"-"
"1419005";"2020-10-06";"20:23:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1423375";"2020-10-06";"20:23:58";"F";"9513";"2";"19";"0";"-";"-"
"1427005";"2020-10-06";"20:24:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1435825";"2020-10-06";"20:24:10";"F";"9514";"7";"13";"0";"-";"-"
"1439005";"2020-10-06";"20:24:14";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1446925";"2020-10-06";"20:24:21";"F";"9515";"8";"14";"0";"-";"-"
"1450005";"2020-10-06";"20:24:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1453585";"2020-10-06";"20:24:28";"F";"9516";"5";"20";"0";"-";"-"
"1458005";"2020-10-06";"20:24:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1461215";"2020-10-06";"20:24:36";"F";"9517";"7";"14";"0";"-";"-"
"1465005";"2020-10-06";"20:24:40";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.2 ";""
"1469335";"2020-10-06";"20:24:44";"F";"9518";"3";"13";"0";"-";"-"
"1474005";"2020-10-06";"20:24:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.2 ";""
"1478535";"2020-10-06";"20:24:53";"F";"9519";"0";"17";"0";"-";"-"
"1478540";"2020-10-06";"20:24:53";"SCHE";"";"Chart stop ";""
"1482005";"2020-10-06";"20:24:57";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.2 ";""
"1561000";"2020-10-06";"20:26:15";"SCHS";"";"Chart start ";""
"1561005";"2020-10-06";"20:26:16";"C";"";"File Nr. 397 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1584125";"2020-10-06";"20:26:39";"F";"9520";"280";"688";"0";"0.593";"0.0"
"1588005";"2020-10-06";"20:26:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1593955";"2020-10-06";"20:26:48";"F";"9521";"40";"80";"0";"0.500";"0.0"
"1598005";"2020-10-06";"20:26:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1601565";"2020-10-06";"20:26:56";"F";"9522";"427";"975";"0";"0.562";"0.0"
"1606005";"2020-10-06";"20:27:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1609795";"2020-10-06";"20:27:04";"F";"9523";"271";"456";"0";"0.406";"0.0"
"1614005";"2020-10-06";"20:27:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1619075";"2020-10-06";"20:27:14";"F";"9524";"374";"1041";"0";"0.641";"0.0"
"1624005";"2020-10-06";"20:27:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1626705";"2020-10-06";"20:27:21";"F";"9525";"344";"1124";"0";"0.694";"0.0"
"1631005";"2020-10-06";"20:27:26";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1634075";"2020-10-06";"20:27:29";"F";"9526";"152";"618";"0";"0.754";"0.0"
"1639005";"2020-10-06";"20:27:34";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1643485";"2020-10-06";"20:27:38";"F";"9527";"257";"896";"0";"0.713";"0.0"
"1648005";"2020-10-06";"20:27:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1651075";"2020-10-06";"20:27:46";"F";"9528";"174";"577";"0";"0.698";"0.0"
"1656005";"2020-10-06";"20:27:51";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1657335";"2020-10-06";"20:27:52";"F";"9529";"253";"713";"0";"0.645";"0.0"
"1662005";"2020-10-06";"20:27:57";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1663145";"2020-10-06";"20:27:58";"F";"9530";"245";"789";"0";"0.689";"0.0"
"1668005";"2020-10-06";"20:28:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1676275";"2020-10-06";"20:28:11";"F";"9531";"258";"649";"0";"0.602";"0.0"
"1681005";"2020-10-06";"20:28:16";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1683795";"2020-10-06";"20:28:18";"F";"9532";"131";"320";"0";"0.591";"0.0"
"1687005";"2020-10-06";"20:28:22";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"1689415";"2020-10-06";"20:28:24";"F";"9533";"316";"760";"0";"0.584";"0.0"
"1694005";"2020-10-06";"20:28:29";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1695765";"2020-10-06";"20:28:30";"F";"9534";"359";"1027";"0";"0.650";"0.0"
"1700005";"2020-10-06";"20:28:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1706575";"2020-10-06";"20:28:41";"F";"9535";"313";"774";"0";"0.596";"0.0"
"1711005";"2020-10-06";"20:28:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1713945";"2020-10-06";"20:28:48";"F";"9536";"80";"631";"0";"0.873";"0.0"
"1718005";"2020-10-06";"20:28:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1720795";"2020-10-06";"20:28:55";"F";"9537";"301";"941";"0";"0.680";"0.0"
"1725005";"2020-10-06";"20:29:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1727845";"2020-10-06";"20:29:02";"F";"9538";"212";"418";"0";"0.493";"0.0"
"1731005";"2020-10-06";"20:29:06";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1733225";"2020-10-06";"20:29:08";"F";"9539";"311";"780";"0";"0.601";"0.0"
"1738005";"2020-10-06";"20:29:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1738335";"2020-10-06";"20:29:13";"F";"9540";"309";"1239";"0";"0.751";"0.0"
"1743005";"2020-10-06";"20:29:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1744095";"2020-10-06";"20:29:19";"F";"9541";"264";"746";"0";"0.646";"0.0"
"1749005";"2020-10-06";"20:29:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1752415";"2020-10-06";"20:29:27";"F";"9542";"220";"532";"0";"0.586";"0.0"
"1756005";"2020-10-06";"20:29:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1760335";"2020-10-06";"20:29:35";"F";"9543";"299";"666";"0";"0.551";"0.0"
"1764005";"2020-10-06";"20:29:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1782275";"2020-10-06";"20:29:57";"F";"9544";"128";"328";"0";"0.610";"0.0"
"1787005";"2020-10-06";"20:30:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1788065";"2020-10-06";"20:30:03";"F";"9545";"198";"1069";"0";"0.815";"0.0"
"1792005";"2020-10-06";"20:30:07";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 32.0 ";""
"1794895";"2020-10-06";"20:30:09";"F";"9546";"228";"626";"0";"0.636";"0.0"
"1798005";"2020-10-06";"20:30:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1800635";"2020-10-06";"20:30:15";"F";"9547";"247";"582";"0";"0.576";"0.0"
"1805005";"2020-10-06";"20:30:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1805205";"2020-10-06";"20:30:20";"F";"9548";"209";"688";"0";"0.696";"0.0"
