"2020-10-07";"00:26:30";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"19:12:48";"SCHS";"";"Chart start ";""
"5";"2020-10-06";"19:12:49";"C";"";"File Nr. 382 | File Dev. ID #1, DIVING-PAM-II:  ";""
"61045";"2020-10-06";"19:13:50";"F";"9273";"253";"635";"0";"0.602";"0.0"
"66005";"2020-10-06";"19:13:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.0 ";""
"76475";"2020-10-06";"19:14:05";"F";"9274";"238";"649";"0";"0.633";"0.0"
"80005";"2020-10-06";"19:14:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.0 ";""
"86445";"2020-10-06";"19:14:15";"F";"9275";"359";"975";"0";"0.632";"0.0"
"90005";"2020-10-06";"19:14:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.0 ";""
"93175";"2020-10-06";"19:14:22";"F";"9276";"417";"1201";"0";"0.653";"0.0"
"98005";"2020-10-06";"19:14:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"101805";"2020-10-06";"19:14:30";"F";"9277";"288";"660";"0";"0.564";"0.0"
"106005";"2020-10-06";"19:14:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"108075";"2020-10-06";"19:14:37";"F";"9278";"480";"1086";"0";"0.558";"0.0"
"112005";"2020-10-06";"19:14:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.1 ";""
"115845";"2020-10-06";"19:14:44";"F";"9279";"308";"773";"0";"0.602";"0.0"
"119005";"2020-10-06";"19:14:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.2 ";""
"121925";"2020-10-06";"19:14:50";"F";"9280";"364";"948";"0";"0.616";"0.0"
"126005";"2020-10-06";"19:14:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.2 ";""
"137845";"2020-10-06";"19:15:06";"F";"9281";"61";"178";"0";"0.657";"0.0"
"142005";"2020-10-06";"19:15:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.2 ";""
"154565";"2020-10-06";"19:15:23";"F";"9282";"237";"416";"0";"0.430";"0.0"
"158005";"2020-10-06";"19:15:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"169645";"2020-10-06";"19:15:38";"F";"9283";"241";"618";"0";"0.610";"0.0"
"174005";"2020-10-06";"19:15:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"177175";"2020-10-06";"19:15:46";"F";"9284";"331";"847";"0";"0.609";"0.0"
"181005";"2020-10-06";"19:15:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.3 ";""
"186105";"2020-10-06";"19:15:55";"F";"9285";"128";"298";"0";"0.570";"0.0"
"190005";"2020-10-06";"19:15:59";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.3 ";""
"194065";"2020-10-06";"19:16:03";"F";"9286";"318";"812";"0";"0.608";"0.0"
"198005";"2020-10-06";"19:16:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"206075";"2020-10-06";"19:16:15";"F";"9287";"312";"738";"0";"0.577";"0.0"
"211005";"2020-10-06";"19:16:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"217815";"2020-10-06";"19:16:26";"F";"9288";"339";"831";"0";"0.592";"0.0"
"222005";"2020-10-06";"19:16:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"227225";"2020-10-06";"19:16:36";"F";"9289";"288";"690";"0";"0.583";"0.0"
"232005";"2020-10-06";"19:16:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"234355";"2020-10-06";"19:16:43";"F";"9290";"316";"707";"0";"0.553";"0.0"
"239005";"2020-10-06";"19:16:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"243465";"2020-10-06";"19:16:52";"F";"9291";"322";"761";"0";"0.577";"0.0"
"247005";"2020-10-06";"19:16:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"253845";"2020-10-06";"19:17:02";"F";"9292";"338";"783";"0";"0.568";"0.0"
"258005";"2020-10-06";"19:17:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"261265";"2020-10-06";"19:17:10";"F";"9293";"375";"1035";"0";"0.638";"0.0"
"266005";"2020-10-06";"19:17:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"269685";"2020-10-06";"19:17:18";"F";"9294";"349";"942";"0";"0.630";"0.0"
"274005";"2020-10-06";"19:17:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"297745";"2020-10-06";"19:17:46";"F";"9295";"325";"778";"0";"0.582";"0.0"
"301005";"2020-10-06";"19:17:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"306555";"2020-10-06";"19:17:55";"F";"9296";"382";"984";"0";"0.612";"0.0"
"311005";"2020-10-06";"19:18:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.4 ";""
"344645";"2020-10-06";"19:18:33";"F";"9297";"290";"839";"0";"0.654";"0.0"
"348005";"2020-10-06";"19:18:37";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.5 ";""
"350285";"2020-10-06";"19:18:39";"F";"9298";"377";"913";"0";"0.587";"0.0"
"355005";"2020-10-06";"19:18:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"366395";"2020-10-06";"19:18:55";"F";"9299";"260";"694";"0";"0.625";"0.0"
"371005";"2020-10-06";"19:19:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"394625";"2020-10-06";"19:19:23";"F";"9300";"324";"919";"0";"0.647";"0.0"
"399005";"2020-10-06";"19:19:28";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.5 ";""
"414075";"2020-10-06";"19:19:43";"F";"9301";"298";"706";"0";"0.578";"0.0"
"418005";"2020-10-06";"19:19:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"420735";"2020-10-06";"19:19:49";"F";"9302";"442";"1101";"0";"0.599";"0.0"
"425005";"2020-10-06";"19:19:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"428925";"2020-10-06";"19:19:57";"F";"9303";"376";"1243";"0";"0.698";"0.0"
"433005";"2020-10-06";"19:20:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"435995";"2020-10-06";"19:20:04";"F";"9304";"450";"1166";"0";"0.614";"0.0"
"440005";"2020-10-06";"19:20:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.6 ";""
"455775";"2020-10-06";"19:20:24";"F";"9305";"365";"1065";"0";"0.657";"0.0"
"460005";"2020-10-06";"19:20:29";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"462255";"2020-10-06";"19:20:31";"F";"9306";"227";"707";"0";"0.679";"0.0"
"467005";"2020-10-06";"19:20:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"482255";"2020-10-06";"19:20:51";"F";"9307";"214";"747";"0";"0.714";"0.0"
"486005";"2020-10-06";"19:20:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"491555";"2020-10-06";"19:21:00";"F";"9308";"292";"935";"0";"0.688";"0.0"
"496005";"2020-10-06";"19:21:05";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"502815";"2020-10-06";"19:21:11";"F";"9309";"351";"961";"0";"0.635";"0.0"
"507005";"2020-10-06";"19:21:16";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.7 ";""
"509925";"2020-10-06";"19:21:18";"F";"9310";"404";"1107";"0";"0.635";"0.0"
"513005";"2020-10-06";"19:21:22";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"522195";"2020-10-06";"19:21:31";"F";"9311";"282";"1020";"0";"0.724";"0.0"
"527005";"2020-10-06";"19:21:36";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"532925";"2020-10-06";"19:21:41";"F";"9312";"377";"1124";"0";"0.665";"0.0"
"537005";"2020-10-06";"19:21:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"547755";"2020-10-06";"19:21:56";"F";"9313";"315";"1042";"0";"0.698";"0.0"
"552005";"2020-10-06";"19:22:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"558425";"2020-10-06";"19:22:07";"F";"9314";"393";"1230";"0";"0.680";"0.0"
"558430";"2020-10-06";"19:22:07";"SCHE";"";"Chart stop ";""
"563005";"2020-10-06";"19:22:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"614000";"2020-10-06";"19:23:02";"SCHS";"";"Chart start ";""
"614005";"2020-10-06";"19:23:03";"C";"";"File Nr. 383 | File Dev. ID #1, DIVING-PAM-II:  ";""
"705905";"2020-10-06";"19:24:34";"F";"9315";"284";"350";"0";"0.189";"0.0"
"710005";"2020-10-06";"19:24:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"718215";"2020-10-06";"19:24:47";"F";"9316";"92";"153";"0";"0.399";"0.0"
"723005";"2020-10-06";"19:24:52";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"759785";"2020-10-06";"19:25:28";"F";"9317";"182";"283";"0";"0.357";"0.0"
"764005";"2020-10-06";"19:25:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"771355";"2020-10-06";"19:25:40";"F";"9318";"176";"207";"0";"0.150";"0.0"
"771360";"2020-10-06";"19:25:40";"SCHE";"";"Chart stop ";""
"776005";"2020-10-06";"19:25:45";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"854000";"2020-10-06";"19:27:02";"SCHS";"";"Chart start ";""
"854005";"2020-10-06";"19:27:03";"C";"";"File Nr. 384 | File Dev. ID #1, DIVING-PAM-II:  ";""
"854010";"2020-10-06";"19:27:03";"SCHE";"";"Chart stop ";""
"883000";"2020-10-06";"19:27:31";"SCHS";"";"Chart start ";""
"883000";"2020-10-06";"19:27:31";"SCHS";"";"Chart start ";""
"883005";"2020-10-06";"19:27:32";"C";"";"File Nr. 385 | File Dev. ID #1, DIVING-PAM-II:  ";""
"883005";"2020-10-06";"19:27:32";"C";"";"File Nr. 386 | File Dev. ID #1, DIVING-PAM-II:  ";""
"883010";"2020-10-06";"19:27:32";"SCHE";"";"Chart stop ";""
"883010";"2020-10-06";"19:27:32";"SCHE";"";"Chart stop ";""
"883655";"2020-10-06";"19:27:32";"FO";"9319";"-";"-";"-";"-";"-"
"883660";"2020-10-06";"19:27:32";"SCHE";"";"Chart stop ";""
"884000";"2020-10-06";"19:27:32";"SCHS";"";"Chart start ";""
"884005";"2020-10-06";"19:27:33";"C";"";"File Nr. 387 | File Dev. ID #1, DIVING-PAM-II:  ";""
"887005";"2020-10-06";"19:27:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"993000";"2020-10-06";"19:29:21";"SCHS";"";"Chart start ";""
"993005";"2020-10-06";"19:29:22";"C";"";"File Nr. 388 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1021585";"2020-10-06";"19:29:50";"F";"9320";"144";"272";"0";"0.471";"0.0"
"1025005";"2020-10-06";"19:29:54";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.7 ";""
"1026305";"2020-10-06";"19:29:55";"F";"9321";"180";"341";"0";"0.472";"0.0"
"1030005";"2020-10-06";"19:29:59";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"1035645";"2020-10-06";"19:30:04";"F";"9322";"76";"156";"0";"0.513";"0.0"
"1039005";"2020-10-06";"19:30:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1042205";"2020-10-06";"19:30:11";"F";"9323";"143";"287";"0";"0.502";"0.0"
"1046005";"2020-10-06";"19:30:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1069925";"2020-10-06";"19:30:38";"F";"9324";"467";"655";"0";"0.287";"0.0"
"1073005";"2020-10-06";"19:30:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1075695";"2020-10-06";"19:30:44";"F";"9325";"423";"613";"0";"0.310";"0.0"
"1079005";"2020-10-06";"19:30:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1082915";"2020-10-06";"19:30:51";"F";"9326";"232";"510";"0";"0.545";"0.0"
"1086005";"2020-10-06";"19:30:55";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"1089555";"2020-10-06";"19:30:58";"F";"9327";"142";"319";"0";"0.555";"0.0"
"1094005";"2020-10-06";"19:31:03";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"1098705";"2020-10-06";"19:31:07";"F";"9328";"421";"588";"0";"0.284";"0.0"
"1102005";"2020-10-06";"19:31:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1104935";"2020-10-06";"19:31:13";"F";"9329";"381";"629";"0";"0.394";"0.0"
"1108005";"2020-10-06";"19:31:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1113715";"2020-10-06";"19:31:22";"F";"9330";"74";"139";"0";"0.468";"0.0"
"1117005";"2020-10-06";"19:31:26";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1131065";"2020-10-06";"19:31:40";"F";"9331";"29";"48";"0";"-";"-"
"1135005";"2020-10-06";"19:31:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1147205";"2020-10-06";"19:31:56";"F";"9332";"42";"78";"0";"0.462";"0.0"
"1151005";"2020-10-06";"19:32:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1165085";"2020-10-06";"19:32:14";"F";"9333";"274";"382";"0";"0.283";"0.0"
"1169005";"2020-10-06";"19:32:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1182175";"2020-10-06";"19:32:31";"F";"9334";"287";"418";"0";"0.313";"0.0"
"1186005";"2020-10-06";"19:32:35";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"1190275";"2020-10-06";"19:32:39";"F";"9335";"292";"477";"0";"0.388";"0.0"
"1194005";"2020-10-06";"19:32:43";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"1198435";"2020-10-06";"19:32:47";"F";"9336";"269";"460";"0";"0.415";"0.0"
"1202005";"2020-10-06";"19:32:51";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1207065";"2020-10-06";"19:32:56";"F";"9337";"356";"766";"0";"0.535";"0.0"
"1211005";"2020-10-06";"19:33:00";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.8 ";""
"1214695";"2020-10-06";"19:33:03";"F";"9338";"234";"434";"0";"0.461";"0.0"
"1218005";"2020-10-06";"19:33:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1221955";"2020-10-06";"19:33:10";"F";"9339";"140";"279";"0";"0.498";"0.0"
"1226005";"2020-10-06";"19:33:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1228475";"2020-10-06";"19:33:17";"F";"9340";"242";"377";"0";"0.358";"0.0"
