"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"1",5,2020-10-10,18:31:23,"C",NA,"File Nr. 434 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"2",1672005,2020-10-10,18:59:15,"C",NA,"File Nr. 435 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"3",1722005,2020-10-10,19:00:05,"C",NA,"File Nr. 436 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"4",1875415,2020-10-10,19:02:38,"F",10900,"58",67,0,"0.134","0.0"
"5",1883415,2020-10-10,19:02:46,"F",10901,"41",72,0,"0.431","0.0"
"6",1891215,2020-10-10,19:02:54,"F",10902,"42",59,0,"0.288","0.0"
"7",1898525,2020-10-10,19:03:01,"F",10903,"90",153,0,"0.412","0.0"
"8",1906655,2020-10-10,19:03:09,"F",10904,"35",51,0,"0.314","0.0"
"9",1916305,2020-10-10,19:03:19,"F",10905,"26",43,0,"-","-"
"10",1925735,2020-10-10,19:03:28,"F",10906,"432",495,0,"0.127","0.0"
"11",1932665,2020-10-10,19:03:35,"F",10907,"324",439,0,"0.262","0.0"
"12",1939485,2020-10-10,19:03:42,"F",10908,"173",214,0,"0.192","0.0"
"13",1949435,2020-10-10,19:03:52,"F",10909,"275",333,0,"0.174","0.0"
"14",1954875,2020-10-10,19:03:57,"F",10910,"118",125,0,"0.056","0.0"
"15",1960965,2020-10-10,19:04:03,"F",10911,"108",135,0,"0.200","0.0"
"16",1968405,2020-10-10,19:04:11,"F",10912,"113",136,0,"0.169","0.0"
"17",1976345,2020-10-10,19:04:19,"F",10913,"64",67,0,"0.045","0.0"
"18",1982335,2020-10-10,19:04:25,"F",10914,"212",212,0,"0.000","0.0"
"19",1992745,2020-10-10,19:04:35,"F",10915,"110",133,0,"0.173","0.0"
"20",1998145,2020-10-10,19:04:41,"F",10916,"211",284,0,"0.257","0.0"
"21",2005645,2020-10-10,19:04:48,"F",10917,"69",86,0,"0.198","0.0"
"22",2010975,2020-10-10,19:04:53,"F",10918,"50",63,0,"0.206","0.0"
"23",2016925,2020-10-10,19:04:59,"F",10919,"195",195,0,"0.000","0.0"
"24",2023045,2020-10-10,19:05:06,"F",10920,"101",136,0,"0.257","0.0"
"25",2033735,2020-10-10,19:05:16,"F",10921,"110",125,0,"0.120","0.0"
"26",2041895,2020-10-10,19:05:24,"F",10922,"87",87,0,"0.000","0.0"
"27",2046315,2020-10-10,19:05:29,"F",10923,"86",131,0,"0.344","0.0"
"28",2053195,2020-10-10,19:05:36,"F",10924,"89",112,0,"0.205","0.0"
"29",2063885,2020-10-10,19:05:46,"F",10925,"18",27,0,"-","-"
"30",2073315,2020-10-10,19:05:56,"F",10926,"47",97,0,"0.515","0.0"
"31",2082245,2020-10-10,19:06:05,"F",10927,"103",133,0,"0.226","0.0"
