Row,1,2,3,4,5
A,,CRF098,,,
B,CRF008,CRF053,CRF039,CRF118,
C,CRF019,CRF033,CRF076,CRF087,
D,CRF043,CRF108,CRF040,CRF051,
E,CRF095,CRF032,CRF113,CRF112,
F,CRF029,CRF085,CRF094,CRF121,CRF024
