Row,1,2,3,4,5
A,,CRF069,,,
B,CRF052,CRF023,CRF048,CRF102,
C,CRF086,CRF059,CRF047,CRF055,
D,CRF119,CRF031,CRF068,CRF066,
E,CRF082,CRF020,CRF099,CRF007,
F,CRF028,CRF042,CRF010,CRF074,CRF013
